|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/TAY13/TAY13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1564.10        500.000       0.148977E-001   99.9146       0.705389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.102117E-002   99.6863       0.127879E-005  0.312724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.1593       0.379389E-005  0.840670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.4169                 NaN  0.583081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.4240       0.108583E-001  0.565157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.6084       0.756102E-002  0.384071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.2511       0.695162E-002  0.741945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.4401       0.275106E-001  0.532380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.4436       0.255691E-001  0.530798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.4490       0.252272E-001  0.525778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.4542       0.245431E-001  0.521253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.4595       0.262870E-001  0.514259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.4286       0.271047E-001  0.544284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.8226       0.792403E-002  0.169524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1547       0.347850E-001  0.810522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.4742       0.222904E-001  0.503532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.4864       0.225823E-001  0.491038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.4839       0.196680E-001  0.496442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.4910       0.201922E-001  0.488829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.4909       0.187069E-001  0.490398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   99.4610       0.210373E-001  0.518003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000                 NaN   99.5423       0.168347E-001  0.440854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000                 NaN   99.5062       0.181029E-001  0.475684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000                 NaN   99.3512       0.189779E-001  0.629831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000                 NaN   99.6706       0.106672E-001  0.318685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000                 NaN   99.5170       0.154230E-001  0.467551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        500.000                 NaN   99.5187       0.144395E-001  0.466831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000                 NaN   99.5256       0.144100E-001  0.459955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        500.000                 NaN   99.5282       0.134381E-001  0.458341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000                 NaN   99.5316       0.131255E-001  0.455317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000                 NaN   99.5346       0.122092E-001  0.453173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000                 NaN   99.5393       0.127709E-001  0.447936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        500.000                 NaN   99.5413       0.108612E-001  0.447793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000                 NaN   99.8329       0.422354E-002  0.162918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000                 NaN   99.2600       0.157894E-001  0.724213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000                 NaN   99.5518       0.101079E-001  0.438094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000                 NaN   99.5549       0.811144E-002  0.437023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000                 NaN   99.5571       0.784551E-002  0.435028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000                 NaN   99.5613       0.785055E-002  0.430865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000                 NaN   99.5629       0.682648E-002  0.430320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   99.5689       0.822325E-002  0.422863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000                 NaN   99.5694       0.537606E-002  0.425198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   99.5738       0.677183E-002  0.419416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   99.1846       0.815388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   99.7048                 NaN  0.295164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   99.5865                 NaN  0.413522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   99.5885                 NaN  0.411474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   99.5217                 NaN  0.478281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   99.7390                 NaN  0.260951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   99.5200                 NaN  0.480024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   99.5985                 NaN  0.401496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   99.6016                 NaN  0.398379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   99.6043                 NaN  0.395691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   99.6060       0.436147E-005  0.393975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   99.6091                 NaN  0.390914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   99.6068                 NaN  0.393167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.51        500.000                 NaN   99.6200                 NaN  0.379993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.10        500.000                 NaN   99.6135                 NaN  0.386521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   99.6203                 NaN  0.379727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.27        500.000                 NaN   99.6213                 NaN  0.378669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000                 NaN   99.6237                 NaN  0.376327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.45        500.000                 NaN   99.6235                 NaN  0.376495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000                 NaN   99.6273                 NaN  0.372682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.62        500.000                 NaN   99.6291                 NaN  0.370898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.20        500.000                 NaN   99.6304                 NaN  0.369625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.79        500.000                 NaN   99.6331                 NaN  0.366874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.38        500.000                 NaN   99.6353                 NaN  0.364650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        500.000                 NaN   99.6369                 NaN  0.363092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.55        500.000                 NaN   99.6466                 NaN  0.353445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.14        500.000                 NaN   99.6356                 NaN  0.364379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.72        500.000                 NaN   99.3214                 NaN  0.126316       0.552321                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.31        500.000                 NaN   99.7809                 NaN  0.979401E-002  0.209273                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.89        500.000                 NaN   99.6619                 NaN            NaN  0.338120                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.48        500.000                 NaN   99.9408                 NaN  0.260490E-001  0.331480E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        500.000                 NaN   99.1269                 NaN            NaN  0.873074                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        500.000                 NaN   99.5672                 NaN  0.120000       0.312754                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        500.000                 NaN   99.5623                 NaN            NaN  0.437667                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.82        500.000                 NaN   99.5610                 NaN            NaN  0.438972                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.41        500.000                 NaN   99.5601                 NaN            NaN  0.439932                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.00        500.000                 NaN   99.5164                 NaN            NaN  0.483605                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.58        500.000                 NaN   99.6066                 NaN            NaN  0.393416                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.17        500.000                 NaN   99.5596                 NaN            NaN  0.440410                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.76        500.000                 NaN   99.5573                 NaN            NaN  0.442656                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.34        500.000                 NaN   99.5565                 NaN            NaN  0.443501                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.93        500.000                 NaN   99.5551                 NaN            NaN  0.444937                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.51        500.000                 NaN   99.5444                 NaN            NaN  0.154999E-001  0.440139                 NaN            NaN            NaN            NaN            NaN
  1441.10        500.000                 NaN   99.3828                 NaN            NaN  0.308322       0.308885                 NaN            NaN            NaN            NaN            NaN
  1439.69        500.000                 NaN   98.9305                 NaN            NaN  0.675385       0.394139                 NaN            NaN            NaN            NaN            NaN
  1438.27        500.000                 NaN   99.7190                 NaN            NaN  0.177239       0.103728                 NaN            NaN            NaN            NaN            NaN
  1436.86        500.000                 NaN   99.3330                 NaN            NaN  0.421040       0.245958                 NaN            NaN            NaN            NaN            NaN
  1435.45        500.000                 NaN   99.3393                 NaN            NaN  0.416931       0.243809                 NaN            NaN            NaN            NaN            NaN
  1434.03        500.000                 NaN   99.3447                 NaN            NaN  0.241582       0.413738                 NaN            NaN            NaN            NaN            NaN
  1432.62        500.000                 NaN   99.3509                 NaN            NaN  0.409962       0.239118                 NaN            NaN            NaN            NaN            NaN
  1431.20        500.000                 NaN   99.3554                 NaN            NaN  0.407851       0.236714                 NaN            NaN            NaN            NaN            NaN
  1429.79        500.000                 NaN   99.3632                 NaN            NaN  0.234226       0.402542                 NaN            NaN            NaN            NaN            NaN
  1428.38        500.000                 NaN   99.3686                 NaN            NaN  0.231664       0.399785                 NaN            NaN            NaN            NaN            NaN
  1426.96        500.000                 NaN   99.3740                 NaN            NaN  0.396035       0.229981                 NaN            NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN   99.3789                 NaN            NaN  0.393472       0.227591                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000                 NaN   99.3844                 NaN            NaN  0.225444       0.390138                 NaN            NaN            NaN            NaN            NaN
  1422.72        500.000                 NaN   99.3895                 NaN            NaN  0.223432       0.387070                 NaN            NaN            NaN            NaN            NaN
  1421.31        500.000                 NaN   99.3945                 NaN            NaN  0.221321       0.384157                 NaN            NaN            NaN            NaN            NaN
  1419.89        500.000                 NaN   99.3998                 NaN            NaN  0.380956       0.219197                 NaN            NaN            NaN            NaN            NaN
  1418.48        500.000                 NaN   99.4049                 NaN            NaN  0.377622       0.217497                 NaN            NaN            NaN            NaN            NaN
  1417.07        500.000                 NaN   99.4102                 NaN            NaN  0.374815       0.215028                 NaN            NaN            NaN            NaN            NaN
  1415.65        500.000                 NaN   98.5278                 NaN            NaN  0.445410       0.585441                 NaN  0.441398                 NaN            NaN            NaN
  1414.24        500.000                 NaN   98.3307                 NaN            NaN  0.668661       0.455325                 NaN  0.545339                 NaN            NaN            NaN
  1412.83        500.000                 NaN   98.3633                 NaN            NaN  0.446319       0.655482                 NaN  0.534930                 NaN            NaN            NaN
  1411.41        500.000                 NaN   98.3941                 NaN            NaN  0.643086       0.437640                 NaN  0.525154                 NaN            NaN            NaN
  1410.00        500.000                 NaN   98.5086                 NaN            NaN  0.596954       0.406612                 NaN  0.487872                 NaN            NaN            NaN
  1408.58        500.000                 NaN   98.3728                 NaN            NaN  0.651762       0.443037                 NaN  0.532414                 NaN            NaN            NaN
  1407.17        500.000                 NaN   98.4833                 NaN            NaN  0.607554       0.412587                 NaN  0.496578                 NaN            NaN            NaN
  1405.76        500.000                 NaN   98.5109                 NaN            NaN  0.596356       0.405064                 NaN  0.487695                 NaN            NaN            NaN
  1404.34        500.000                 NaN   98.5365                 NaN            NaN  0.585905       0.398160                 NaN  0.479403                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.5631                 NaN            NaN  0.575604       0.390306                 NaN  0.470988                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.5899                 NaN            NaN  0.382772       0.565053                 NaN  0.462237                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.6144                 NaN            NaN  0.375921       0.555257                 NaN  0.454443                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.6384                 NaN            NaN  0.545719       0.369269                 NaN  0.446633                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.6612                 NaN            NaN  0.363080       0.536493                 NaN  0.439240                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.6816                 NaN            NaN  0.528428       0.357316                 NaN  0.432676                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.7094                 NaN            NaN  0.348909       0.518224                 NaN  0.423438                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.7281                 NaN            NaN  0.510525       0.343874                 NaN  0.417525                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.7482                 NaN            NaN  0.502552       0.338267                 NaN  0.411023                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.7699                 NaN            NaN  0.494094       0.331930                 NaN  0.404040                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.7890                 NaN            NaN  0.486626       0.326648                 NaN  0.397741                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.8080                 NaN            NaN  0.479281       0.321170                 NaN  0.391560                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.8260                 NaN            NaN  0.472542       0.315902                 NaN  0.385516                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.8455                 NaN            NaN  0.464833       0.310422                 NaN  0.379293                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.8628                 NaN            NaN  0.458059       0.305526                 NaN  0.373606                 NaN            NaN            NaN
