|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             ilm            San(TH)        q             
  1564.10        500.000       0.487415E-002   99.9526                 NaN  0.775796E-002  0.348025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000                 NaN   99.2351                 NaN  0.764929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.2415                 NaN  0.758543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.2447                 NaN  0.755304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000       0.265423E-002   99.2459                 NaN  0.751416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.2652                 NaN  0.734805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000       0.510234E-002   99.2766                 NaN  0.718318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.2655                 NaN  0.734534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.2663                 NaN  0.733659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.2732                 NaN  0.726811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.2749                 NaN  0.725136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.2784                 NaN  0.721615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.2858                 NaN  0.714211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.2852                 NaN  0.714810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.2911                 NaN  0.708902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.2935                 NaN  0.706520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   96.7543                 NaN            NaN            NaN   3.24567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000       0.137380E-002   99.7847                 NaN            NaN            NaN  0.213883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.639625E-002   99.0565                 NaN            NaN            NaN  0.937135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.681966E-002   99.0303                 NaN            NaN            NaN  0.962860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.681247E-002   99.0037                 NaN            NaN            NaN  0.989492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.683424E-002   98.9589                 NaN            NaN            NaN   1.03424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.678985E-002   98.5029                 NaN            NaN            NaN  0.597668       0.892683                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.587533E-002   98.5578                 NaN            NaN            NaN   1.43629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.728845E-002   98.2764                 NaN            NaN            NaN  0.848388       0.867883                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.635988E-002   98.4578                 NaN            NaN            NaN   1.08865       0.447231                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.623350E-002   98.4811                 NaN            NaN            NaN   1.07316       0.439520                 NaN            NaN            NaN            NaN            NaN            NaN
