|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             ilm            San(TH)        q             
  1564.10        500.000       0.782624E-002   99.9421                 NaN  0.885830E-002  0.412406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000                 NaN   99.1274                 NaN  0.872586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.1343                 NaN  0.865698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.1378                 NaN  0.862219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000       0.426003E-002   99.1376                 NaN  0.858153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1608                 NaN  0.839240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000       0.819136E-002   99.1711                 NaN  0.820682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.1606                 NaN  0.839410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1613                 NaN  0.838727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1690                 NaN  0.830952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1707                 NaN  0.829305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.1746                 NaN  0.825379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.1827                 NaN  0.817287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.1821                 NaN  0.817894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1885                 NaN  0.811480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1909                 NaN  0.809117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   96.3133                 NaN            NaN            NaN   3.68668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000       0.221021E-002   99.7535                 NaN            NaN            NaN  0.244247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.102805E-001   98.9203                 NaN            NaN            NaN   1.06941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.109601E-001   98.8900                 NaN            NaN            NaN   1.09901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.109492E-001   98.8591                 NaN            NaN            NaN   1.12990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.109845E-001   98.8075                 NaN            NaN            NaN   1.18148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
