|6.6.6
Archiving\03_Data\eq/QFM_m0.5/GRV/GRV_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.1687       0.831283                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1687       0.831281                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1687       0.831279                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1687       0.831277                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1687       0.831274                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1687       0.831272                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1687       0.831270                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1687       0.831268                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1687       0.831266                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1687       0.831263                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1687       0.831261                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1687       0.831258                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1687       0.831256                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1687       0.831254                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1687       0.831251                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1688       0.831249                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1688       0.831246                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1688       0.831244                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1688       0.831241                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1688       0.831239                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1688       0.831236                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1688       0.831233                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1688       0.831231                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1688       0.831228                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1688       0.831225                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1688       0.831223                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1688       0.831220                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1688       0.831217                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1688       0.831214                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1688       0.831211                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1688       0.831208                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1688       0.831205                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1688       0.831202                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1688       0.831199                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1688       0.831196                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1688       0.831193                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1688       0.831190                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1688       0.831187                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1688       0.831184                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1688       0.831181                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1688       0.831178                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1688       0.831174                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1688       0.831171                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1688       0.831167                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1688       0.831164                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1688       0.831161                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1688       0.831157                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1688       0.831154                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1688       0.831150                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1689       0.831147                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1689       0.831143                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1689       0.831140                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1617       0.831136       0.717719E-002            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1394       0.831131       0.294371E-001            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1172       0.831127       0.516968E-001            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.0949       0.831122       0.739562E-001            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.0727       0.831118       0.962154E-001            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.0515       0.831113       0.117397                 NaN            NaN            NaN            NaN
  1814.10        2500.00        99.0303       0.831108       0.138578                 NaN            NaN            NaN            NaN
  1810.90        2500.00        99.0091       0.831103       0.159759                 NaN            NaN            NaN            NaN
  1807.69        2500.00        98.9880       0.831098       0.180940                 NaN            NaN            NaN            NaN
  1804.49        2500.00        98.9668       0.831093       0.202120                 NaN            NaN            NaN            NaN
  1801.28        2500.00        98.9456       0.831088       0.223301                 NaN            NaN            NaN            NaN
  1798.08        2500.00        98.9244       0.831084       0.244480                 NaN            NaN            NaN            NaN
  1794.87        2500.00        98.9033       0.831079       0.265660                 NaN            NaN            NaN            NaN
  1791.67        2500.00        98.8834       0.831073       0.285557                 NaN            NaN            NaN            NaN
  1788.46        2500.00        98.8635       0.831068       0.305453                 NaN            NaN            NaN            NaN
  1785.26        2500.00        98.8436       0.831063       0.325348                 NaN            NaN            NaN            NaN
  1782.05        2500.00        98.8237       0.831058       0.345244                 NaN            NaN            NaN            NaN
  1778.85        2500.00        98.8038       0.831052       0.365139                 NaN            NaN            NaN            NaN
  1775.64        2500.00        98.7839       0.831047       0.385034                 NaN            NaN            NaN            NaN
  1772.44        2500.00        98.7640       0.831042       0.404929                 NaN            NaN            NaN            NaN
  1769.23        2500.00        98.7441       0.831036       0.424823                 NaN            NaN            NaN            NaN
  1766.03        2500.00        98.7252       0.831031       0.443752                 NaN            NaN            NaN            NaN
  1762.82        2500.00        98.7063       0.831026       0.462680                 NaN            NaN            NaN            NaN
  1759.62        2500.00        98.6873       0.831020       0.481705                 NaN            NaN            NaN            NaN
  1756.41        2500.00        98.4859       0.831019       0.500163       0.182966                 NaN            NaN            NaN
  1753.21        2500.00        97.6690       0.831033       0.517164       0.982833                 NaN            NaN            NaN
  1750.00        2500.00        96.8521       0.831048       0.534165        1.78273                 NaN            NaN            NaN
  1746.79        2500.00        96.0351       0.831062       0.551166        2.58265                 NaN            NaN            NaN
  1743.59        2500.00        95.2182       0.831076       0.568168        3.38260                 NaN            NaN            NaN
  1740.38        2500.00        94.3855       0.831092       0.584223        4.19919                 NaN            NaN            NaN
  1737.18        2500.00        93.5528       0.831108       0.600278        5.01580                 NaN            NaN            NaN
  1733.97        2500.00        92.7201       0.831124       0.616333        5.83245                 NaN            NaN            NaN
  1730.77        2500.00        91.8873       0.831140       0.632389        6.64913                 NaN            NaN            NaN
  1727.56        2500.00        91.0546       0.831156       0.648446        7.46584                 NaN            NaN            NaN
  1724.36        2500.00        90.2217       0.831172       0.664504        8.28259                 NaN            NaN            NaN
  1721.15        2500.00        89.3889       0.831188       0.680562        9.09936                 NaN            NaN            NaN
  1717.95        2500.00        88.5560       0.831204       0.696620        9.91617                 NaN            NaN            NaN
  1714.74        2500.00        87.7174       0.831222       0.711419        10.7400                 NaN            NaN            NaN
  1711.54        2500.00        86.8787       0.831239       0.726218        11.5638                 NaN            NaN            NaN
  1708.33        2500.00        86.0400       0.831257       0.741018        12.3877                 NaN            NaN            NaN
  1705.13        2500.00        85.2013       0.831274       0.755818        13.2116                 NaN            NaN            NaN
  1701.92        2500.00        84.3626       0.831292       0.770620        14.0355                 NaN            NaN            NaN
  1698.72        2500.00        83.5238       0.831309       0.785421        14.8595                 NaN            NaN            NaN
  1695.51        2500.00        82.6849       0.831327       0.800224        15.6835                 NaN            NaN            NaN
  1692.31        2500.00        81.8461       0.831344       0.815027        16.5076                 NaN            NaN            NaN
  1689.10        2500.00        81.0279       0.831362       0.828485        17.3123                 NaN            NaN            NaN
  1685.90        2500.00        80.2097       0.831381       0.841944        18.1170                 NaN            NaN            NaN
  1682.69        2500.00        79.3915       0.831399       0.855404        18.9217                 NaN            NaN            NaN
  1679.49        2500.00        78.5732       0.831417       0.868864        19.7265                 NaN            NaN            NaN
  1676.28        2500.00        77.7549       0.831435       0.882325        20.5314                 NaN            NaN            NaN
  1673.08        2500.00        76.9365       0.831453       0.895787        21.3362                 NaN            NaN            NaN
  1669.87        2500.00        76.1182       0.831472       0.909249        22.1411                 NaN            NaN            NaN
  1666.67        2500.00        75.2998       0.831490       0.922711        22.9460                 NaN            NaN            NaN
  1663.46        2500.00        73.0682       0.831519       0.933770        23.2982        1.86833                 NaN            NaN
  1660.26        2500.00        70.7966       0.831547       0.943559        23.5772        3.85107                 NaN            NaN
  1657.05        2500.00        68.6736       0.831574       0.952050        23.8312        5.71155                 NaN            NaN
  1653.85        2500.00        66.5505       0.831601       0.960541        24.0852        7.57214                 NaN            NaN
  1650.64        2500.00        64.6856       0.831626       0.966480        24.3091        9.20722                 NaN            NaN
  1647.44        2500.00        62.8206       0.831650       0.972420        24.5329        10.8424                 NaN            NaN
  1644.23        2500.00        60.9556       0.831674       0.978361        24.7567        12.4777                 NaN            NaN
  1641.03        2500.00        59.0904       0.831699       0.984301        24.9806        14.1130                 NaN            NaN
  1637.82        2500.00        57.5995       0.831718       0.985905        25.1431        15.4398                 NaN            NaN
  1634.62        2500.00        56.1085       0.831738       0.987510        25.3057        16.7665                 NaN            NaN
  1631.41        2500.00        54.6175       0.831758       0.989114        25.4682        18.0934                 NaN            NaN
  1628.21        2500.00        53.1264       0.831778       0.990718        25.6308        19.4203                 NaN            NaN
  1625.00        2500.00        51.6352       0.831798       0.992323        25.7934        20.7473                 NaN            NaN
  1621.79        2500.00        50.1440       0.831818       0.993927        25.9560        22.0743                 NaN            NaN
  1618.59        2500.00        48.6526       0.831838       0.995532        26.1185        23.4014                 NaN            NaN
  1615.38        2500.00        47.1613       0.831858       0.997137        26.2811        24.7286                 NaN            NaN
