|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3/T13/T13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1631.41        2500.00        99.2930       0.619567       0.874521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        98.9353       0.925858       0.138841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        98.9483       0.914776       0.136953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        98.9596       0.904763       0.135607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        98.9700       0.896497       0.133487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.7088       0.255951       0.352760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        98.2539        1.51699       0.229093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.0198       0.853023       0.127181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        98.9789       0.890267       0.130883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.0573       0.822135       0.120531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        97.0030        2.62015       0.375881       0.963628E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.9999                 NaN  0.129966E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.9953       0.470371E-002  0.302590E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.2392       0.664714       0.960740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.0759       0.806537       0.117516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.0821       0.803065       0.114853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.0899       0.796386       0.113672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.1009       0.787198       0.111897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.1094       0.780438       0.110126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        98.8275        1.02662       0.145875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.4098       0.514684       0.755237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.1495       0.746761       0.103747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.1452       0.748828       0.105954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.1523       0.744796       0.102905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.1607       0.736398       0.102866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.1682       0.730017       0.101816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.1684       0.730890       0.100710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1902       0.712093       0.976935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.1913       0.712089       0.966613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.1941       0.710767       0.951278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.2070       0.698789       0.941658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.2134       0.708228       0.783770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.1336       0.750660       0.115737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.3080       0.611856       0.801831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.2344       0.677568       0.880755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.2396       0.672857       0.875519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.2452       0.668214       0.865896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.2530       0.662911       0.841275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.2547       0.661026       0.843235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.2694       0.647920       0.827172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.2702       0.649166       0.806200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.2777       0.642114       0.801506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.2818       0.639645       0.785068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        99.2897       0.661345       0.489404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        99.1026       0.764721       0.132663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.4962       0.429582       0.741873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.3054       0.641180       0.533866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3113       0.615089       0.736349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.3170       0.610930       0.720581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.3203       0.546752       0.132926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.3273       0.666192       0.651403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.3306       0.601576       0.677919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.1865       0.733502       0.799875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.5429       0.383817       0.733126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.2940       0.662776       0.432382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.3511       0.585188       0.637235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.3559       0.580819       0.632558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.3612       0.575928       0.628743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.3618       0.576883       0.612701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.3717       0.566567       0.617319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.3720       0.572475       0.555740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.3793       0.563142       0.575995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.3821       0.560949       0.569299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        99.3854       0.555534       0.590443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.3937       0.550892       0.554269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.4757       0.479621       0.446818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.3147       0.625831       0.595062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        99.4027       0.546877       0.504179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        99.4039       0.547365       0.487217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.4094       0.541562       0.490105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.4125       0.539477       0.480165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.4091       0.545802       0.450868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.4231       0.531781       0.450835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.3621       0.314491       0.188676E-001            NaN  0.304555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.2533                 NaN  0.332319E-004            NaN  0.746658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00        99.2582       0.633989E-001            NaN            NaN  0.678444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00        99.2489                 NaN  0.108903E-005            NaN  0.751144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00        99.2504                 NaN            NaN            NaN  0.749619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00        99.2506                 NaN            NaN            NaN  0.749440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00        99.2478                 NaN            NaN            NaN  0.752157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00        99.2442                 NaN            NaN            NaN  0.755787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00        99.2384                 NaN            NaN            NaN  0.761554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00        99.2351                 NaN            NaN            NaN  0.764908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00        99.2269                 NaN            NaN            NaN  0.773089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00        99.2196                 NaN            NaN            NaN  0.780443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        99.2091                 NaN            NaN            NaN  0.790851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00        99.1969                 NaN  0.280113E-005            NaN  0.803097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        99.1873                 NaN            NaN            NaN  0.812718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.15        2500.00        99.0129                 NaN            NaN            NaN  0.640061       0.347014                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00        98.7903                 NaN            NaN            NaN  0.353571       0.856142                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00        98.7839                 NaN            NaN            NaN  0.867464       0.348600                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00        98.8251                 NaN            NaN            NaN  0.830492       0.344451                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00        98.8207                 NaN            NaN            NaN  0.836421       0.342875                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00        98.8307                 NaN            NaN            NaN  0.341731       0.827538                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00        98.8353                 NaN            NaN            NaN  0.343435       0.821243                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        98.8561                 NaN            NaN            NaN  0.809536       0.334386                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00        98.8589                 NaN            NaN            NaN  0.333334       0.807723                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        98.8707                 NaN            NaN            NaN  0.330770       0.798536                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00        98.8780                 NaN            NaN            NaN  0.795597       0.326372                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.74        2500.00        98.8860                 NaN            NaN            NaN  0.324676       0.789345                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.16        2500.00        98.8946                 NaN            NaN            NaN  0.783677       0.321751                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.58        2500.00        98.9026                 NaN            NaN            NaN  0.318774       0.778607                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.00        2500.00        98.9117                 NaN            NaN            NaN  0.770064       0.318265                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        2500.00        98.9192                 NaN            NaN            NaN  0.766582       0.314215                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.83        2500.00        98.9265                 NaN            NaN            NaN  0.761824       0.311714                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.25        2500.00        98.9335                 NaN            NaN            NaN  0.306987       0.759560                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.67        2500.00        98.9415                 NaN  0.123498E-002            NaN  0.752862       0.304388                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.08        2500.00        98.9494                 NaN  0.137871E-001            NaN  0.282693       0.754133                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.50        2500.00        98.9616                 NaN  0.358658E-001            NaN  0.244630       0.757891                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        98.9670                 NaN  0.347764E-001            NaN  0.754509       0.243747                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.34        2500.00        98.9724                 NaN  0.335088E-001            NaN  0.751509       0.242622                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.75        2500.00        98.9765                 NaN  0.327865E-001            NaN  0.242231       0.748518                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.17        2500.00        98.9899                 NaN  0.298973E-001            NaN  0.244890       0.735328                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        2500.00        98.9913                 NaN  0.296567E-001            NaN  0.736594       0.242468                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.01        2500.00        98.9975                 NaN  0.284640E-001            NaN  0.732560       0.241467                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.42        2500.00        97.3020                 NaN  0.320081                 NaN  0.984588       0.623149                 NaN            NaN  0.770181                 NaN            NaN            NaN
  1447.84        2500.00        96.9835                 NaN  0.384154                 NaN   1.02713       0.681155                 NaN            NaN  0.924053                 NaN            NaN            NaN
  1446.26        2500.00        97.0491                 NaN  0.382431                 NaN  0.652040        1.01213                 NaN            NaN  0.904293                 NaN            NaN            NaN
  1444.68        2500.00        97.1109                 NaN  0.381177                 NaN  0.997344       0.624724                 NaN            NaN  0.885842                 NaN            NaN            NaN
  1443.09        2500.00        97.1555                 NaN  0.381613                 NaN  0.603690       0.986181                 NaN            NaN  0.873059                 NaN            NaN            NaN
  1441.51        2500.00        97.2398                 NaN  0.377095                 NaN  0.570581       0.966006                 NaN            NaN  0.846503                 NaN            NaN            NaN
  1439.93        2500.00        97.2869                 NaN  0.377093                 NaN  0.546997       0.956065                 NaN            NaN  0.832924                 NaN            NaN            NaN
  1438.35        2500.00        97.3395                 NaN  0.376290                 NaN  0.522394       0.944765                 NaN            NaN  0.817013                 NaN            NaN            NaN
  1436.76        2500.00        97.3901                 NaN  0.375621                 NaN  0.933240       0.499331                 NaN            NaN  0.801714                 NaN            NaN            NaN
  1435.18        2500.00        97.4379                 NaN  0.374916                 NaN  0.473962       0.926055                 NaN            NaN  0.787199                 NaN            NaN            NaN
  1433.60        2500.00        97.4892                 NaN  0.373747                 NaN  0.912059       0.453462                 NaN            NaN  0.771550                 NaN            NaN            NaN
  1432.02        2500.00        97.5357                 NaN  0.372900                 NaN  0.432118       0.901822                 NaN            NaN  0.757467                 NaN            NaN            NaN
  1430.43        2500.00        97.5756                 NaN  0.373163                 NaN  0.411284       0.894201                 NaN            NaN  0.745740                 NaN            NaN            NaN
  1428.85        2500.00        96.1752                 NaN  0.605323                 NaN   1.40999       0.629417                 NaN            NaN   1.18007                 NaN            NaN            NaN
  1427.27        2500.00        99.1748                 NaN  0.130270                 NaN  0.308358       0.134407                 NaN            NaN  0.252185                 NaN            NaN            NaN
  1425.69        2500.00        97.7071                 NaN  0.370436                 NaN  0.351134       0.865644                 NaN            NaN  0.705637                 NaN            NaN            NaN
  1424.10        2500.00        97.7438                 NaN  0.370412                 NaN  0.860128       0.331028                 NaN            NaN  0.694619                 NaN            NaN            NaN
  1422.52        2500.00        97.7863                 NaN  0.369185                 NaN  0.850124       0.312866                 NaN            NaN  0.681538                 NaN            NaN            NaN
  1420.94        2500.00        97.8205                 NaN  0.369079                 NaN  0.295059       0.844222                 NaN            NaN  0.671106                 NaN            NaN            NaN
  1419.36        2500.00        97.8569                 NaN  0.368823                 NaN  0.837973       0.276216                 NaN            NaN  0.660042                 NaN            NaN            NaN
  1417.78        2500.00        97.8913                 NaN  0.368446                 NaN  0.832499       0.258155                 NaN            NaN  0.649593                 NaN            NaN            NaN
  1416.19        2500.00        97.9261                 NaN  0.367571                 NaN  0.825134       0.242434                 NaN            NaN  0.638797                 NaN            NaN            NaN
  1414.61        2500.00        97.9554                 NaN  0.368897                 NaN  0.226021       0.819979                 NaN            NaN  0.629705                 NaN            NaN            NaN
  1413.03        2500.00        97.9922                 NaN  0.365770                 NaN  0.814239       0.209574                 NaN            NaN  0.618265                 NaN            NaN            NaN
  1411.45        2500.00        98.0222                 NaN  0.366493                 NaN  0.807686       0.194178                 NaN            NaN  0.609437                 NaN            NaN            NaN
  1409.86        2500.00        98.0220                 NaN  0.368957                 NaN  0.811189       0.187106                 NaN            NaN  0.610773                 NaN            NaN            NaN
  1408.28        2500.00        98.1011                 NaN  0.362709                 NaN  0.798725       0.154195                 NaN            NaN  0.583251                 NaN            NaN            NaN
  1406.70        2500.00        98.1088                 NaN  0.365161                 NaN  0.796764       0.146576                 NaN            NaN  0.582666                 NaN            NaN            NaN
  1405.12        2500.00        98.1311                 NaN  0.367642                 NaN  0.794285       0.130067                 NaN            NaN  0.576876                 NaN            NaN            NaN
  1403.53        2500.00        98.1714                 NaN  0.360049                 NaN  0.121711       0.784758                 NaN            NaN  0.562068                 NaN            NaN            NaN
  1401.95        2500.00        98.1893                 NaN  0.363165                 NaN  0.104221       0.785936                 NaN            NaN  0.557398                 NaN            NaN            NaN
  1400.37        2500.00        98.2158                 NaN  0.362569                 NaN  0.781670       0.908101E-001            NaN            NaN  0.549108                 NaN            NaN            NaN
  1398.79        2500.00        98.2440                 NaN  0.362255                 NaN  0.821690E-001  0.770599                 NaN            NaN  0.540976                 NaN            NaN            NaN
  1397.20        2500.00        98.2621                 NaN  0.361152                 NaN  0.778011       0.642363E-001            NaN            NaN  0.534546                 NaN            NaN            NaN
  1395.62        2500.00        98.2941                 NaN  0.359329                 NaN  0.772608       0.495633E-001            NaN            NaN  0.524375                 NaN            NaN            NaN
  1394.04        2500.00        98.3130                 NaN  0.358794                 NaN  0.385697E-001  0.771042                 NaN            NaN  0.518574                 NaN            NaN            NaN
  1392.46        2500.00        98.3352                 NaN  0.358050                 NaN  0.768340       0.269513E-001            NaN            NaN  0.511462                 NaN            NaN            NaN
  1390.87        2500.00        98.3557                 NaN  0.356958                 NaN  0.129989E-001  0.769530                 NaN            NaN  0.504812                 NaN            NaN            NaN
