|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/EETA/EETA_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             Opx(TH)        O(HP)          Sp(TH)         San(TH)        ilm            q             
  1423.08        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5586       0.191519       0.249843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.3994       0.215631       0.385009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4047       0.215221       0.380088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4073       0.213321       0.379372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4101       0.377734       0.212209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.4141       0.210647       0.375239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.5834       0.704401       0.544273       0.167877                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.5819       0.135598       0.120427       0.118993       0.265366E-001  0.165193E-001            NaN            NaN            NaN            NaN
  1413.54        500.000        98.5637       0.603091       0.435149       0.398047                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.4849       0.634709       0.460292       0.420064                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        98.5076       0.453785       0.625062       0.413601                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.4769       0.638005       0.462910       0.422155                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.5944       0.426857       0.589242       0.389549                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.5631       0.602578       0.436248       0.398028                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        98.5789       0.431451       0.596084       0.393559                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        98.4581       0.469103       0.646333       0.426457                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        98.7564       0.377313       0.522152       0.344158                 NaN  0.112919E-005            NaN            NaN            NaN            NaN
  1403.99        500.000        98.6340       0.475679       0.437051       0.387421                 NaN  0.658792E-001            NaN            NaN            NaN            NaN
  1402.93        500.000        98.6526       0.450745       0.384454       0.390251                 NaN  0.121941                 NaN            NaN            NaN            NaN
  1401.87        500.000        98.6702       0.375691       0.446079       0.385328                 NaN  0.122750                 NaN            NaN            NaN            NaN
  1400.81        500.000        99.3987       0.170456       0.198908       0.174728                 NaN  0.570616E-001  0.102920E-003            NaN            NaN            NaN
  1399.75        500.000        97.9890       0.559289       0.677529       0.583106                 NaN  0.191034                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.7162       0.351571       0.434429       0.372550                 NaN  0.125274                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.7331       0.343472       0.429818       0.367872                 NaN  0.125737                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.7462       0.426477       0.335629       0.364354                 NaN  0.127351                 NaN            NaN            NaN            NaN
  1395.51        500.000        98.7620       0.354880       0.415880       0.357336                 NaN  0.109904                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.7767       0.293013       0.425471       0.358450                 NaN  0.146353                 NaN            NaN            NaN            NaN
