|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/EETA/EETA_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             Opx(TH)        O(HP)          Sp(TH)         San(TH)        ilm            q             
  1423.08        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.6277       0.162775       0.209497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4921       0.180763       0.327161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4969       0.180296       0.322772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4993       0.178615       0.322057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.5019       0.320521       0.177570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.5055       0.176187       0.318276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.7736       0.597755       0.455432       0.173256                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.6272       0.114755       0.100480       0.122617       0.220212E-001  0.129418E-001            NaN            NaN            NaN            NaN
  1413.54        500.000        98.7172       0.503650       0.368655       0.410507                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.6475       0.529662       0.389740       0.433124                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        98.6685       0.383988       0.521237       0.426322                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.6419       0.531592       0.391441       0.435018                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.7476       0.360676       0.490506       0.401250                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.7206       0.501178       0.368369       0.409870                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        98.7354       0.364062       0.495367       0.405134                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        98.6289       0.395564       0.536655       0.438904                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        98.8951       0.317853       0.433089       0.353983                 NaN  0.873266E-006            NaN            NaN            NaN            NaN
  1403.99        500.000        98.7885       0.394245       0.367949       0.398387                 NaN  0.508863E-001            NaN            NaN            NaN            NaN
  1402.93        500.000        98.8073       0.379181       0.318348       0.401114                 NaN  0.940314E-001            NaN            NaN            NaN            NaN
  1401.87        500.000        98.8239       0.310785       0.374929       0.395866                 NaN  0.945072E-001            NaN            NaN            NaN            NaN
  1400.81        500.000        99.4690       0.140768       0.167035       0.179319                 NaN  0.438255E-001  0.650982E-004            NaN            NaN            NaN
  1399.75        500.000        98.2232       0.462132       0.568963       0.598978                 NaN  0.146757                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.8677       0.289922       0.364191       0.382180                 NaN  0.959775E-001            NaN            NaN            NaN            NaN
  1397.63        500.000        98.8836       0.283000       0.360016       0.377193                 NaN  0.961830E-001            NaN            NaN            NaN            NaN
  1396.57        500.000        98.8962       0.356905       0.276263       0.373399                 NaN  0.972346E-001            NaN            NaN            NaN            NaN
  1395.51        500.000        98.9106       0.291822       0.347743       0.366024                 NaN  0.837969E-001            NaN            NaN            NaN            NaN
  1394.45        500.000        98.9255       0.240707       0.355444       0.366973                 NaN  0.111408                 NaN            NaN            NaN            NaN
  1393.39        500.000        98.9363       0.347579       0.256558       0.360919                 NaN  0.986513E-001            NaN            NaN            NaN            NaN
  1392.33        500.000        99.6708       0.492224E-001  0.112776       0.117073                 NaN  0.490977E-001  0.101089E-002            NaN            NaN            NaN
  1391.27        500.000        98.2326       0.463594       0.564636       0.593567                 NaN  0.145638                 NaN            NaN            NaN            NaN
  1390.21        500.000        98.9711       0.240877       0.339253       0.349760                 NaN  0.990183E-001            NaN            NaN            NaN            NaN
  1389.15        500.000        98.9949       0.333104       0.229150       0.342206                 NaN  0.100635                 NaN            NaN            NaN            NaN
  1388.09        500.000        98.9995       0.227019       0.331766       0.341055                 NaN  0.100673                 NaN            NaN            NaN            NaN
  1387.03        500.000        99.0135       0.328081       0.222013       0.336309                 NaN  0.100087                 NaN            NaN            NaN            NaN
  1385.97        500.000        99.0244       0.215405       0.325895       0.333077                 NaN  0.101195                 NaN            NaN            NaN            NaN
  1384.91        500.000        99.0356       0.324541       0.204931       0.330184                 NaN  0.104718                 NaN            NaN            NaN            NaN
  1383.85        500.000        99.0465       0.210519       0.318934       0.325422                 NaN  0.986210E-001            NaN            NaN            NaN            NaN
  1382.79        500.000        99.0578       0.317956       0.199731       0.322457                 NaN  0.102050                 NaN            NaN            NaN            NaN
  1381.73        500.000        99.0667       0.194955       0.315951       0.319689                 NaN  0.102672                 NaN            NaN            NaN            NaN
  1380.67        500.000        99.0749       0.314609       0.190138       0.317210                 NaN  0.103133                 NaN            NaN            NaN            NaN
  1379.61        500.000        99.0958       0.182947       0.308417       0.310180                 NaN  0.102630                 NaN            NaN            NaN            NaN
  1378.55        500.000        99.0998       0.179360       0.308318       0.309182                 NaN  0.103380                 NaN            NaN            NaN            NaN
  1377.48        500.000        99.1095       0.175240       0.305522       0.306043                 NaN  0.103682                 NaN            NaN            NaN            NaN
  1376.42        500.000        99.0307       0.334236       0.187071       0.333434                 NaN  0.114604                 NaN            NaN            NaN            NaN
  1375.36        500.000        99.2192       0.149972       0.269465       0.268529                 NaN  0.928664E-001            NaN            NaN            NaN            NaN
  1374.30        500.000        99.1395       0.298670       0.161180       0.296341                 NaN  0.104328                 NaN            NaN            NaN            NaN
  1373.24        500.000        99.1498       0.155804       0.296194       0.293332                 NaN  0.104899                 NaN            NaN            NaN            NaN
  1372.18        500.000        99.1549       0.278887       0.207420       0.285204                 NaN  0.736042E-001            NaN            NaN            NaN            NaN
  1371.12        500.000        99.1713       0.307128       0.932122E-001  0.292369                 NaN  0.136040                 NaN            NaN            NaN            NaN
  1370.06        500.000        99.1743       0.145578       0.290052       0.285241                 NaN  0.104871                 NaN            NaN            NaN            NaN
  1369.00        500.000        99.1816       0.288676       0.140828       0.282960                 NaN  0.105938                 NaN            NaN            NaN            NaN
  1367.94        500.000        99.1959       0.137883       0.284381       0.277833                 NaN  0.104032                 NaN            NaN            NaN            NaN
  1366.88        500.000        99.2037       0.132748       0.283052       0.275482                 NaN  0.105013                 NaN            NaN            NaN            NaN
  1365.82        500.000        99.2114       0.127985       0.281744       0.273160                 NaN  0.105671                 NaN            NaN            NaN            NaN
  1364.76        500.000        99.2200       0.124488       0.279767       0.270256                 NaN  0.105444                 NaN            NaN            NaN            NaN
  1363.70        500.000        99.2278       0.277771       0.121076       0.267751                 NaN  0.105563                 NaN            NaN            NaN            NaN
  1362.64        500.000        99.2359       0.117447       0.275925       0.265191                 NaN  0.105555                 NaN            NaN            NaN            NaN
  1361.58        500.000        99.2441       0.114092       0.273928       0.262412                 NaN  0.105504                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.2515       0.272511       0.110355       0.259969                 NaN  0.105661                 NaN            NaN            NaN            NaN
  1359.46        500.000        99.2591       0.270499       0.107758       0.257387                 NaN  0.105273                 NaN            NaN            NaN            NaN
  1358.40        500.000        99.2664       0.268961       0.104399       0.254983                 NaN  0.105292                 NaN            NaN            NaN            NaN
  1357.34        500.000        99.2741       0.266896       0.101307       0.252414                 NaN  0.105262                 NaN            NaN            NaN            NaN
  1356.28        500.000        99.2809       0.265620       0.975454E-001  0.250323                 NaN  0.105629                 NaN            NaN            NaN            NaN
  1355.22        500.000        99.2891       0.262671       0.962158E-001  0.247360                 NaN  0.104637                 NaN            NaN            NaN            NaN
  1354.16        500.000        99.2951       0.262234       0.924840E-001  0.245446                 NaN  0.104749                 NaN            NaN            NaN            NaN
  1353.10        500.000        99.3042       0.893309E-001  0.259655       0.242224                 NaN  0.104587                 NaN            NaN            NaN            NaN
  1352.04        500.000        99.1797       0.305115       0.104977       0.286731                 NaN  0.123492                 NaN            NaN            NaN            NaN
  1350.98        500.000        99.4511       0.627951E-001  0.208399       0.191067                 NaN  0.866593E-001            NaN            NaN            NaN            NaN
  1349.92        500.000        99.3237       0.819177E-001  0.254760       0.235687                 NaN  0.103902                 NaN            NaN            NaN            NaN
