|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.25/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1625.00        2500.00       0.792414E-002            NaN   99.3132       0.645145       0.337650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00                 NaN            NaN   99.0776       0.831599       0.907824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00                 NaN            NaN   99.0846       0.825352       0.900229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00                 NaN            NaN   99.0957       0.815829       0.884491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00                 NaN            NaN   99.1046       0.807546       0.878452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN            NaN   99.1138       0.800057       0.861465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00                 NaN            NaN   99.1245       0.790824       0.846847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN            NaN   99.1318       0.785446       0.827903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN            NaN   99.1429       0.774889       0.822414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00                 NaN            NaN   99.7101       0.262976       0.269307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00                 NaN            NaN   98.6013        1.26612       0.132540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00                 NaN            NaN   99.1651       0.755176       0.797379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00                 NaN            NaN   99.1343       0.783051       0.826530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00                 NaN            NaN   99.2359       0.692331       0.717972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00                 NaN            NaN   99.1907       0.734795       0.745190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN            NaN   99.2039       0.722073       0.739963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00                 NaN            NaN   99.1844       0.741515       0.741119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00                 NaN            NaN   99.2410       0.690002       0.689485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00                 NaN            NaN   99.2260       0.702874       0.711697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00                 NaN            NaN   99.2342       0.700610       0.651780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00                 NaN            NaN   99.2404       0.686614       0.730080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN            NaN   99.2385       0.694365       0.671631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00                 NaN            NaN   99.2645       0.668951       0.665435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN            NaN   99.2622       0.672582       0.652424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00                 NaN            NaN   99.2693       0.666241       0.644346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN            NaN   99.2755       0.661098       0.634248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00                 NaN            NaN   99.2834       0.654277       0.622796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00                 NaN            NaN   99.2893       0.649644       0.610394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.14        2500.00                 NaN            NaN   99.2955       0.642879       0.616156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00                 NaN            NaN   99.3029       0.638119       0.589411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00                 NaN            NaN   99.3080       0.634627       0.573817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN            NaN   99.3145       0.628628       0.569069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00                 NaN            NaN   99.3199       0.623320       0.567905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN            NaN   99.3275       0.616493       0.560504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00                 NaN            NaN   99.3306       0.613302       0.560827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00                 NaN            NaN   99.3386       0.608059       0.533427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00                 NaN            NaN   99.3483       0.599476       0.521888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN            NaN   99.3476       0.602061       0.503186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.48        2500.00                 NaN            NaN   99.3554       0.594120       0.505278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN            NaN   98.8374        1.07555       0.870409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.34        2500.00                 NaN            NaN   99.8895       0.101632       0.882432E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00                 NaN            NaN   99.3712       0.580229       0.485803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.21        2500.00                 NaN            NaN   99.3746       0.578958       0.464897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00                 NaN            NaN   99.3788       0.574706       0.464838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.08        2500.00                 NaN            NaN   99.3896       0.563721       0.467144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00                 NaN            NaN   99.3881       0.569605       0.423081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.94        2500.00                 NaN            NaN   98.0838        1.77207       0.144174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.81        2500.00                 NaN            NaN   99.9696       0.303579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00                 NaN            NaN   99.5817       0.394529       0.237482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN            NaN   99.4117       0.549359       0.389738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN            NaN   99.4173       0.544536       0.382139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.55        2500.00                 NaN            NaN   99.2505       0.702390       0.471166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00                 NaN            NaN   99.5953       0.378028       0.266279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.41        2500.00                 NaN            NaN   99.4295       0.534085       0.363883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00                 NaN            NaN   99.4337       0.531381       0.348974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.28        2500.00                 NaN            NaN   99.4367       0.529265       0.339932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00                 NaN            NaN   99.4406       0.525919       0.335148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.15        2500.00                 NaN            NaN   99.4453       0.522138       0.325955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        2500.00                 NaN            NaN   99.4498       0.517821       0.323750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.02        2500.00                 NaN            NaN   99.4511       0.518026       0.308550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        2500.00                 NaN            NaN   99.4562       0.513936       0.298539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.88        2500.00                 NaN            NaN   99.4589       0.512065       0.289887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00                 NaN            NaN   99.4614       0.514673       0.239090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        2500.00                 NaN            NaN   99.4650       0.504172       0.307838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.18        2500.00                 NaN            NaN   99.6119       0.368390       0.197166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN            NaN   99.3266       0.641552       0.318027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.05        2500.00                 NaN            NaN   99.4747       0.500271       0.250605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.48        2500.00                 NaN            NaN   99.2162       0.758405       0.253665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00                 NaN            NaN   99.7808       0.155648       0.261740E-001            NaN  0.373501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.35        2500.00                 NaN            NaN   99.2753       0.226041       0.152584E-001            NaN  0.483444                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00                 NaN            NaN   99.2849                 NaN            NaN            NaN  0.715067                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.22        2500.00                 NaN            NaN   99.2690                 NaN            NaN            NaN  0.731030                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.65        2500.00                 NaN            NaN   99.2332                 NaN            NaN            NaN  0.712169       0.545917E-001            NaN            NaN            NaN            NaN            NaN
