|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.25/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1625.00        2500.00       0.122240E-001            NaN   99.2237       0.725328       0.387182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00                 NaN            NaN   98.9608       0.935087       0.104156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00                 NaN            NaN   98.9683       0.928410       0.103327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00                 NaN            NaN   98.9806       0.917864       0.101556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00                 NaN            NaN   98.9903       0.908797       0.100902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN            NaN   99.0004       0.900661       0.989728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00                 NaN            NaN   99.0122       0.890454       0.973441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN            NaN   99.0202       0.884576       0.951986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN            NaN   99.0325       0.872914       0.945944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00                 NaN            NaN   99.6725       0.296499       0.310199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00                 NaN            NaN   98.4215        1.42605       0.152446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00                 NaN            NaN   99.0569       0.851293       0.918369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00                 NaN            NaN   99.0216       0.883204       0.952156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
