|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1631.41        2500.00        99.4083       0.540100       0.515734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.6506       0.334712       0.146667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        98.4807        1.46364       0.556217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        99.0760       0.835554       0.884884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        99.0659       0.847034       0.870896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.1115       0.804001       0.844634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        99.1072       0.808420       0.843673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.1159       0.800659       0.834165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.1250       0.793015       0.819679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.1343       0.785486       0.801833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        97.5604        2.22696       0.212587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.8837       0.105205       0.110672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.2267       0.701696       0.715598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.1754       0.750756       0.738520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.1900       0.736749       0.732767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.1983       0.728550       0.731240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.2061       0.721583       0.723639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.2104       0.720104       0.695011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2166       0.715606       0.677815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.2343       0.696817       0.688843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.2359       0.697224       0.669061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.2444       0.689753       0.658586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        98.5686        1.30989       0.121543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.8388       0.146686       0.145566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.3713       0.575826       0.528462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.2743       0.663941       0.617391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.2804       0.658719       0.609178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.2872       0.652735       0.601048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.2926       0.647833       0.595296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.3020       0.640946       0.570528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3024       0.641685       0.559093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.3156       0.629054       0.553416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.3195       0.624338       0.561754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.3252       0.621555       0.532302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.3281       0.618924       0.529498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.3398       0.608217       0.520073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.5470       0.417015       0.359819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.8642       0.127030       0.874636E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        98.6341        1.26312       0.102789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.3593       0.591929       0.487840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.3577       0.596507       0.458061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        98.0971        1.75702       0.145884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        99.6384       0.330203       0.313820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.7320       0.264763       0.328645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.4839       0.459804       0.563016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3958       0.563184       0.410402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.4010       0.558618       0.403985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.4050       0.554478       0.405119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.4081       0.551816       0.401314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.4127       0.550158       0.371036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.4219       0.541720       0.363475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.4241       0.538762       0.371134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.4270       0.537502       0.354712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4324       0.532412       0.352110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.4333       0.532944       0.337337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.4432       0.522652       0.341383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.4384       0.531035       0.305631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.4504       0.517167       0.324626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.4547       0.514071       0.312350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.4554       0.514799       0.297991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.4606       0.508983       0.303858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        98.7631       0.553124       0.195138E-002  0.681859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.9891                 NaN  0.650329E-002  0.441184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.3487                 NaN            NaN  0.651313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.2944                 NaN  0.165489E-001  0.689017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        99.2764                 NaN  0.678237E-002  0.716836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        99.3405       0.168360                 NaN  0.491113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.2978                 NaN            NaN  0.702229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.2969                 NaN            NaN  0.703147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.2947                 NaN            NaN  0.705262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.2904                 NaN            NaN  0.709578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.2991                 NaN            NaN  0.700926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.2665                 NaN            NaN  0.733490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
