|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q              hed           
  1567.31        2500.00       0.173407E-001   99.9024                 NaN            NaN  0.503281E-001  0.299720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        2500.00                 NaN   99.4416                 NaN            NaN  0.504685       0.536998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        2500.00                 NaN   99.4419                 NaN            NaN  0.507043       0.510661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        2500.00                 NaN   99.4499                 NaN            NaN  0.497877       0.522425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        2500.00                 NaN   99.4532                 NaN            NaN  0.496009       0.508386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00                 NaN   99.4559                 NaN            NaN  0.494224       0.498737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        2500.00                 NaN   99.4607                 NaN            NaN  0.490062       0.492374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00                 NaN   99.4665                 NaN            NaN  0.483764       0.497462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        2500.00                 NaN   99.4590                 NaN            NaN  0.491758       0.492368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00                 NaN   99.4847                 NaN            NaN  0.468043       0.472429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        2500.00                 NaN   99.4771                 NaN            NaN  0.475429       0.474660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        2500.00                 NaN   99.4804                 NaN            NaN  0.472841       0.467474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        2500.00                 NaN   99.4499                 NaN            NaN  0.498724       0.513946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        2500.00                 NaN   99.5255                 NaN            NaN  0.431748       0.427618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        2500.00                 NaN   99.9967                 NaN            NaN            NaN  0.326245E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00                 NaN   98.9890                 NaN            NaN  0.925041       0.859911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        2500.00                 NaN   99.5060                 NaN            NaN  0.449243       0.447879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00                 NaN   99.5027                 NaN            NaN  0.453564       0.437701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        2500.00                 NaN   99.5073                 NaN            NaN  0.450219       0.424884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        2500.00                 NaN   99.5089                 NaN            NaN  0.448992       0.420629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        2500.00                 NaN   99.4592                 NaN            NaN  0.491321       0.494567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00                 NaN   99.5218                 NaN            NaN  0.237919       0.937091E-002  0.230870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        2500.00                 NaN   99.4071                 NaN            NaN  0.385649E-001  0.387725E-001  0.515523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        2500.00                 NaN   99.3902                 NaN            NaN  0.252414E-001            NaN  0.584574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        2500.00                 NaN   99.3144                 NaN            NaN  0.242319E-001  0.274000E-001  0.633920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00                 NaN   99.9037                 NaN            NaN  0.317495E-002            NaN  0.930861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        2500.00                 NaN   98.9743                 NaN            NaN  0.316049E-001            NaN  0.994104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00                 NaN   98.8541                 NaN            NaN  0.278039E-001            NaN   1.11810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        2500.00                 NaN   99.9439                 NaN            NaN  0.560590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00                 NaN   99.4520                 NaN            NaN  0.690542E-001  0.154269       0.324675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        2500.00                 NaN   99.4127                 NaN            NaN            NaN            NaN  0.587311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00                 NaN   99.4068                 NaN            NaN  0.171939                 NaN  0.421252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        2500.00                 NaN   99.3014                 NaN            NaN            NaN            NaN  0.698575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00                 NaN   99.6647                 NaN            NaN            NaN            NaN  0.335250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        2500.00                 NaN   99.2275                 NaN            NaN            NaN            NaN  0.772457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        2500.00                 NaN   99.4240                 NaN            NaN  0.329366                 NaN  0.246642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        2500.00                 NaN   99.3814                 NaN            NaN            NaN            NaN  0.618631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00                 NaN   99.4150                 NaN            NaN            NaN            NaN  0.584994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        2500.00                 NaN   99.3984                 NaN            NaN            NaN            NaN  0.601649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        2500.00                 NaN   99.3955                 NaN            NaN            NaN            NaN  0.604524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00       0.166338E-002   99.3897                 NaN            NaN            NaN            NaN  0.608681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        2500.00       0.445455E-002   99.3833                 NaN            NaN            NaN            NaN  0.612294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        2500.00       0.441633E-002   99.3792                 NaN            NaN            NaN            NaN  0.616380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        2500.00       0.437230E-002   99.3763                 NaN            NaN            NaN            NaN  0.619356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        2500.00       0.432657E-002   99.3718                 NaN            NaN            NaN            NaN  0.623838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        2500.00       0.427396E-002   99.3680                 NaN            NaN            NaN            NaN  0.627725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        2500.00       0.423408E-002   99.3602                 NaN            NaN            NaN            NaN  0.635585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00       0.417747E-002   99.3565                 NaN            NaN            NaN            NaN  0.639317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        2500.00       0.411628E-002   99.3434                 NaN            NaN            NaN            NaN  0.652473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00       0.303456E-002   99.1591                 NaN            NaN            NaN            NaN  0.379913       0.458000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        2500.00       0.227423E-002   99.0503                 NaN            NaN            NaN            NaN  0.621057       0.326321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        2500.00       0.220794E-002   99.0607                 NaN            NaN            NaN            NaN  0.323513       0.613588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        2500.00       0.215187E-002   99.0679                 NaN            NaN            NaN            NaN  0.320844       0.609086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        2500.00       0.208372E-002   99.0769                 NaN            NaN            NaN            NaN  0.602656       0.318391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        2500.00       0.200997E-002   99.0811                 NaN            NaN            NaN            NaN  0.315993       0.600858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        2500.00       0.194922E-002   99.0961                 NaN            NaN            NaN            NaN  0.589032       0.312870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        2500.00       0.190382E-002   99.1011                 NaN            NaN            NaN            NaN  0.311067       0.585938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        2500.00       0.182547E-002   99.1093                 NaN            NaN            NaN            NaN  0.308656       0.580221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        2500.00       0.177023E-002   99.1172                 NaN            NaN            NaN            NaN  0.574564       0.306473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        2500.00       0.170620E-002   99.1242                 NaN            NaN            NaN            NaN  0.304429       0.569668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.00        2500.00       0.164997E-002   99.1321                 NaN            NaN            NaN            NaN  0.301788       0.564438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        2500.00       0.160182E-002   99.1388                 NaN            NaN            NaN            NaN  0.559750       0.299876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        2500.00       0.154179E-002   99.1462                 NaN            NaN            NaN            NaN  0.297668       0.554615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        2500.00       0.148794E-002   99.1527                 NaN            NaN            NaN            NaN  0.550279       0.295583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        2500.00       0.143248E-002   99.1603                 NaN            NaN            NaN            NaN  0.544683       0.293560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        2500.00       0.120185E-002   99.2485                 NaN            NaN            NaN            NaN  0.262879       0.487413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        2500.00       0.146317E-002   99.0925                 NaN            NaN            NaN            NaN  0.317996       0.588070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        2500.00       0.128729E-002   99.1794                 NaN            NaN            NaN            NaN  0.287127       0.532227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00       0.122775E-002   99.1868                 NaN            NaN            NaN            NaN  0.285048       0.526879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        2500.00       0.119593E-002   99.1925                 NaN            NaN            NaN            NaN  0.523209       0.283095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        2500.00       0.114339E-002   99.1987                 NaN            NaN            NaN            NaN  0.280809       0.519363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        2500.00       0.109894E-002   99.2045                 NaN            NaN            NaN            NaN  0.279455       0.514965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        2500.00       0.105299E-002   99.2112                 NaN            NaN            NaN            NaN  0.276898       0.510810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        2500.00       0.101139E-002   99.2163                 NaN            NaN            NaN            NaN  0.507533       0.275117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        2500.00       0.948599E-003   99.2208                 NaN            NaN            NaN            NaN  0.504065       0.274163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        2500.00       0.919527E-003   99.2289                 NaN            NaN            NaN            NaN  0.498666       0.271469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        2500.00       0.875668E-003   99.2337                 NaN            NaN            NaN            NaN  0.495885       0.269561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        2500.00       0.832420E-003   99.2384                 NaN            NaN            NaN            NaN  0.493347       0.267382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        2500.00       0.804199E-003   99.2435                 NaN            NaN            NaN            NaN  0.489609       0.266118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        2500.00       0.748118E-003   99.2441                 NaN            NaN            NaN            NaN  0.489325       0.265782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        2500.00       0.720470E-003   99.2587                 NaN            NaN            NaN            NaN  0.261287       0.479339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        2500.00       0.702025E-003   99.2581                 NaN            NaN            NaN            NaN  0.480123       0.261043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        2500.00       0.659106E-003   99.2649                 NaN            NaN            NaN            NaN  0.258513       0.475922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        2500.00       0.625616E-003   99.2681                 NaN            NaN            NaN            NaN  0.474014       0.257290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00       0.589335E-003   99.2730                 NaN            NaN            NaN            NaN  0.255589       0.470804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        2500.00       0.526135E-003   99.3022                 NaN            NaN            NaN            NaN  0.244825       0.452472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        2500.00       0.536233E-003   99.2572                 NaN            NaN            NaN            NaN  0.260848       0.481407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        2500.00       0.493028E-003   99.2869                 NaN            NaN            NaN            NaN  0.250484       0.462109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        2500.00       0.459652E-003   99.2908                 NaN            NaN            NaN            NaN  0.459843       0.248937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.77        2500.00       0.100789E-003   99.2765                 NaN            NaN            NaN            NaN  0.227052       0.489253                 NaN  0.706712E-002            NaN            NaN            NaN            NaN            NaN
  1439.35        2500.00                 NaN   99.2717                 NaN            NaN            NaN            NaN  0.215368       0.502289                 NaN  0.106774E-001            NaN            NaN            NaN            NaN            NaN
  1437.92        2500.00                 NaN   99.2770                 NaN            NaN            NaN            NaN  0.214247       0.498291                 NaN  0.105106E-001            NaN            NaN            NaN            NaN            NaN
  1436.50        2500.00                 NaN   99.2819                 NaN            NaN            NaN            NaN  0.212695       0.495104                 NaN  0.103204E-001            NaN            NaN            NaN            NaN            NaN
  1435.08        2500.00                 NaN   99.2870                 NaN            NaN            NaN            NaN  0.490972       0.211896                 NaN  0.101099E-001            NaN            NaN            NaN            NaN            NaN
  1433.66        2500.00                 NaN   99.2918                 NaN            NaN            NaN            NaN  0.210683       0.487594                 NaN  0.994617E-002            NaN            NaN            NaN            NaN            NaN
  1432.24        2500.00                 NaN   98.9608                 NaN            NaN            NaN            NaN  0.310495       0.545550                 NaN  0.196338E-001  0.163533                 NaN            NaN            NaN            NaN
  1430.81        2500.00                 NaN   97.6828                 NaN            NaN            NaN            NaN  0.692955       0.771981                 NaN  0.571886E-001  0.795114                 NaN            NaN            NaN            NaN
  1429.39        2500.00                 NaN   97.7509                 NaN            NaN            NaN            NaN  0.749411       0.672936                 NaN  0.551045E-001  0.771673                 NaN            NaN            NaN            NaN
  1427.97        2500.00                 NaN   97.8160                 NaN            NaN            NaN            NaN  0.652434       0.729007                 NaN  0.532667E-001  0.749301                 NaN            NaN            NaN            NaN
  1426.55        2500.00                 NaN   97.8761                 NaN            NaN            NaN            NaN  0.710816       0.632863                 NaN  0.515387E-001  0.728700                 NaN            NaN            NaN            NaN
  1425.13        2500.00                 NaN   97.9371                 NaN            NaN            NaN            NaN  0.615053       0.690384                 NaN  0.498050E-001  0.707667                 NaN            NaN            NaN            NaN
  1423.71        2500.00                 NaN   97.9921                 NaN            NaN            NaN            NaN  0.599682       0.671488                 NaN  0.480258E-001  0.688724                 NaN            NaN            NaN            NaN
  1422.28        2500.00                 NaN   98.0462                 NaN            NaN            NaN            NaN  0.583164       0.654128                 NaN  0.465472E-001  0.669971                 NaN            NaN            NaN            NaN
  1420.86        2500.00                 NaN   98.0937                 NaN            NaN            NaN            NaN  0.569319       0.637577                 NaN  0.451758E-001  0.654179                 NaN            NaN            NaN            NaN
  1419.44        2500.00                 NaN   98.1487                 NaN            NaN            NaN            NaN  0.620376       0.552720                 NaN  0.435994E-001  0.634605                 NaN            NaN            NaN            NaN
  1418.02        2500.00                 NaN   98.1894                 NaN            NaN            NaN            NaN  0.607368       0.540118                 NaN  0.423076E-001  0.620813                 NaN            NaN            NaN            NaN
  1416.60        2500.00                 NaN   98.2367                 NaN            NaN            NaN            NaN  0.526219       0.592209                 NaN  0.408832E-001  0.603996                 NaN            NaN            NaN            NaN
  1415.17        2500.00                 NaN   98.2786                 NaN            NaN            NaN            NaN  0.577281       0.514862                 NaN  0.396593E-001  0.589567                 NaN            NaN            NaN            NaN
  1413.75        2500.00                 NaN   98.3194                 NaN            NaN            NaN            NaN  0.503235       0.563434                 NaN  0.384485E-001  0.575448                 NaN            NaN            NaN            NaN
  1412.33        2500.00                 NaN   98.3573                 NaN            NaN            NaN            NaN  0.492411       0.550730                 NaN  0.373230E-001  0.562268                 NaN            NaN            NaN            NaN
  1410.91        2500.00                 NaN   98.3960                 NaN            NaN            NaN            NaN  0.537901       0.481192                 NaN  0.361101E-001  0.548747                 NaN            NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.4216                 NaN            NaN            NaN            NaN  0.530734       0.472037                 NaN  0.354571E-001  0.540132                 NaN            NaN            NaN            NaN
  1408.07        2500.00                 NaN   98.4752                 NaN            NaN            NaN            NaN  0.509903       0.460235                 NaN  0.337147E-001  0.520907                 NaN            NaN            NaN            NaN
  1406.64        2500.00                 NaN   98.4986                 NaN            NaN            NaN            NaN  0.502932       0.452214                 NaN  0.330473E-001  0.513171                 NaN            NaN            NaN            NaN
  1405.22        2500.00                 NaN   98.5313                 NaN            NaN            NaN            NaN  0.492053       0.442833                 NaN  0.320909E-001  0.501694                 NaN            NaN            NaN            NaN
  1403.80        2500.00                 NaN   98.5612                 NaN            NaN            NaN            NaN  0.481718       0.434778                 NaN  0.311296E-001  0.491161                 NaN            NaN            NaN            NaN
  1402.38        2500.00                 NaN   98.5915                 NaN            NaN            NaN            NaN  0.470915       0.426830                 NaN  0.301791E-001  0.480581                 NaN            NaN            NaN            NaN
  1400.96        2500.00                 NaN   98.6200                 NaN            NaN            NaN            NaN  0.461375       0.418567                 NaN  0.293574E-001  0.470718                 NaN            NaN            NaN            NaN
  1399.53        2500.00                 NaN   98.6414                 NaN            NaN            NaN            NaN  0.453225       0.413222                 NaN  0.286308E-001  0.463569                 NaN            NaN            NaN            NaN
  1398.11        2500.00                 NaN   98.6796                 NaN            NaN            NaN            NaN  0.440814       0.402546                 NaN  0.275396E-001  0.449531                 NaN            NaN            NaN            NaN
  1396.69        2500.00                 NaN   98.6985                 NaN            NaN            NaN            NaN  0.397633       0.433834                 NaN  0.268908E-001  0.443153                 NaN            NaN            NaN            NaN
  1395.27        2500.00                 NaN   98.7256                 NaN            NaN            NaN            NaN  0.424232       0.390512                 NaN  0.260481E-001  0.433613                 NaN            NaN            NaN            NaN
  1393.85        2500.00                 NaN   98.7482                 NaN            NaN            NaN            NaN  0.416380       0.384363                 NaN  0.253562E-001  0.425730                 NaN            NaN            NaN            NaN
  1392.42        2500.00                 NaN   98.7711                 NaN            NaN            NaN            NaN  0.378085       0.408500                 NaN  0.246433E-001  0.417679                 NaN            NaN            NaN            NaN
  1391.00        2500.00                 NaN   98.7936                 NaN            NaN            NaN            NaN  0.372696       0.400077                 NaN  0.238905E-001  0.409714                 NaN            NaN            NaN            NaN
  1389.58        2500.00                 NaN   98.8149                 NaN            NaN            NaN            NaN  0.392784       0.366897                 NaN  0.232317E-001  0.402196                 NaN            NaN            NaN            NaN
  1388.16        2500.00                 NaN   98.8363                 NaN            NaN            NaN            NaN  0.384805       0.361728                 NaN  0.225486E-001  0.394648                 NaN            NaN            NaN            NaN
  1386.74        2500.00                 NaN   98.8565                 NaN            NaN            NaN            NaN  0.377534       0.356581                 NaN  0.219075E-001  0.387523                 NaN            NaN            NaN            NaN
  1385.32        2500.00                 NaN   98.8759                 NaN            NaN            NaN            NaN  0.370465       0.351801                 NaN  0.212474E-001  0.380548                 NaN            NaN            NaN            NaN
