|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/GRV/GRV_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1554.49        500.000       0.126556E-001   99.3122       0.545658       0.129482                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN   99.2441       0.755929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000       0.172826E-002   99.2609       0.710577       0.268213E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN   99.2544       0.745583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN   99.2543       0.745710       0.685037E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN   99.2661       0.733875       0.505776E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN   99.2668       0.733168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN   99.2672       0.732767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN   99.2731       0.726948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN   99.2785       0.721469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN   99.2738       0.726219       0.659032E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN   99.2892       0.710806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN   99.2898       0.710250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN   99.2927       0.707287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN   99.2927       0.707335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN   99.2960       0.703997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN   99.2794       0.720565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN   99.3208       0.679234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN   99.3016       0.698422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.3052       0.694784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN   99.3076       0.692401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
