|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/GRV/GRV_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1554.49        500.000       0.202320E-001   99.2096       0.618239       0.151966                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN   99.1434       0.856622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000       0.276425E-002   99.1602       0.805568       0.315047E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN   99.1545       0.845534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN   99.1544       0.845572       0.805543E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN   99.1675       0.832491       0.594566E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN   99.1682       0.831782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN   99.1686       0.831427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN   99.1751       0.824903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN   99.1811       0.818867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN   99.1755       0.824516       0.776403E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN   99.1928       0.807185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN   99.1934       0.806612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN   99.1964       0.803637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN   99.1963       0.803694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN   99.1998       0.800163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN   99.1809       0.819128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN   99.2277       0.772282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN   99.2058       0.794237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.2096       0.790414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN   99.2123       0.787672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN   99.2017       0.752050                 NaN  0.462892E-001            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN   98.6998       0.674208                 NaN  0.612513       0.134513E-001            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN   98.1637       0.571548                 NaN   1.26475                 NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN   98.1930       0.564722                 NaN   1.24232                 NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   98.2244       0.557293                 NaN   1.21834                 NaN            NaN            NaN            NaN            NaN
  1518.36        500.000                 NaN   98.2510       0.551090                 NaN   1.19795                 NaN            NaN            NaN            NaN            NaN
  1516.97        500.000                 NaN   98.2783       0.540891                 NaN   1.18080                 NaN            NaN            NaN            NaN            NaN
  1515.58        500.000                 NaN   98.3042       0.534011                 NaN   1.16182                 NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   98.3310       0.528812                 NaN   1.14020                 NaN            NaN            NaN            NaN            NaN
  1512.80        500.000                 NaN   98.3585       0.515950                 NaN   1.12557                 NaN            NaN            NaN            NaN            NaN
  1511.41        500.000                 NaN   98.3819       0.508712                 NaN   1.10940                 NaN            NaN            NaN            NaN            NaN
  1510.02        500.000                 NaN   98.4057       0.499250                 NaN   1.09508                 NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.1879       0.255720                 NaN  0.556363                 NaN            NaN            NaN            NaN            NaN
  1507.24        500.000                 NaN   97.6923       0.724144                 NaN   1.58357                 NaN            NaN            NaN            NaN            NaN
  1505.85        500.000                 NaN   98.4752       0.475147                 NaN   1.04968                 NaN            NaN            NaN            NaN            NaN
  1504.46        500.000                 NaN   98.4961       0.470430                 NaN   1.03343                 NaN            NaN            NaN            NaN            NaN
  1503.07        500.000                 NaN   98.5174       0.461131                 NaN   1.02145                 NaN            NaN            NaN            NaN            NaN
  1501.68        500.000                 NaN   98.5395       0.453258                 NaN   1.00721                 NaN            NaN            NaN            NaN            NaN
  1500.29        500.000                 NaN   98.5596       0.445833                 NaN  0.994562                 NaN            NaN            NaN            NaN            NaN
  1498.90        500.000                 NaN   98.5779       0.438021                 NaN  0.984062                 NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN   98.5975       0.431883                 NaN  0.970602                 NaN            NaN            NaN            NaN            NaN
  1496.12        500.000                 NaN   98.6195       0.422653                 NaN  0.957883                 NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   98.6357       0.417225                 NaN  0.947107                 NaN            NaN            NaN            NaN            NaN
  1493.34        500.000                 NaN   98.5371       0.447051                 NaN   1.01583                 NaN            NaN            NaN            NaN            NaN
  1491.95        500.000                 NaN   98.7912       0.365684                 NaN  0.843145                 NaN            NaN            NaN            NaN            NaN
  1490.56        500.000                 NaN   98.6903       0.395263                 NaN  0.914481                 NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.7028       0.390573                 NaN  0.906632                 NaN            NaN            NaN            NaN            NaN
  1487.78        500.000                 NaN   98.7265       0.381603                 NaN  0.891881                 NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN   98.7380       0.375121                 NaN  0.886835                 NaN            NaN            NaN            NaN            NaN
  1485.01        500.000                 NaN   98.7536       0.366593                 NaN  0.879784                 NaN            NaN            NaN            NaN            NaN
  1483.62        500.000                 NaN   98.7715       0.362504                 NaN  0.865959                 NaN            NaN            NaN            NaN            NaN
  1482.23        500.000                 NaN   98.7849       0.353928                 NaN  0.861166                 NaN            NaN            NaN            NaN            NaN
  1480.84        500.000                 NaN   98.7993       0.349954       0.106872E-005  0.850755                 NaN            NaN            NaN            NaN            NaN
  1479.45        500.000                 NaN   98.8121       0.342039                 NaN  0.845900                 NaN            NaN            NaN            NaN            NaN
  1478.06        500.000                 NaN   98.8288       0.335930                 NaN  0.835275                 NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN   98.8400       0.329589                 NaN  0.830400                 NaN            NaN            NaN            NaN            NaN
  1475.28        500.000                 NaN   98.8536       0.324785                 NaN  0.821650                 NaN            NaN            NaN            NaN            NaN
  1473.89        500.000                 NaN   98.8685       0.317797                 NaN  0.813668                 NaN            NaN            NaN            NaN            NaN
  1472.50        500.000                 NaN   98.8756       0.312824                 NaN  0.811536                 NaN            NaN            NaN            NaN            NaN
  1471.11        500.000                 NaN   98.8936       0.306716       0.106332E-005  0.799656                 NaN            NaN            NaN            NaN            NaN
  1469.72        500.000                 NaN   98.9050       0.301440                 NaN  0.793559                 NaN            NaN            NaN            NaN            NaN
  1468.33        500.000                 NaN   98.9156       0.295770                 NaN  0.788590                 NaN            NaN            NaN            NaN            NaN
  1466.94        500.000                 NaN   98.9260       0.290561                 NaN  0.783462                 NaN            NaN            NaN            NaN            NaN
  1465.55        500.000                 NaN   98.9386       0.286061                 NaN  0.775293                 NaN            NaN            NaN            NaN            NaN
