|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/GRV/GRV_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.2335                 NaN  0.765881       0.593629E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.0656                 NaN  0.934360       0.269299E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.0724                 NaN  0.924253       0.337231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.0788                 NaN  0.889737       0.315093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.0825                 NaN  0.888102       0.293844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        97.1873                 NaN   2.68246       0.125837       0.441931E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.9964                 NaN  0.356369E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.2636                 NaN  0.736416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.1180                 NaN  0.872068       0.996897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.1176                 NaN  0.861116       0.212927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.1227                 NaN  0.856417       0.209068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.1241                 NaN  0.863205       0.126854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.5452                 NaN  0.339720E-001  0.589963E-001  0.433311E-002  0.357507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        98.6054                 NaN  0.978497       0.801221E-003            NaN  0.415313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        98.9600                 NaN  0.413549E-001            NaN            NaN  0.998595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        98.8665                 NaN            NaN            NaN            NaN   1.13352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.0058                 NaN            NaN            NaN  0.812631E-002  0.986109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
