|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             ilm            San(TH)        ne             lc            
  1560.90        2500.00        99.9326       0.674133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        2500.00        99.4752       0.683891E-001  0.456368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        2500.00        99.4530       0.535450E-001  0.493412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.4579       0.526665E-001  0.489388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        2500.00        99.4626       0.521464E-001  0.485271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.4654       0.510898E-001  0.483542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        2500.00        99.4679       0.510586E-001  0.481070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        99.4742       0.495365E-001  0.476304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        2500.00        99.4736       0.488230E-001  0.477527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00        99.4832       0.485661E-001  0.468232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        99.4828       0.487384E-001  0.468434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        2500.00        98.9235       0.893792E-001  0.987153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        2500.00        99.9987       0.125375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        2500.00        99.5444       0.355513E-001  0.420079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        2500.00        99.4985       0.459338E-001  0.455594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.5020       0.447618E-001  0.453223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        2500.00        99.5048       0.443588E-001  0.450801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.7985       0.178512E-001  0.183671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        2500.00        99.2228       0.699885E-001  0.707249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        2500.00        99.5152       0.427968E-001  0.442009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        2500.00        99.5181       0.426194E-001  0.439252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.7691       0.191976E-001  0.211664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        2500.00        99.2754       0.630737E-001  0.661497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00        99.5273       0.406943E-001  0.431974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        2500.00        99.5059       0.408787E-001  0.453245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        2500.00        99.5558       0.372042E-001  0.407025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        2500.00        99.5354       0.382476E-001  0.426351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        99.4974       0.195404E-001  0.305002       0.178051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        2500.00        99.3477                 NaN  0.131905E-002  0.650943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.4680       0.163682E-001            NaN  0.515604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00        99.4102       0.183308E-001            NaN  0.571504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.4046                 NaN            NaN  0.595388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00        99.4068                 NaN            NaN  0.593172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00        99.4058                 NaN            NaN  0.594240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00        99.4060                 NaN            NaN  0.594009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.4060                 NaN            NaN  0.594032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00        99.2933                 NaN            NaN  0.706735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00        99.8098                 NaN            NaN  0.190182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
