|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             ilm            San(TH)        ne             lc            
  1560.90        2500.00        99.9206       0.793526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        2500.00        99.4014       0.804932E-001  0.518124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        2500.00        99.3767       0.630320E-001  0.560297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.3820       0.620360E-001  0.555952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        2500.00        99.3872       0.614494E-001  0.551345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.3903       0.602338E-001  0.549507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        2500.00        99.3927       0.602372E-001  0.547051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        99.4000       0.584603E-001  0.541569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        2500.00        99.3992       0.576379E-001  0.543148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00        99.4099       0.573591E-001  0.532725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        99.4094       0.575804E-001  0.533042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        2500.00        98.7716       0.105737        1.12262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        2500.00        99.9985       0.148412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        2500.00        99.4795       0.420649E-001  0.478425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        2500.00        99.4267       0.543550E-001  0.518961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.4306       0.530027E-001  0.516374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        2500.00        99.4337       0.525521E-001  0.513784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.7694       0.211529E-001  0.209446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        2500.00        99.1109       0.829467E-001  0.806189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        2500.00        99.4451       0.507735E-001  0.504157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        2500.00        99.4482       0.505825E-001  0.501190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.7356       0.227971E-001  0.241609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        2500.00        99.1703       0.748994E-001  0.754829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00        99.4584       0.483669E-001  0.493249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        2500.00        99.4339       0.486004E-001  0.517534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        2500.00        99.4907       0.442556E-001  0.465003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        2500.00        99.4673       0.455208E-001  0.487184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        99.4259       0.232620E-001  0.348580       0.202276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        2500.00        99.2587                 NaN  0.150791E-002  0.739787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.3944       0.195069E-001            NaN  0.586140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00        99.3282       0.218525E-001            NaN  0.649905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.3228                 NaN            NaN  0.677187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00        99.3250                 NaN            NaN  0.674967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00        99.3235                 NaN            NaN  0.676494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00        99.3236                 NaN            NaN  0.676354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.3234                 NaN            NaN  0.676573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00        99.1948                 NaN            NaN  0.805232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00        99.7831                 NaN            NaN  0.216871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        2500.00        98.9834                 NaN  0.691496E-001  0.947452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00        99.3135                 NaN            NaN  0.686499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        2500.00        99.3145                 NaN            NaN  0.685498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.4232                 NaN            NaN  0.576836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00        99.1860                 NaN            NaN  0.814045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00        99.2969                 NaN            NaN  0.703068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00        99.2894                 NaN            NaN  0.710626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.2842                 NaN            NaN  0.715776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00        99.2740                 NaN            NaN  0.726024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00        99.1404                 NaN            NaN  0.601417       0.258168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        98.9203                 NaN            NaN  0.691521       0.388164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00        98.9302                 NaN            NaN  0.684143       0.385649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00        98.9363                 NaN            NaN  0.386841       0.675033       0.182392E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00        98.9349                 NaN            NaN  0.386647       0.675145       0.331260E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00        98.5741                 NaN            NaN  0.899443       0.522125       0.437310E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00        99.9062                 NaN            NaN  0.351025E-001  0.584384E-001  0.275888E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00        98.4120                 NaN            NaN  0.583205        1.00006       0.471593E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        98.9795                 NaN            NaN  0.641622       0.375851       0.299472E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00        98.9868                 NaN            NaN  0.373182       0.637173       0.288963E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        98.9944                 NaN            NaN  0.632231       0.370553       0.280326E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00        99.0022                 NaN            NaN  0.627154       0.367893       0.270555E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00        99.0083                 NaN            NaN  0.366046       0.622999       0.262930E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00        99.0161                 NaN            NaN  0.617779       0.363529       0.254900E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00        99.0230                 NaN            NaN  0.361304       0.613261       0.245438E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00        99.0292                 NaN            NaN  0.358931       0.609470       0.237350E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        99.0347                 NaN            NaN  0.357235       0.605709       0.231711E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00        99.0474                 NaN            NaN  0.353534       0.596838       0.221244E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00        99.0511                 NaN            NaN  0.594651       0.352118       0.215559E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00        99.0565                 NaN            NaN  0.591519       0.349856       0.207919E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00        99.0636                 NaN            NaN  0.347734       0.586644       0.200245E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00        99.0704                 NaN            NaN  0.581917       0.345712       0.194705E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00        99.0755                 NaN            NaN  0.578540       0.344037       0.187457E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00        99.0799                 NaN            NaN  0.575969       0.342375       0.179622E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00        99.0903                 NaN            NaN  0.568664       0.339270       0.173533E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00        99.0942                 NaN            NaN  0.566862       0.337276       0.167940E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00        99.3960                 NaN            NaN  0.378567       0.224355       0.108180E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00        98.8052                 NaN            NaN  0.746907       0.445820       0.208966E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00        99.1104                 NaN            NaN  0.331729       0.556373       0.149948E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00        99.1157                 NaN            NaN  0.330089       0.552832       0.140871E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00        99.1213                 NaN            NaN  0.327926       0.549386       0.137290E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00        99.9813       0.475471E-002            NaN  0.139643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00        98.2776                 NaN            NaN   1.09074       0.629033       0.259605E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00        99.1353                 NaN            NaN  0.322963       0.540526       0.119544E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00        99.1404                 NaN            NaN  0.320866       0.537572       0.115239E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00        99.1447                 NaN            NaN  0.319283       0.534873       0.112664E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.1470                 NaN            NaN  0.533461       0.318498       0.105260E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00        99.1581                 NaN            NaN  0.314992       0.525876       0.100827E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00        99.1582                 NaN            NaN  0.526705       0.314179       0.958812E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.1587                 NaN            NaN  0.313775       0.526607       0.938439E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.1695                 NaN            NaN  0.519373       0.310264       0.882405E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00        99.1700                 NaN            NaN  0.309796       0.519359       0.855590E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00        99.1754                 NaN            NaN  0.307730       0.516109       0.799488E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00        99.1779                 NaN            NaN  0.514633       0.306679       0.771286E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        99.1823                 NaN            NaN  0.511929       0.305051       0.722818E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00        99.1853                 NaN            NaN  0.303517       0.510454       0.695019E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00        99.1888                 NaN            NaN  0.508415       0.302095       0.644350E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00        99.1920                 NaN            NaN  0.300628       0.506756       0.622467E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.1946       0.466314E-005            NaN  0.505498       0.299321       0.588747E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00        99.1986                 NaN            NaN  0.297803       0.502991       0.560930E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1424.54        2500.00        99.2023       0.132495E-004            NaN  0.501088       0.296086       0.529019E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1423.14        2500.00        98.7099       0.478428E-001            NaN  0.538878       0.455320                 NaN            NaN  0.248033                 NaN            NaN            NaN            NaN
  1421.73        2500.00        98.1983       0.267622                 NaN  0.386613       0.613621       0.456069E-002            NaN  0.529275                 NaN            NaN            NaN            NaN
  1420.32        2500.00        98.2302       0.267618                 NaN  0.615693       0.366124                 NaN            NaN  0.520402                 NaN            NaN            NaN            NaN
  1418.92        2500.00        98.2423       0.270680                 NaN  0.356210       0.612839                 NaN            NaN  0.517991                 NaN            NaN            NaN            NaN
  1417.51        2500.00        98.2776       0.268431                 NaN  0.603162       0.343922                 NaN            NaN  0.506905                 NaN            NaN            NaN            NaN
  1416.11        2500.00        98.3013       0.266725                 NaN  0.596712       0.335421                 NaN            NaN  0.499813                 NaN            NaN            NaN            NaN
  1414.70        2500.00        98.3209       0.267840                 NaN  0.592001       0.324659                 NaN            NaN  0.494572                 NaN            NaN            NaN            NaN
  1413.29        2500.00        98.3440       0.267782                 NaN  0.585608       0.314655                 NaN            NaN  0.487915                 NaN            NaN            NaN            NaN
  1411.89        2500.00        98.3639       0.267533                 NaN  0.581920       0.304483                 NaN            NaN  0.482166                 NaN            NaN            NaN            NaN
  1410.48        2500.00        98.3871       0.266980                 NaN  0.575678       0.295274                 NaN            NaN  0.474943                 NaN            NaN            NaN            NaN
  1409.08        2500.00        98.4068       0.266667                 NaN  0.570279       0.287012                 NaN            NaN  0.469272                 NaN            NaN            NaN            NaN
  1407.67        2500.00        98.4239       0.267592                 NaN  0.279409       0.564497                 NaN            NaN  0.464610                 NaN            NaN            NaN            NaN
  1406.27        2500.00        98.4478       0.266151                 NaN  0.559947       0.269040                 NaN            NaN  0.457074                 NaN            NaN            NaN            NaN
  1404.86        2500.00        98.4660       0.266165                 NaN  0.555093       0.260910                 NaN            NaN  0.451837                 NaN            NaN            NaN            NaN
  1403.45        2500.00        98.4785       0.268413                 NaN  0.553454       0.250951                 NaN            NaN  0.448648                 NaN            NaN            NaN            NaN
  1402.05        2500.00        98.5497       0.256820                 NaN  0.529315       0.237265                 NaN            NaN  0.426853                 NaN            NaN            NaN            NaN
  1400.64        2500.00        98.4836       0.271356                 NaN  0.553164       0.245711                 NaN            NaN  0.446175                 NaN            NaN            NaN            NaN
  1399.24        2500.00        98.5388       0.264734                 NaN  0.229289       0.537026                 NaN            NaN  0.430188                 NaN            NaN            NaN            NaN
  1397.83        2500.00        98.5553       0.265242                 NaN  0.220970       0.533088                 NaN            NaN  0.425443                 NaN            NaN            NaN            NaN
  1396.43        2500.00        98.5720       0.264139                 NaN  0.529339       0.214226                 NaN            NaN  0.420269                 NaN            NaN            NaN            NaN
