|6.6.6
Archiving\03_Data\Deqfrac/QFM/YM20/YM20_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1605.77        2500.00        99.4235       0.551837       0.246957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.1703       0.734843       0.948989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00        99.1824       0.724024       0.936012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.1867       0.720846       0.924807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00        99.1967       0.708720       0.945522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.2047       0.708443       0.868507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00        99.2110       0.700156       0.888754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00        99.2187       0.693525       0.877816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00        99.2253       0.688271       0.864660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.2226       0.692810       0.845719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00        99.2495       0.666705       0.837998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00        99.2470       0.669609       0.833610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00        99.2548       0.666004       0.792235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.2608       0.655375       0.837946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00        99.2673       0.653389       0.793344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00        99.2699       0.650750       0.793515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00        99.2825       0.640618       0.768854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.2859       0.637613       0.765186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00        99.2906       0.634810       0.745651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        99.2982       0.627882       0.739622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00        99.2393       0.679523       0.811805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00        99.3777       0.557714       0.645459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00        99.3168       0.611964       0.712649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00        98.8873       0.998336       0.114354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00        99.7648       0.211816       0.234343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.6833       0.282087       0.346275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00        98.9905       0.906431       0.103108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00        99.3447       0.590060       0.652101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00        99.3431       0.592396       0.645536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.3547       0.580420       0.648543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00        99.3622       0.575688       0.621233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00        99.3637       0.575165       0.611468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00        99.3686       0.570257       0.611231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.3733       0.566988       0.596737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00        99.5764       0.227234       0.196360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.1810       0.818984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00        99.3885       0.605318       0.617388E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00        99.3910       0.584236       0.247605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        99.3949       0.550803       0.542944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00        99.3971       0.549882       0.529708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00        99.4057       0.542139       0.521726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00        99.4073       0.540678       0.520074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00        99.5040       0.454099       0.419188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00        99.3219       0.621086       0.570412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00        99.4210       0.529915       0.491252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00        99.4227       0.529835       0.474902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00        99.4286       0.523413       0.480172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00        99.4324       0.520372       0.472003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00        99.2918       0.653259       0.549121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.5813       0.385227       0.334813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00        99.4375       0.520200       0.422837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00        99.4444       0.514853       0.407760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00        99.4493       0.509659       0.410188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00        99.4510       0.508847       0.401485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00        99.4539       0.507063       0.390514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00        98.8762        1.04568       0.781073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00        99.9996                 NaN  0.428094E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        99.5076       0.457977       0.344550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00        99.4652       0.499719       0.350689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00        99.4716       0.491990       0.364520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00        99.4715       0.494737       0.337146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00        99.4712       0.498355       0.304846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00        99.4803       0.413120       0.106542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00        99.4782       0.521770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00        99.4777       0.522343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00        99.4846       0.501970       0.133927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00        99.4851       0.487440       0.274852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00        99.4884       0.483926       0.276252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00        99.4902       0.484585       0.251677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00        99.6645       0.288110       0.165821E-001            NaN  0.308427E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00        98.5510       0.442955       0.944161E-001            NaN  0.911654                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00        98.8965       0.285512       0.739238E-001            NaN  0.744056                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00        98.9078       0.281382       0.728899E-001            NaN  0.737901                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        2500.00        99.3523       0.183538       0.491330E-002  0.234131E-001  0.435852                 NaN            NaN            NaN            NaN            NaN            NaN
