|6.6.6
Archiving\03_Data\Deqfrac/QFM/YM20/YM20_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1605.77        2500.00        99.3552       0.616605       0.281710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.0708       0.820898       0.108255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00        99.0842       0.809014       0.106816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.0889       0.805579       0.105567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00        99.0998       0.792228       0.107964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.1087       0.792101       0.992111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00        99.1155       0.782984       0.101551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00        99.1239       0.775733       0.100334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00        99.1312       0.769963       0.988668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.1281       0.775176       0.967539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00        99.1579       0.746188       0.958830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00        99.1550       0.749610       0.954109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00        99.1635       0.745739       0.907151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.1701       0.733953       0.959766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00        99.1772       0.731868       0.909006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00        99.1799       0.729099       0.909560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00        99.1939       0.717924       0.881694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.1976       0.714657       0.877679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00        99.2028       0.711688       0.855544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        99.2111       0.704021       0.848828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00        99.1446       0.762193       0.932048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00        99.3002       0.625624       0.741335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00        99.2315       0.686641       0.818735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00        98.7492        1.11940       0.131413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00        99.7352       0.237883       0.269589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.6432       0.316972       0.398526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00        98.8639        1.01747       0.118582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00        99.2623       0.662647       0.750366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00        99.2602       0.665462       0.743278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.2732       0.652115       0.746883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00        99.2815       0.646958       0.715704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00        99.2830       0.646523       0.704757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00        99.2883       0.641204       0.704806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.2936       0.637608       0.688220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00        99.5176       0.255670       0.226699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.0787       0.921290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00        99.3117       0.681176       0.712873E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00        99.3138       0.657595       0.285936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
