|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.280388E-001   94.3874        1.98593        3.59859                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.117377E-004   99.9601       0.154678E-001  0.244318E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.145951E-002   98.8150       0.409481       0.774010                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.711017E-003   99.3925       0.396953       0.209817                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.667996E-003   99.3960       0.394792       0.208523                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.632877E-003   99.3980       0.207693       0.393700                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.619136E-003   99.4026       0.390785       0.206033                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.588596E-003   99.4063       0.204951       0.388195                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000       0.116071E-004   98.7517       0.460525       0.500306                 NaN  0.287457                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   98.3792       0.496637       0.670191                 NaN  0.453949                 NaN            NaN            NaN            NaN
  1415.60        500.000       0.104574E-002   98.4034       0.486790       0.661808                 NaN  0.446957                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.4234       0.483409       0.651714                 NaN  0.441496                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.3684       0.675206       0.499773                 NaN  0.456599                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.5322       0.607251       0.449760                 NaN  0.410839                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.4869       0.625867       0.463968                 NaN  0.423289                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.5063       0.457885       0.617970                 NaN  0.417857                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.3969       0.662960       0.491878                 NaN  0.448248                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.6653       0.552046       0.409473                 NaN  0.373176                 NaN            NaN            NaN            NaN
  1407.05        500.000                 NaN   98.5611       0.441206       0.595435                 NaN  0.402215                 NaN            NaN            NaN            NaN
  1405.98        500.000                 NaN   98.5777       0.588943       0.435696                 NaN  0.397598       0.132180E-004            NaN            NaN            NaN
  1404.91        500.000                 NaN   98.5976       0.433210       0.569832                 NaN  0.392670       0.665333E-002            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.6146       0.432442       0.545042                 NaN  0.389533       0.184071E-001            NaN            NaN            NaN
  1402.78        500.000                 NaN   98.6341       0.376341       0.468748                 NaN  0.398939       0.121865                 NaN            NaN            NaN
  1401.71        500.000                 NaN   98.6528       0.469194       0.346648                 NaN  0.395426       0.135889                 NaN            NaN            NaN
  1400.64        500.000                 NaN   98.6567       0.467129       0.350752                 NaN  0.393723       0.131738                 NaN            NaN            NaN
  1399.57        500.000       0.241230E-002   98.7014       0.339167       0.445427                 NaN  0.380724       0.130887                 NaN            NaN            NaN
  1398.50        500.000                 NaN   98.7058       0.454747       0.323524                 NaN  0.379886       0.136009                 NaN            NaN            NaN
  1397.43        500.000                 NaN   98.7161       0.332996       0.448273                 NaN  0.376012       0.126576                 NaN            NaN            NaN
  1396.37        500.000                 NaN   98.5269       0.521058       0.364766                 NaN  0.432408       0.154892                 NaN            NaN            NaN
  1395.30        500.000                 NaN   98.9467       0.373574       0.257303                 NaN  0.309453       0.112997                 NaN            NaN            NaN
  1394.23        500.000                 NaN   98.7622       0.298161       0.440194                 NaN  0.363989       0.135433                 NaN            NaN            NaN
  1393.16        500.000                 NaN   97.5653       0.871652       0.566585                 NaN  0.716021       0.280457                 NaN            NaN            NaN
  1392.09        500.000                 NaN   99.9804       0.864719E-002  0.598386E-002            NaN  0.498541E-002            NaN            NaN            NaN            NaN
  1391.02        500.000                 NaN   98.8449       0.266621       0.415595                 NaN  0.340027       0.132840                 NaN            NaN            NaN
  1389.96        500.000                 NaN   98.8107       0.431588       0.263187                 NaN  0.351701       0.142846                 NaN            NaN            NaN
  1388.89        500.000                 NaN   98.8391       0.419882       0.264254                 NaN  0.341179       0.135620                 NaN            NaN            NaN
  1387.82        500.000                 NaN   98.8421       0.422130       0.253337                 NaN  0.341626       0.140824                 NaN            NaN            NaN
  1386.75        500.000                 NaN   98.8577       0.246948       0.417885                 NaN  0.336980       0.140480                 NaN            NaN            NaN
  1385.68        500.000                 NaN   98.8663       0.417093       0.239943                 NaN  0.334719       0.141991                 NaN            NaN            NaN
  1384.61        500.000                 NaN   98.8704       0.415248       0.240520                 NaN  0.333555       0.140274                 NaN            NaN            NaN
  1383.55        500.000                 NaN   98.9009       0.219959       0.408883                 NaN  0.324716       0.145506                 NaN            NaN            NaN
  1382.48        500.000                 NaN   98.9080       0.220663       0.405839                 NaN  0.322603       0.142850                 NaN            NaN            NaN
  1381.41        500.000                 NaN   98.9164       0.398222       0.235604                 NaN  0.318694       0.131085                 NaN            NaN            NaN
  1380.34        500.000                 NaN   98.9288       0.184305       0.409535                 NaN  0.318829       0.158552                 NaN            NaN            NaN
  1379.27        500.000                 NaN   98.9392       0.400409       0.201275                 NaN  0.313908       0.145235                 NaN            NaN            NaN
  1378.20        500.000                 NaN   98.9524       0.396048       0.194803                 NaN  0.310385       0.146404                 NaN            NaN            NaN
  1377.13        500.000                 NaN   98.9625       0.394412       0.189398                 NaN  0.307253       0.146467                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.9709       0.182182       0.393542                 NaN  0.305146       0.148187                 NaN            NaN            NaN
  1375.00        500.000                 NaN   98.9848       0.388903       0.179207                 NaN  0.300663       0.146445                 NaN            NaN            NaN
  1373.93        500.000                 NaN   98.9931       0.388931       0.171015                 NaN  0.298488       0.148515                 NaN            NaN            NaN
  1372.86        500.000                 NaN   99.0035       0.167545       0.385242                 NaN  0.295399       0.148275                 NaN            NaN            NaN
  1371.79        500.000                 NaN   99.0139       0.161475       0.383432                 NaN  0.292407       0.148759                 NaN            NaN            NaN
  1370.72        500.000                 NaN   98.9515       0.167037       0.409079                 NaN  0.311513       0.160825                 NaN            NaN            NaN
  1369.66        500.000                 NaN   99.1085       0.137382       0.350811                 NaN  0.264343       0.138956                 NaN            NaN            NaN
  1368.59        500.000                 NaN   99.9999                 NaN            NaN            NaN  0.803032E-004            NaN            NaN            NaN            NaN
  1367.52        500.000                 NaN   98.0934       0.290679       0.752360                 NaN  0.566018       0.297566                 NaN            NaN            NaN
  1366.45        500.000                 NaN   99.0708       0.370802       0.132043                 NaN  0.275764       0.150609                 NaN            NaN            NaN
  1365.38        500.000                 NaN   99.0710       0.130498       0.371841                 NaN  0.275854       0.150816                 NaN            NaN            NaN
  1364.31        500.000                 NaN   99.0796       0.369374       0.126798                 NaN  0.273293       0.150886                 NaN            NaN            NaN
  1363.25        500.000                 NaN   99.0882       0.367849       0.121906                 NaN  0.270757       0.151283                 NaN            NaN            NaN
  1362.18        500.000                 NaN   99.0966       0.366530       0.117447                 NaN  0.268229       0.151197                 NaN            NaN            NaN
  1361.11        500.000                 NaN   99.1036       0.113016       0.365451                 NaN  0.266147       0.151737                 NaN            NaN            NaN
  1360.04        500.000                 NaN   99.1156       0.110329       0.360792                 NaN  0.262513       0.150778                 NaN            NaN            NaN
  1358.97        500.000                 NaN   99.1216       0.105113       0.360583                 NaN  0.260954       0.151786                 NaN            NaN            NaN
  1357.90        500.000                 NaN   99.1314       0.358344       0.101664                 NaN  0.257731       0.150870                 NaN            NaN            NaN
  1356.84        500.000                 NaN   99.1306       0.230970       0.312779                 NaN  0.248578       0.771045E-001            NaN            NaN            NaN
  1355.77        500.000                 NaN   99.1439       0.384903                 NaN            NaN  0.261495       0.209667                 NaN            NaN            NaN
  1354.70        500.000                 NaN   99.1640       0.504413E-001  0.369180                 NaN  0.250005       0.166373                 NaN            NaN            NaN
