|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.179810E-001   95.2203        1.67832        3.08339                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.748502E-005   99.9663       0.129647E-001  0.207567E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.932741E-003   98.9972       0.343531       0.658314                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.454055E-003   99.4866       0.337160       0.175765                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.426650E-003   99.4898       0.335171       0.174580                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.404292E-003   99.4917       0.173782       0.334089                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.395627E-003   99.4958       0.331465       0.172295                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.376223E-003   99.4992       0.171304       0.329135                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000       0.742005E-005   98.8947       0.390411       0.418084                 NaN  0.296780                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   98.5508       0.420859       0.559715                 NaN  0.468667                 NaN            NaN            NaN            NaN
  1415.60        500.000       0.667977E-003   98.5735       0.412226       0.552259                 NaN  0.461297                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.5921       0.409041       0.543332                 NaN  0.455512                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.5442       0.562346       0.422513                 NaN  0.470968                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.6911       0.505279       0.380007                 NaN  0.423565                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.6517       0.520364       0.391689                 NaN  0.436282                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.6698       0.386262       0.513355                 NaN  0.430534                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.5734       0.550211       0.414614                 NaN  0.461737                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.8132       0.457719       0.344860                 NaN  0.384174                 NaN            NaN            NaN            NaN
  1407.05        500.000                 NaN   98.7214       0.371345       0.493317                 NaN  0.413977                 NaN            NaN            NaN            NaN
  1405.98        500.000                 NaN   98.7370       0.487504       0.366448                 NaN  0.409077       0.101678E-004            NaN            NaN            NaN
  1404.91        500.000                 NaN   98.7556       0.364099       0.471317                 NaN  0.403855       0.511195E-002            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.7719       0.363117       0.450357                 NaN  0.400475       0.141173E-001            NaN            NaN            NaN
  1402.78        500.000                 NaN   98.7928       0.310657       0.393263                 NaN  0.409951       0.932992E-001            NaN            NaN            NaN
  1401.71        500.000                 NaN   98.8109       0.393274       0.285847                 NaN  0.406134       0.103869                 NaN            NaN            NaN
  1400.64        500.000                 NaN   98.8151       0.391204       0.288948                 NaN  0.404180       0.100544                 NaN            NaN            NaN
  1399.57        500.000       0.152546E-002   98.8562       0.279126       0.372780                 NaN  0.390621       0.997027E-001            NaN            NaN            NaN
  1398.50        500.000                 NaN   98.8610       0.380105       0.265947                 NaN  0.389558       0.103428                 NaN            NaN            NaN
  1397.43        500.000                 NaN   98.8707       0.273474       0.374371                 NaN  0.385384       0.961008E-001            NaN            NaN            NaN
  1396.37        500.000                 NaN   98.7057       0.434697       0.299195                 NaN  0.443020       0.117347                 NaN            NaN            NaN
  1395.30        500.000                 NaN   99.0757       0.311309       0.210810                 NaN  0.316744       0.854794E-001            NaN            NaN            NaN
  1394.23        500.000                 NaN   98.9145       0.244110       0.366616                 NaN  0.372452       0.102319                 NaN            NaN            NaN
  1393.16        500.000                 NaN   97.8657       0.725903       0.463824                 NaN  0.732947       0.211610                 NaN            NaN            NaN
  1392.09        500.000                 NaN   99.9829       0.705436E-002  0.496684E-002            NaN  0.508787E-002            NaN            NaN            NaN            NaN
  1391.02        500.000                 NaN   98.9901       0.217582       0.345096                 NaN  0.347329       0.998436E-001            NaN            NaN            NaN
  1389.96        500.000                 NaN   98.9610       0.358130       0.214569                 NaN  0.359068       0.107202                 NaN            NaN            NaN
  1388.89        500.000                 NaN   98.9871       0.348004       0.215193                 NaN  0.348120       0.101591                 NaN            NaN            NaN
  1387.82        500.000                 NaN   98.9907       0.349550       0.206099                 NaN  0.348377       0.105285                 NaN            NaN            NaN
  1386.75        500.000                 NaN   99.0053       0.200684       0.345686                 NaN  0.343437       0.104886                 NaN            NaN            NaN
  1385.68        500.000                 NaN   99.0138       0.344674       0.194767                 NaN  0.340932       0.105834                 NaN            NaN            NaN
  1384.61        500.000                 NaN   99.0182       0.342804       0.195072                 NaN  0.339546       0.104339                 NaN            NaN            NaN
  1383.55        500.000                 NaN   99.0462       0.178144       0.337235                 NaN  0.330342       0.108054                 NaN            NaN            NaN
  1382.48        500.000                 NaN   99.0531       0.178558       0.334416                 NaN  0.327994       0.105935                 NaN            NaN            NaN
  1381.41        500.000                 NaN   99.0609       0.327812       0.190452                 NaN  0.323826       0.970573E-001            NaN            NaN            NaN
  1380.34        500.000                 NaN   99.0735       0.148830       0.336759                 NaN  0.323762       0.117181                 NaN            NaN            NaN
  1379.27        500.000                 NaN   99.0830       0.328908       0.162346                 NaN  0.318565       0.107163                 NaN            NaN            NaN
  1378.20        500.000                 NaN   99.0953       0.325085       0.156970                 NaN  0.314792       0.107863                 NaN            NaN            NaN
  1377.13        500.000                 NaN   99.1051       0.323368       0.152438                 NaN  0.311420       0.107713                 NaN            NaN            NaN
  1376.07        500.000                 NaN   99.1133       0.146462       0.322304                 NaN  0.309088       0.108815                 NaN            NaN            NaN
  1375.00        500.000                 NaN   99.1262       0.318202       0.143923                 NaN  0.304352       0.107338                 NaN            NaN            NaN
  1373.93        500.000                 NaN   99.1342       0.317918       0.137205                 NaN  0.301957       0.108670                 NaN            NaN            NaN
  1372.86        500.000                 NaN   99.1442       0.134255       0.314563                 NaN  0.298639       0.108312                 NaN            NaN            NaN
  1371.79        500.000                 NaN   99.1541       0.129261       0.312770                 NaN  0.295421       0.108484                 NaN            NaN            NaN
  1370.72        500.000                 NaN   99.1013       0.133606       0.333447                 NaN  0.314535       0.117144                 NaN            NaN            NaN
