|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1570.51        500.000       0.105773E-001   99.5637       0.334808       0.908948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        500.000                 NaN   99.3825       0.586795       0.306699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.65        500.000                 NaN   99.3863       0.584199       0.295233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.22        500.000                 NaN   99.3919       0.579477       0.285986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.79        500.000                 NaN   99.3906       0.583972       0.254659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        500.000                 NaN   99.4130       0.558230       0.287344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.93        500.000                 NaN   99.4090       0.563844       0.271792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.50        500.000                 NaN   99.4166       0.556477       0.268898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.07        500.000                 NaN   99.4207       0.552908       0.263881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        500.000                 NaN   99.4264       0.547260       0.263813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.21        500.000                 NaN   99.4312       0.544606       0.242362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        500.000                 NaN   98.9744       0.978755       0.468219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.35        500.000                 NaN   99.9064       0.901776E-001  0.343880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        500.000                 NaN   99.4460       0.532425       0.215919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.49        500.000                 NaN   99.4414       0.540870       0.176904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        500.000                 NaN   99.4607       0.518074       0.212003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.63        500.000                 NaN   99.4475       0.532072       0.203920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.20        500.000                 NaN   99.4962       0.484639       0.191462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.77        500.000                 NaN   99.4436       0.537716       0.186405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        500.000                 NaN   99.4808       0.498623       0.206131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.91        500.000                 NaN   99.4710       0.509479       0.195336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.48        500.000                 NaN   99.4901       0.492863       0.170423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.05        500.000                 NaN   99.4863       0.497176       0.165386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000                 NaN   99.4910       0.492045       0.170030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.19        500.000                 NaN   99.4950       0.489551       0.154190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.76        500.000                 NaN   99.5003       0.475237       0.244970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.33        500.000                 NaN   99.5004       0.499564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000                 NaN   99.5077       0.473756       0.185657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.47        500.000                 NaN   99.4864       0.499903       0.136760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.04        500.000                 NaN   99.5387       0.448821       0.124705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.61        500.000                 NaN   99.5176       0.470663       0.117516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        500.000                 NaN   99.5213       0.467782       0.108987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        500.000                 NaN   99.5242       0.466369       0.947237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.32        500.000                 NaN   99.5303       0.455548       0.141733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.90        500.000                 NaN   99.5316       0.463159       0.525124E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.47        500.000                 NaN   99.5363       0.454399       0.932541E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.04        500.000                 NaN   99.5376       0.454731       0.771581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        500.000                 NaN   99.5430       0.449759       0.728961E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.18        500.000                 NaN   99.5466       0.445379       0.797188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        500.000                 NaN   99.5479       0.447182       0.495148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.32        500.000                 NaN   99.4289       0.570056       0.105251E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN   99.8939       0.105696       0.417573E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.46        500.000                 NaN   99.4417       0.547851       0.104219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.03        500.000                 NaN   99.4614       0.533200       0.535994E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.60        500.000                 NaN   99.5164       0.478048       0.552485E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000                 NaN   99.6185       0.365717       0.157469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.74        500.000                 NaN   99.5689       0.431148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   99.5744       0.424189       0.141624E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.88        500.000                 NaN   99.5749       0.422670       0.244546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   99.5814       0.400574       0.179793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.02        500.000                 NaN   99.5811       0.418865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000                 NaN   99.5835       0.415032       0.144567E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.16        500.000                 NaN   99.4926       0.498653       0.869894E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.6945       0.263828       0.416982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.30        500.000                 NaN   99.5924       0.407556       0.944908E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN   99.5956       0.404433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.44        500.000                 NaN   99.5963       0.403695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000                 NaN   99.6042       0.376904       0.188780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.58        500.000                 NaN   99.6029       0.397130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.15        500.000                 NaN   99.6053       0.394704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.72        500.000                 NaN   99.6080       0.391993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.29        500.000                 NaN   99.6433       0.356721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.86        500.000                 NaN   99.5773       0.422719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.43        500.000                 NaN   99.6147       0.385304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.00        500.000                 NaN   99.5686       0.393826                 NaN  0.375519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.57        500.000                 NaN   99.6901       0.309725       0.171921E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.14        500.000                 NaN   99.5540       0.231514                 NaN  0.214507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.71        500.000                 NaN   99.5424       0.887855E-001  0.256310E-003  0.368597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.28        500.000                 NaN   99.5436       0.765623E-001            NaN  0.379870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.85        500.000                 NaN   99.6231                 NaN            NaN  0.376883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.42        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.99        500.000                 NaN   99.0035                 NaN            NaN  0.996481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.56        500.000                 NaN   99.5451                 NaN            NaN  0.454922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.13        500.000                 NaN   99.5625                 NaN            NaN  0.437469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.70        500.000                 NaN   99.5301                 NaN            NaN  0.469884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.27        500.000                 NaN   99.5483                 NaN            NaN  0.451737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.84        500.000                 NaN   99.5488                 NaN            NaN  0.451226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.41        500.000                 NaN   99.5506                 NaN            NaN  0.449385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.98        500.000                 NaN   99.5497                 NaN            NaN  0.450302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
