|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1599.36        2500.00       0.112252E-001   99.4972       0.475261       0.162718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00                 NaN   99.8883       0.109836       0.190264E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00                 NaN   98.7586        1.12782       0.113576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00                 NaN   99.3465       0.573714       0.797627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00                 NaN   99.3480       0.574070       0.779261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.3508       0.570723       0.785158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00                 NaN   99.3587       0.542667       0.986122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00                 NaN   99.3642       0.583309       0.524593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00                 NaN   99.3221       0.602827       0.751026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN   99.4192       0.513482       0.673107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00                 NaN   99.3774       0.552355       0.702877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00                 NaN   99.3848       0.543715       0.715131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00                 NaN   99.3871       0.543220       0.697255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00                 NaN   99.4054       0.526481       0.681102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00                 NaN   99.4035       0.527410       0.690598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00                 NaN   99.4103       0.522509       0.672251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00                 NaN   99.3985       0.537565       0.639038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00                 NaN   99.4343       0.499532       0.661770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00                 NaN   99.4195       0.515839       0.646723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00                 NaN   99.4322       0.504312       0.634920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00                 NaN   99.3617       0.567179       0.711199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.5129       0.432651       0.544631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00                 NaN   99.4444       0.494664       0.609375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
