|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.75/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         Sp(TH)         Sp(TH)         ne             lc            
  1628.21        2500.00        99.3002       0.684148       0.157011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00        99.0571       0.853754       0.891932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00        99.0750       0.834050       0.909486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00        99.0799       0.829956       0.901864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00        99.0924       0.819145       0.884192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00        99.1004       0.812848       0.867605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00        99.1104       0.803952       0.856276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00        99.1208       0.794693       0.844806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00        99.1201       0.797816       0.820650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.1478       0.770512       0.816673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        99.1486       0.771006       0.803763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00        99.1569       0.763817       0.792910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        99.1621       0.759842       0.780672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.1783       0.744585       0.771313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00        99.1834       0.740201       0.763857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00        99.1919       0.733347       0.747844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00        99.1999       0.726285       0.738253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        99.2038       0.723336       0.728673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00        99.2154       0.712719       0.718558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00        99.2274       0.703191       0.693849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00        99.0594       0.856772       0.838111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00        99.7682       0.210362       0.214443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00        98.8898        1.01204       0.981214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00        99.0870       0.829712       0.832792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00        99.4331       0.517272       0.496156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00        99.2675       0.668537       0.639744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00        99.2730       0.665413       0.615487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00        99.2816       0.656576       0.617761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00        99.1767       0.752404       0.709059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.8857       0.100787       0.135152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00        98.8215        1.08547       0.930028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00        99.3040       0.624119       0.719040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.83        2500.00        99.3048       0.655117       0.401098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00        99.3323       0.609697       0.580249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.68        2500.00        99.3250       0.624377       0.506276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        99.3313       0.615150       0.535580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.53        2500.00        99.3374       0.610370       0.522690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00        99.3454       0.603486       0.511122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00        99.3448       0.604226       0.509583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00        99.3545       0.596130       0.493408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00        99.3598       0.591678       0.485342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.66        2500.00        99.3646       0.587552       0.478510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00        99.3682       0.584926       0.468255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00        99.3740       0.578611       0.473560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00        99.2740       0.673452       0.525147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00        99.4949       0.467317       0.377489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00        99.8963       0.771529E-001  0.265104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00        98.8827        1.06395       0.533600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00        99.4024       0.555711       0.419310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        99.4046       0.554359       0.410248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00        99.4087       0.551465       0.398569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        2500.00        99.4131       0.548054       0.388259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.34        2500.00        99.4164       0.545920       0.377152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00        99.4226       0.539661       0.377740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.19        2500.00        99.4282       0.533519       0.382902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        99.9826                 NaN  0.173971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.04        2500.00        98.8790        1.07138       0.496419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.47        2500.00        99.4375       0.529498       0.329552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.89        2500.00        99.4426       0.525029       0.324143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.32        2500.00        99.4454       0.522749       0.318175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.74        2500.00        99.4499       0.518989       0.311489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        2500.00        99.4539       0.506841       0.393005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.59        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.02        2500.00        98.9152        1.03724       0.475307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.44        2500.00        99.4641       0.496973       0.389445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        2500.00        99.4652       0.523748       0.110746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.30        2500.00        99.4693       0.507073       0.236095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.72        2500.00        99.4731       0.502973       0.239597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.15        2500.00        99.3816       0.192579       0.238719E-002            NaN  0.423440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        2500.00        99.5493                 NaN            NaN            NaN  0.450721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.00        2500.00        99.0395                 NaN            NaN            NaN  0.960460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        2500.00        99.2917                 NaN            NaN            NaN  0.708269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.85        2500.00        99.0375                 NaN  0.101607E-001            NaN  0.952294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        2500.00        99.5397                 NaN  0.977996E-005            NaN  0.460243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.2726                 NaN            NaN            NaN  0.727443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.13        2500.00        99.2708                 NaN            NaN            NaN  0.729192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.55        2500.00        98.8785                 NaN            NaN            NaN  0.471364       0.650178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        2500.00        98.8656                 NaN            NaN            NaN  0.450284       0.684148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.40        2500.00        98.8780                 NaN            NaN            NaN  0.444435       0.677557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.83        2500.00        98.8892                 NaN            NaN            NaN  0.439579       0.671240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.25        2500.00        98.9013                 NaN            NaN            NaN  0.434456       0.664248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.68        2500.00        98.9124                 NaN            NaN            NaN  0.658052       0.429591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.10        2500.00        98.9250                 NaN  0.302384E-005            NaN  0.424442       0.650574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.53        2500.00        98.9330                 NaN            NaN            NaN  0.421416       0.645539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.96        2500.00        98.9493                 NaN  0.152993E-001            NaN  0.391741       0.643639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00        99.2173                 NaN  0.639476E-002            NaN  0.474289       0.302058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.81        2500.00        99.8842                 NaN            NaN            NaN  0.747984E-001  0.410146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        97.8049                 NaN  0.191094E-001            NaN  0.808985        1.36701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.66        2500.00        98.9947                 NaN  0.253906E-001            NaN  0.358817       0.621106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00        99.2207                 NaN  0.194312E-001            NaN  0.482714       0.277190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.51        2500.00        98.7899                 NaN  0.288293E-001            NaN  0.432718       0.748518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00        99.0211                 NaN  0.239542E-001            NaN  0.606193       0.348739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.36        2500.00        99.0212                 NaN  0.201229E-001            NaN  0.603097       0.355537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.79        2500.00        99.0466                 NaN  0.189634E-001            NaN  0.588390       0.345999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.21        2500.00        99.0464                 NaN  0.189834E-001            NaN  0.589627       0.344947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.64        2500.00        99.0508                 NaN  0.282989E-001            NaN  0.591991       0.328901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.06        2500.00        98.6272                 NaN  0.115540E-001            NaN  0.521305       0.839914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.49        2500.00        99.5209                 NaN  0.922846E-002            NaN  0.295520       0.174341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00        99.0787                 NaN  0.147173E-001            NaN  0.569200       0.337361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        99.0889                 NaN  0.135122E-001            NaN  0.562696       0.334882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00        99.0952                 NaN  0.125839E-001            NaN  0.333047       0.559135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.19        2500.00        99.1023                 NaN  0.117337E-001            NaN  0.331032       0.554924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        99.1086                 NaN  0.109239E-001            NaN  0.550739       0.329740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.04        2500.00        99.1170                 NaN  0.990973E-002            NaN  0.326962       0.546169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.47        2500.00        99.1225                 NaN  0.919312E-002            NaN  0.542192       0.326082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.89        2500.00        99.1548                 NaN  0.541583E-002            NaN  0.317237       0.522532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.32        2500.00        99.1141                 NaN  0.968821E-002            NaN  0.327071       0.549186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.74        2500.00        99.1432                 NaN  0.649146E-002            NaN  0.530877       0.319481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.17        2500.00        99.1501                 NaN  0.547633E-002            NaN  0.317958       0.526496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        99.1559                 NaN  0.480477E-002            NaN  0.523384       0.315904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.02        2500.00        99.1399                 NaN            NaN            NaN  0.349845       0.510222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.1898                 NaN  0.706970E-002            NaN  0.276214       0.526928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.87        2500.00        98.5862                 NaN  0.800949E-001            NaN  0.582263       0.448733       0.302746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.30        2500.00        97.6104                 NaN  0.213648                 NaN  0.689165       0.672174       0.814584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.72        2500.00        97.6686                 NaN  0.210931                 NaN  0.650916       0.674249       0.795335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        2500.00        97.7072                 NaN  0.209548                 NaN  0.636434       0.663645       0.783196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.57        2500.00        97.7870                 NaN  0.206456                 NaN  0.642660       0.607585       0.756274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.00        2500.00        97.8250                 NaN  0.204502                 NaN  0.593724       0.632463       0.744290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.42        2500.00        97.8716                 NaN  0.202752                 NaN  0.576455       0.620502       0.728729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.85        2500.00        97.9109                 NaN  0.201744                 NaN  0.609841       0.561666       0.715868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        97.9667                 NaN  0.198492                 NaN  0.542806       0.594824       0.697213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.70        2500.00        98.0058                 NaN  0.197060                 NaN  0.527871       0.584769       0.684485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.13        2500.00        98.0479                 NaN  0.195212                 NaN  0.513150       0.573206       0.670572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        98.0886                 NaN  0.193610                 NaN  0.498517       0.562061       0.657166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        98.1266                 NaN  0.192024                 NaN  0.551886       0.484925       0.644572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00        98.1637                 NaN  0.190574                 NaN  0.470871       0.542514       0.632387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.83        2500.00        98.1999                 NaN  0.188871                 NaN  0.532702       0.458415       0.620094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.25        2500.00        98.2326                 NaN  0.187506                 NaN  0.446361       0.524127       0.609402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.68        2500.00        98.2696                 NaN  0.186310                 NaN  0.433019       0.513915       0.597108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00        98.3036                 NaN  0.184227                 NaN  0.422202       0.504377       0.585565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.53        2500.00        98.3339                 NaN  0.183216                 NaN  0.496110       0.411149       0.575618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.96        2500.00        98.3589                 NaN  0.182613                 NaN  0.401103       0.490100       0.567301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.38        2500.00        98.3983                 NaN  0.179914                 NaN  0.389035       0.479064       0.553711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.81        2500.00        98.4232                 NaN  0.179178                 NaN  0.473060       0.378960       0.545570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.23        2500.00        98.4526                 NaN  0.177893                 NaN  0.369062       0.464627       0.535786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        2500.00        98.4793                 NaN  0.176697                 NaN  0.457606       0.359584       0.526797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.08        2500.00        98.5057                 NaN  0.175446                 NaN  0.450479       0.350387       0.517943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.51        2500.00        98.5302                 NaN  0.174308                 NaN  0.443977       0.341743       0.509767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.93        2500.00        98.5583                 NaN  0.173068                 NaN  0.331845       0.436699       0.500134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.36        2500.00        98.5809                 NaN  0.171682                 NaN  0.430438       0.324502       0.492468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.79        2500.00        98.6009                 NaN  0.172917                 NaN  0.424335       0.315262       0.486537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.21        2500.00        98.6331                 NaN  0.167724                 NaN  0.309415       0.415558       0.474177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.6492                 NaN  0.169307                 NaN  0.412405       0.299559       0.469493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.06        2500.00        98.6728                 NaN  0.166761                 NaN  0.293846       0.405190       0.461375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.49        2500.00        98.6930                 NaN  0.166324                 NaN  0.285682       0.400366       0.454634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.91        2500.00        98.7146                 NaN  0.165006                 NaN  0.278938       0.394384       0.447037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
