|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/TIS/TIS_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q             
  1439.10        500.000       0.184201E-003   87.4600        4.92236        7.53873                 NaN  0.787556E-001            NaN            NaN            NaN            NaN
  1438.00        500.000                 NaN   99.4232       0.223325       0.349681                 NaN  0.375296E-002            NaN            NaN            NaN            NaN
  1436.90        500.000                 NaN   99.4281       0.221274       0.346923                 NaN  0.369621E-002            NaN            NaN            NaN            NaN
  1435.80        500.000                 NaN   98.9486       0.374934       0.443106                 NaN  0.126450E-001  0.220669                 NaN            NaN            NaN
  1434.70        500.000                 NaN   97.9532       0.693504       0.640729                 NaN  0.312866E-001  0.681250                 NaN            NaN            NaN
  1433.60        500.000                 NaN   98.0102       0.622875       0.674037                 NaN  0.302508E-001  0.662635                 NaN            NaN            NaN
  1432.50        500.000                 NaN   98.0638       0.655776       0.606091                 NaN  0.292656E-001  0.645061                 NaN            NaN            NaN
  1431.40        500.000                 NaN   98.1111       0.638982       0.591627                 NaN  0.284524E-001  0.629845                 NaN            NaN            NaN
  1430.30        500.000                 NaN   98.0929       0.598005       0.644931                 NaN  0.285517E-001  0.635662                 NaN            NaN            NaN
  1429.20        500.000                 NaN   98.2862       0.580085       0.536619                 NaN  0.255173E-001  0.571571                 NaN            NaN            NaN
  1428.09        500.000                 NaN   98.2560       0.546280       0.590002                 NaN  0.258452E-001  0.581837                 NaN            NaN            NaN
  1426.99        500.000                 NaN   98.2981       0.575585       0.533228                 NaN  0.250825E-001  0.568029                 NaN            NaN            NaN
  1425.89        500.000                 NaN   98.3284       0.565831       0.523248                 NaN  0.245162E-001  0.557988                 NaN            NaN            NaN
  1424.79        500.000                 NaN   98.3856       0.505884       0.545466                 NaN  0.235885E-001  0.539443                 NaN            NaN            NaN
  1423.69        500.000                 NaN   98.4236       0.494060       0.533140                 NaN  0.228849E-001  0.526336                 NaN            NaN            NaN
  1422.59        500.000                 NaN   98.4536       0.522912       0.484334                 NaN  0.223498E-001  0.516786                 NaN            NaN            NaN
  1421.49        500.000                 NaN   98.4886       0.473344       0.511249                 NaN  0.217080E-001  0.505105                 NaN            NaN            NaN
  1420.39        500.000                 NaN   98.5208       0.463487       0.500177                 NaN  0.212066E-001  0.494357                 NaN            NaN            NaN
  1419.29        500.000                 NaN   98.5554       0.488900       0.452136                 NaN  0.205282E-001  0.483014                 NaN            NaN            NaN
  1418.19        500.000                 NaN   98.5853       0.478583       0.442898                 NaN  0.199823E-001  0.473284                 NaN            NaN            NaN
  1417.09        500.000                 NaN   98.6158       0.433202       0.468545                 NaN  0.194560E-001  0.462982                 NaN            NaN            NaN
  1415.99        500.000                 NaN   98.6438       0.424311       0.459152                 NaN  0.189272E-001  0.453780                 NaN            NaN            NaN
  1414.89        500.000                 NaN   98.6719       0.415622       0.449486                 NaN  0.184702E-001  0.444528                 NaN            NaN            NaN
  1413.79        500.000                 NaN   98.6995       0.406677       0.440610                 NaN  0.179673E-001  0.435262                 NaN            NaN            NaN
  1412.69        500.000                 NaN   98.7243       0.399068       0.431917                 NaN  0.175245E-001  0.427141                 NaN            NaN            NaN
  1411.59        500.000                 NaN   98.7500       0.390801       0.423647                 NaN  0.170851E-001  0.418508                 NaN            NaN            NaN
