|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/TIS/TIS_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q             
  1439.10        500.000       0.280495E-003   85.4255        5.70413        8.66071                 NaN  0.209391                 NaN            NaN            NaN            NaN
  1438.00        500.000                 NaN   99.3140       0.264805       0.410994                 NaN  0.102080E-001            NaN            NaN            NaN            NaN
  1436.90        500.000                 NaN   99.3195       0.262516       0.407943                 NaN  0.100571E-001            NaN            NaN            NaN            NaN
  1435.80        500.000                 NaN   98.7831       0.444902       0.521082                 NaN  0.344047E-001  0.216493                 NaN            NaN            NaN
  1434.70        500.000                 NaN   97.6704       0.822892       0.753379                 NaN  0.851068E-001  0.668195                 NaN            NaN            NaN
  1433.60        500.000                 NaN   97.7330       0.733231       0.800804                 NaN  0.823760E-001  0.650602                 NaN            NaN            NaN
  1432.50        500.000                 NaN   97.7918       0.780097       0.714301                 NaN  0.797766E-001  0.633991                 NaN            NaN            NaN
  1431.40        500.000                 NaN   97.8437       0.761044       0.697967                 NaN  0.776401E-001  0.619658                 NaN            NaN            NaN
  1430.30        500.000                 NaN   97.8207       0.706279       0.769045                 NaN  0.779869E-001  0.625969                 NaN            NaN            NaN
  1429.20        500.000                 NaN   98.0394       0.692686       0.634622                 NaN  0.697820E-001  0.563512                 NaN            NaN            NaN
  1428.09        500.000                 NaN   98.0031       0.646690       0.705305                 NaN  0.707429E-001  0.574136                 NaN            NaN            NaN
  1426.99        500.000                 NaN   98.0494       0.688892       0.631952                 NaN  0.687245E-001  0.561060                 NaN            NaN            NaN
  1425.89        500.000                 NaN   98.0823       0.678048       0.620768                 NaN  0.672395E-001  0.551672                 NaN            NaN            NaN
  1424.79        500.000                 NaN   98.1462       0.600759       0.654449                 NaN  0.647611E-001  0.533864                 NaN            NaN            NaN
  1423.69        500.000                 NaN   98.1879       0.587419       0.640387                 NaN  0.628915E-001  0.521390                 NaN            NaN            NaN
  1422.59        500.000                 NaN   98.2208       0.628819       0.576467                 NaN  0.614806E-001  0.512413                 NaN            NaN            NaN
  1421.49        500.000                 NaN   98.2594       0.563999       0.615532                 NaN  0.597733E-001  0.501305                 NaN            NaN            NaN
  1420.39        500.000                 NaN   98.2948       0.552812       0.602866                 NaN  0.584493E-001  0.491097                 NaN            NaN            NaN
  1419.29        500.000                 NaN   98.3332       0.589996       0.539855                 NaN  0.566344E-001  0.480279                 NaN            NaN            NaN
  1418.19        500.000                 NaN   98.3662       0.578213       0.529391                 NaN  0.551809E-001  0.471040                 NaN            NaN            NaN
  1417.09        500.000                 NaN   98.3999       0.518350       0.566720                 NaN  0.537786E-001  0.461211                 NaN            NaN            NaN
  1415.99        500.000                 NaN   98.4309       0.508231       0.556016                 NaN  0.523665E-001  0.452457                 NaN            NaN            NaN
  1414.89        500.000                 NaN   98.4620       0.498329       0.544887                 NaN  0.511499E-001  0.443635                 NaN            NaN            NaN
  1413.79        500.000                 NaN   98.4926       0.488120       0.534742                 NaN  0.498037E-001  0.434780                 NaN            NaN            NaN
  1412.69        500.000                 NaN   98.5201       0.479482       0.524767                 NaN  0.486214E-001  0.427050                 NaN            NaN            NaN
  1411.59        500.000                 NaN   98.5485       0.470015       0.515290                 NaN  0.474462E-001  0.418793                 NaN            NaN            NaN
  1410.49        500.000                 NaN   98.5765       0.505962       0.460677                 NaN  0.460864E-001  0.410754                 NaN            NaN            NaN
  1409.39        500.000                 NaN   98.6017       0.497166       0.452516                 NaN  0.450523E-001  0.403520                 NaN            NaN            NaN
  1408.29        500.000                 NaN   98.6267       0.488560       0.444355                 NaN  0.440128E-001  0.396399                 NaN            NaN            NaN
  1407.19        500.000                 NaN   98.6513       0.480313       0.436253                 NaN  0.429213E-001  0.389251                 NaN            NaN            NaN
  1406.08        500.000                 NaN   98.6751       0.428632       0.471974                 NaN  0.418880E-001  0.382433                 NaN            NaN            NaN
  1404.98        500.000                 NaN   98.6980       0.420986       0.464126                 NaN  0.409736E-001  0.375906                 NaN            NaN            NaN
  1403.88        500.000                 NaN   98.7205       0.413498       0.456790                 NaN  0.398995E-001  0.369354                 NaN            NaN            NaN
  1402.78        500.000                 NaN   98.7406       0.449538       0.406872                 NaN  0.391125E-001  0.363901                 NaN            NaN            NaN
  1401.68        500.000                 NaN   98.7637       0.441842       0.399322                 NaN  0.381539E-001  0.357019                 NaN            NaN            NaN
  1400.58        500.000                 NaN   98.7842       0.435284       0.392352                 NaN  0.371092E-001  0.351062                 NaN            NaN            NaN
  1399.48        500.000                 NaN   98.8039       0.386037       0.428505                 NaN  0.362943E-001  0.345270                 NaN            NaN            NaN
  1398.38        500.000                 NaN   98.8225       0.379781       0.422290                 NaN  0.354822E-001  0.339913                 NaN            NaN            NaN
  1397.28        500.000                 NaN   98.8413       0.373575       0.416036                 NaN  0.346083E-001  0.334463                 NaN            NaN            NaN
  1396.18        500.000                 NaN   98.8587       0.367754       0.410165                 NaN  0.339547E-001  0.329466                 NaN            NaN            NaN
  1395.08        500.000                 NaN   98.8788       0.403606       0.361026                 NaN  0.330278E-001  0.323571                 NaN            NaN            NaN
  1393.98        500.000                 NaN   98.8952       0.355685       0.397981                 NaN  0.322814E-001  0.318873                 NaN            NaN            NaN
  1392.88        500.000                 NaN   98.9015       0.354201       0.394671                 NaN  0.321521E-001  0.317468                 NaN            NaN            NaN
  1391.78        500.000                 NaN   98.9381       0.341080       0.384554                 NaN  0.303257E-001  0.305950                 NaN            NaN            NaN
  1390.68        500.000                 NaN   98.8650       0.364808       0.410195                 NaN  0.324847E-001  0.327542                 NaN            NaN            NaN
  1389.58        500.000                 NaN   99.0403       0.308156       0.347569                 NaN  0.271439E-001  0.276828                 NaN            NaN            NaN
  1388.48        500.000                 NaN   99.9781       0.918396E-002            NaN            NaN  0.120943E-002  0.114635E-001            NaN            NaN            NaN
  1387.38        500.000                 NaN   97.9950       0.727413       0.649447                 NaN  0.549553E-001  0.573161                 NaN            NaN            NaN
  1386.28        500.000                 NaN   99.0048       0.318741       0.362019                 NaN  0.274203E-001  0.286978                 NaN            NaN            NaN
  1385.18        500.000                 NaN   99.0189       0.314067       0.357373                 NaN  0.267859E-001  0.282868                 NaN            NaN            NaN
  1384.07        500.000                 NaN   99.0326       0.309492       0.352793                 NaN  0.262316E-001  0.278913                 NaN            NaN            NaN
  1382.97        500.000                 NaN   99.0461       0.348770       0.304687                 NaN  0.255230E-001  0.274877                 NaN            NaN            NaN
  1381.87        500.000                 NaN   99.0579       0.344342       0.301172                 NaN  0.251097E-001  0.271479                 NaN            NaN            NaN
  1380.77        500.000                 NaN   99.0738       0.339860       0.295349                 NaN  0.242807E-001  0.266702                 NaN            NaN            NaN
  1379.67        500.000                 NaN   99.0835       0.291848       0.336819                 NaN  0.237906E-001  0.264004                 NaN            NaN            NaN
  1378.57        500.000                 NaN   99.0985       0.331652       0.287083                 NaN  0.231959E-001  0.259538                 NaN            NaN            NaN
  1377.47        500.000                 NaN   99.1093       0.283273       0.328396                 NaN  0.226708E-001  0.256400                 NaN            NaN            NaN
  1376.37        500.000                 NaN   99.1212       0.279253       0.324582                 NaN  0.221022E-001  0.252893                 NaN            NaN            NaN
  1375.27        500.000                 NaN   99.1328       0.275193       0.320954                 NaN  0.215910E-001  0.249484                 NaN            NaN            NaN
  1374.17        500.000                 NaN   99.1426       0.271776       0.317868                 NaN  0.211347E-001  0.246664                 NaN            NaN            NaN
  1373.07        500.000                 NaN   99.1562       0.267142       0.313484                 NaN  0.205461E-001  0.242667                 NaN            NaN            NaN
  1371.97        500.000                 NaN   99.1659       0.263825       0.310484                 NaN  0.200304E-001  0.239753                 NaN            NaN            NaN
  1370.87        500.000                 NaN   99.1762       0.307133       0.260368                 NaN  0.195829E-001  0.236732                 NaN            NaN            NaN
  1369.77        500.000                 NaN   99.1863       0.256688       0.304150                 NaN  0.191312E-001  0.233769                 NaN            NaN            NaN
  1368.67        500.000                 NaN   99.1971       0.252975       0.300760                 NaN  0.185739E-001  0.230547                 NaN            NaN            NaN
  1367.57        500.000                 NaN   99.2067       0.249563       0.297879                 NaN  0.181321E-001  0.227707                 NaN            NaN            NaN
  1366.47        500.000                 NaN   99.2162       0.294892       0.246353                 NaN  0.176565E-001  0.224917                 NaN            NaN            NaN
  1365.37        500.000                 NaN   99.2252       0.292268       0.243070                 NaN  0.172133E-001  0.222294                 NaN            NaN            NaN
  1364.27        500.000                 NaN   99.2361       0.239373       0.288683                 NaN  0.167679E-001  0.219034                 NaN            NaN            NaN
  1363.17        500.000                 NaN   99.2443       0.286319       0.236496                 NaN  0.163093E-001  0.216606                 NaN            NaN            NaN
  1362.06        500.000                 NaN   99.2533       0.233366       0.283469                 NaN  0.158987E-001  0.213960                 NaN            NaN            NaN
  1360.96        500.000                 NaN   99.2626       0.280682       0.230087                 NaN  0.154436E-001  0.211211                 NaN            NaN            NaN
  1359.86        500.000                 NaN   99.2705       0.278147       0.227250                 NaN  0.151666E-001  0.208925                 NaN            NaN            NaN
  1358.76        500.000                 NaN   99.2793       0.224225       0.275584                 NaN  0.146457E-001  0.206247                 NaN            NaN            NaN
  1357.66        500.000                 NaN   99.2878       0.220925       0.273430                 NaN  0.141686E-001  0.203707                 NaN            NaN            NaN
  1356.56        500.000                 NaN   99.2958       0.218150       0.270942                 NaN  0.138056E-001  0.201337                 NaN            NaN            NaN
  1355.46        500.000                 NaN   99.3036       0.215377       0.268629                 NaN  0.133670E-001  0.198998                 NaN            NaN            NaN
  1354.36        500.000                 NaN   99.3116       0.266298       0.212475                 NaN  0.130151E-001  0.196640                 NaN            NaN            NaN
  1353.26        500.000                 NaN   99.3152       0.208083       0.268886                 NaN  0.124013E-001  0.195403                 NaN            NaN            NaN
  1352.16        500.000                 NaN   99.3307       0.256958       0.208708                 NaN  0.124581E-001  0.191134                 NaN            NaN            NaN
  1351.06        500.000                 NaN   99.3339       0.259940       0.204332                 NaN  0.118104E-001  0.190017                 NaN            NaN            NaN
  1349.96        500.000                 NaN   99.3414       0.201603       0.257828                 NaN  0.114165E-001  0.187765                 NaN            NaN            NaN
  1348.86        500.000                 NaN   99.3486       0.198974       0.255734                 NaN  0.110847E-001  0.185643                 NaN            NaN            NaN
  1347.76        500.000                 NaN   99.3553       0.196597       0.253583                 NaN  0.108261E-001  0.183724                 NaN            NaN            NaN
  1346.66        500.000                 NaN   99.3620       0.251930       0.194029                 NaN  0.103889E-001  0.181683                 NaN            NaN            NaN
  1345.56        500.000                 NaN   99.3693       0.249894       0.191477                 NaN  0.995100E-002  0.179428                 NaN            NaN            NaN
  1344.46        500.000                 NaN   99.3760       0.188881       0.248066                 NaN  0.961509E-002  0.177448                 NaN            NaN            NaN
  1343.36        500.000                 NaN   99.3821       0.186653       0.246224                 NaN  0.935426E-002  0.175672                 NaN            NaN            NaN
  1342.26        500.000                 NaN   99.3890       0.244369       0.184117                 NaN  0.894133E-002  0.173553                 NaN            NaN            NaN
  1341.16        500.000                 NaN   99.3949       0.242869       0.181776                 NaN  0.861229E-002  0.171853                 NaN            NaN            NaN
  1340.05        500.000                 NaN   99.4000       0.179747       0.241733                 NaN  0.826372E-002  0.170271                 NaN            NaN            NaN
  1338.95        500.000                 NaN   99.4084       0.176717       0.239305                 NaN  0.787689E-002  0.167745                 NaN            NaN            NaN
  1337.85        500.000                 NaN   99.4127       0.174977       0.238109                 NaN  0.767241E-002  0.166564                 NaN            NaN            NaN
  1336.75        500.000                 NaN   99.4191       0.172518       0.236537                 NaN  0.726535E-002  0.164546                 NaN            NaN            NaN
