|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1507.64        500.000        99.4884       0.483767       0.278477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.4898       0.510174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4941       0.501352       0.459714E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.4955       0.504494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.4328       0.567182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.4609       0.430137E-001            NaN  0.496068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.3792       0.329686E-001            NaN  0.587826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.3783       0.319528E-001            NaN  0.589741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3188       0.285405E-001            NaN  0.652668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4453       0.228323E-001            NaN  0.531862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3732       0.820027E-001            NaN  0.544841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4022       0.263780                 NaN  0.333983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.3860                 NaN            NaN  0.614030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.3850                 NaN            NaN  0.614997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.3858                 NaN            NaN  0.614203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        98.8132                 NaN            NaN   1.18676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.8604                 NaN            NaN  0.139648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.4917                 NaN            NaN  0.508346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.3840                 NaN            NaN  0.616041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.3819                 NaN            NaN  0.618082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.3830                 NaN            NaN  0.617039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.3783                 NaN            NaN  0.621735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.3809                 NaN            NaN  0.619063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.3778                 NaN            NaN  0.622158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.3738                 NaN            NaN  0.626193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.3694       0.185403E-001            NaN  0.612029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.3644                 NaN            NaN  0.635569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.3551                 NaN            NaN  0.643355                 NaN            NaN  0.156331E-002            NaN            NaN            NaN            NaN
  1470.53        500.000        99.2171                 NaN            NaN  0.226548       0.553597                 NaN  0.271030E-002            NaN            NaN            NaN            NaN
  1469.21        500.000        98.9852                 NaN            NaN  0.384337       0.626877                 NaN  0.362686E-002            NaN            NaN            NaN            NaN
  1467.88        500.000        98.9965                 NaN            NaN  0.619548       0.380406                 NaN  0.352374E-002            NaN            NaN            NaN            NaN
  1466.55        500.000        99.0056                 NaN            NaN  0.376449       0.614507                 NaN  0.342289E-002            NaN            NaN            NaN            NaN
  1465.23        500.000        98.7269                 NaN            NaN  0.481419       0.787426                 NaN  0.423634E-002            NaN            NaN            NaN            NaN
  1463.90        500.000        99.3145                 NaN            NaN  0.423842       0.259415                 NaN  0.225869E-002            NaN            NaN            NaN            NaN
  1462.58        500.000        99.0340                 NaN            NaN  0.365824       0.597069                 NaN  0.313165E-002            NaN            NaN            NaN            NaN
  1461.25        500.000        99.0407                 NaN            NaN  0.593359       0.362849                 NaN  0.304235E-002            NaN            NaN            NaN            NaN
  1459.93        500.000        99.0509                 NaN            NaN  0.359231       0.586907                 NaN  0.296304E-002            NaN            NaN            NaN            NaN
  1458.60        500.000        99.5472                 NaN            NaN  0.280412       0.171055                 NaN  0.137579E-002            NaN            NaN            NaN            NaN
  1457.28        500.000        99.9997                 NaN            NaN            NaN            NaN            NaN  0.290028E-003            NaN            NaN            NaN            NaN
  1455.95        500.000        97.6631                 NaN            NaN   1.44514       0.885127                 NaN  0.659782E-002            NaN            NaN            NaN            NaN
  1454.63        500.000        99.0832                 NaN            NaN  0.567864       0.346312                 NaN  0.260934E-002            NaN            NaN            NaN            NaN
  1453.30        500.000        99.0933                 NaN            NaN  0.342822       0.561313                 NaN  0.252541E-002            NaN            NaN            NaN            NaN
  1451.97        500.000        99.0997                 NaN            NaN  0.340213       0.557619                 NaN  0.244304E-002            NaN            NaN            NaN            NaN
  1450.65        500.000        99.1074                 NaN            NaN  0.553198       0.337085                 NaN  0.236240E-002            NaN            NaN            NaN            NaN
  1449.32        500.000        99.1161                 NaN            NaN  0.548071       0.333537                 NaN  0.228413E-002            NaN            NaN            NaN            NaN
  1448.00        500.000        99.1227                 NaN            NaN  0.331328       0.543801                 NaN  0.221577E-002            NaN            NaN            NaN            NaN
  1446.67        500.000        99.1296                 NaN            NaN  0.539618       0.328676                 NaN  0.211099E-002            NaN            NaN            NaN            NaN
  1445.35        500.000        99.1397                 NaN            NaN  0.324946       0.533324                 NaN  0.205116E-002            NaN            NaN            NaN            NaN
  1444.02        500.000        98.8686                 NaN            NaN  0.428303       0.700406                 NaN  0.265270E-002            NaN            NaN            NaN            NaN
  1442.70        500.000        99.4312                 NaN            NaN  0.214987       0.352519                 NaN  0.128224E-002            NaN            NaN            NaN            NaN
  1441.37        500.000        99.1583                 NaN            NaN  0.317086       0.522767                 NaN  0.183782E-002            NaN            NaN            NaN            NaN
  1440.05        500.000        99.1650                 NaN            NaN  0.314456       0.518798                 NaN  0.178249E-002            NaN            NaN            NaN            NaN
  1438.72        500.000        99.1197                 NaN            NaN  0.332206       0.546245                 NaN  0.182344E-002            NaN            NaN            NaN            NaN
  1437.39        500.000        99.2337                 NaN            NaN  0.288807       0.475991                 NaN  0.154214E-002            NaN            NaN            NaN            NaN
  1436.07        500.000        99.1865                 NaN            NaN  0.306447       0.505459                 NaN  0.157862E-002            NaN            NaN            NaN            NaN
  1434.74        500.000        99.1920                 NaN            NaN  0.502390       0.304093                 NaN  0.151362E-002            NaN            NaN            NaN            NaN
  1433.42        500.000        99.1980                 NaN            NaN  0.301891       0.498651                 NaN  0.144262E-002            NaN            NaN            NaN            NaN
  1432.09        500.000        99.2043                 NaN            NaN  0.298921       0.495334                 NaN  0.140418E-002            NaN            NaN            NaN            NaN
  1430.77        500.000        99.2103                 NaN            NaN  0.296794       0.491567                 NaN  0.134324E-002            NaN            NaN            NaN            NaN
  1429.44        500.000        99.2152                 NaN            NaN  0.488668       0.294837                 NaN  0.126351E-002            NaN            NaN            NaN            NaN
  1428.12        500.000        99.2250                 NaN            NaN  0.482902       0.290827                 NaN  0.122307E-002            NaN            NaN            NaN            NaN
  1426.79        500.000        99.2289                 NaN            NaN  0.480428       0.289467                 NaN  0.116756E-002            NaN            NaN            NaN            NaN
  1425.47        500.000        99.2328                 NaN            NaN  0.287635       0.478488                 NaN  0.112529E-002            NaN            NaN            NaN            NaN
  1424.14        500.000        99.2385                 NaN            NaN  0.285468       0.474963                 NaN  0.104251E-002            NaN            NaN            NaN            NaN
  1422.81        500.000        99.2468                 NaN            NaN  0.282388       0.469800                 NaN  0.100521E-002            NaN            NaN            NaN            NaN
  1421.49        500.000        99.2511                 NaN            NaN  0.280606       0.467376                 NaN  0.953636E-003            NaN            NaN            NaN            NaN
  1420.16        500.000        99.2561                 NaN            NaN  0.464337       0.278701                 NaN  0.902439E-003            NaN            NaN            NaN            NaN
  1418.84        500.000        99.2590                 NaN            NaN  0.276964       0.463195                 NaN  0.834896E-003            NaN            NaN            NaN            NaN
  1417.51        500.000        99.2701                 NaN            NaN  0.273235       0.455878                 NaN  0.793998E-003            NaN            NaN            NaN            NaN
  1416.19        500.000        98.8507                 NaN            NaN  0.451029       0.511341                 NaN  0.111969E-004  0.186931                 NaN            NaN            NaN
  1414.86        500.000        98.1194                 NaN            NaN  0.763458       0.600759                 NaN            NaN  0.516375                 NaN            NaN            NaN
  1413.54        500.000        98.1551                 NaN            NaN  0.751839       0.584304                 NaN  0.254720E-002  0.506226                 NaN            NaN            NaN
  1412.21        500.000        98.1831                 NaN            NaN  0.737252       0.580866                 NaN            NaN  0.498801                 NaN            NaN            NaN
  1410.89        500.000        98.2107                 NaN            NaN  0.573038       0.725211                 NaN            NaN  0.491086                 NaN            NaN            NaN
  1409.56        500.000        98.2407                 NaN            NaN  0.563425       0.713100                 NaN            NaN  0.482744                 NaN            NaN            NaN
  1408.24        500.000        98.2680                 NaN            NaN  0.701540       0.555069                 NaN            NaN  0.475346                 NaN            NaN            NaN
  1406.91        500.000        98.2861                 NaN            NaN  0.695415       0.547288                 NaN  0.174537E-002  0.469444                 NaN            NaN            NaN
  1405.58        500.000        98.3314                 NaN            NaN  0.535610       0.675537                 NaN            NaN  0.457449                 NaN            NaN            NaN
  1404.26        500.000        98.3462                 NaN            NaN  0.530998       0.669339                 NaN            NaN  0.453474                 NaN            NaN            NaN
  1402.93        500.000        98.3694                 NaN            NaN  0.659604       0.523809                 NaN            NaN  0.447187                 NaN            NaN            NaN
  1401.61        500.000        98.3955                 NaN            NaN  0.515772       0.648893                 NaN            NaN  0.439785                 NaN            NaN            NaN
  1400.28        500.000        98.4184                 NaN            NaN  0.508568       0.639565                 NaN            NaN  0.433503                 NaN            NaN            NaN
  1398.96        500.000        98.4409                 NaN            NaN  0.501367       0.630558                 NaN            NaN  0.427149                 NaN            NaN            NaN
  1397.63        500.000        98.4638                 NaN            NaN  0.621340       0.494161                 NaN            NaN  0.420682                 NaN            NaN            NaN
  1396.31        500.000        98.4849                 NaN            NaN  0.488348       0.612143                 NaN            NaN  0.414580                 NaN            NaN            NaN
  1394.98        500.000        98.5060                 NaN            NaN  0.480790       0.604371                 NaN            NaN  0.408819                 NaN            NaN            NaN
  1393.66        500.000        98.5252                 NaN            NaN  0.596247       0.475110                 NaN            NaN  0.403444                 NaN            NaN            NaN
  1392.33        500.000        98.5465                 NaN            NaN  0.468137       0.587844                 NaN            NaN  0.397472                 NaN            NaN            NaN
  1391.00        500.000        98.5654                 NaN            NaN  0.580458       0.461939                 NaN            NaN  0.392209                 NaN            NaN            NaN
  1389.68        500.000        98.5829                 NaN            NaN  0.456480       0.573503                 NaN            NaN  0.387153                 NaN            NaN            NaN
  1388.35        500.000        98.6015                 NaN            NaN  0.567044       0.449599                 NaN            NaN  0.381833                 NaN            NaN            NaN
  1387.03        500.000        98.6206                 NaN            NaN  0.443896       0.558907                 NaN            NaN  0.376566                 NaN            NaN            NaN
  1385.70        500.000        98.6387                 NaN            NaN  0.438536       0.551385                 NaN            NaN  0.371361                 NaN            NaN            NaN
  1384.38        500.000        98.6553                 NaN            NaN  0.432478       0.545160                 NaN            NaN  0.367048                 NaN            NaN            NaN
  1383.05        500.000        98.6745                 NaN            NaN  0.427066       0.537219                 NaN            NaN  0.361191                 NaN            NaN            NaN
  1381.73        500.000        98.6852                 NaN            NaN  0.423535       0.533187                 NaN            NaN  0.358121                 NaN            NaN            NaN
  1380.40        500.000        98.7055                 NaN            NaN  0.416774       0.525326                 NaN            NaN  0.352406                 NaN            NaN            NaN
  1379.08        500.000        98.7184                 NaN            NaN  0.520439       0.412358                 NaN            NaN  0.348774                 NaN            NaN            NaN
  1377.75        500.000        98.7350                 NaN            NaN  0.513610       0.407268                 NaN            NaN  0.344111                 NaN            NaN            NaN
  1376.42        500.000        98.7492                 NaN            NaN  0.508547       0.402371                 NaN            NaN  0.339914                 NaN            NaN            NaN
  1375.10        500.000        98.7647                 NaN            NaN  0.397273       0.502626                 NaN            NaN  0.335429                 NaN            NaN            NaN
  1373.77        500.000        98.7787                 NaN            NaN  0.392606       0.497146                 NaN            NaN  0.331563                 NaN            NaN            NaN
  1372.45        500.000        98.7921                 NaN            NaN  0.491641       0.388586                 NaN            NaN  0.327660                 NaN            NaN            NaN
  1371.12        500.000        98.8063                 NaN            NaN  0.383419       0.486581                 NaN            NaN  0.323653                 NaN            NaN            NaN
  1369.80        500.000        98.8166                 NaN            NaN  0.482815       0.379989                 NaN            NaN  0.320625                 NaN            NaN            NaN
  1368.47        500.000        98.8324                 NaN            NaN  0.374963       0.476133                 NaN            NaN  0.316549                 NaN            NaN            NaN
  1367.15        500.000        98.8470                 NaN            NaN  0.369799       0.471365                 NaN            NaN  0.311786                 NaN            NaN            NaN
  1365.82        500.000        98.8570                 NaN            NaN  0.467372       0.366523                 NaN            NaN  0.309153                 NaN            NaN            NaN
  1364.50        500.000        98.8684                 NaN            NaN  0.362671       0.463138                 NaN            NaN  0.305821                 NaN            NaN            NaN
  1363.17        500.000        98.8812                 NaN            NaN  0.458329       0.358254                 NaN            NaN  0.302180                 NaN            NaN            NaN
  1361.84        500.000        98.8909                 NaN            NaN  0.355092       0.454774                 NaN            NaN  0.299205                 NaN            NaN            NaN
  1360.52        500.000        98.9037                 NaN            NaN  0.350327       0.450277                 NaN            NaN  0.295694                 NaN            NaN            NaN
  1359.19        500.000        98.9143                 NaN            NaN  0.347000       0.446191                 NaN            NaN  0.292523                 NaN            NaN            NaN
  1357.87        500.000        98.9251                 NaN            NaN  0.343219       0.442331                 NaN            NaN  0.289383                 NaN            NaN            NaN
  1356.54        500.000        98.9362                 NaN            NaN  0.339077       0.438526                 NaN            NaN  0.286212                 NaN            NaN            NaN
  1355.22        500.000        98.9437                 NaN            NaN  0.435387       0.336621                 NaN            NaN  0.284243                 NaN            NaN            NaN
  1353.89        500.000        98.9598                 NaN            NaN  0.429775       0.330996                 NaN            NaN  0.279400                 NaN            NaN            NaN
  1352.57        500.000        98.9667                 NaN            NaN  0.427538       0.328420                 NaN            NaN  0.277345                 NaN            NaN            NaN
  1351.24        500.000        98.9761                 NaN            NaN  0.325069       0.424167                 NaN            NaN  0.274686                 NaN            NaN            NaN
  1349.92        500.000        98.9855                 NaN            NaN  0.420855       0.321782                 NaN            NaN  0.271828                 NaN            NaN            NaN
  1348.59        500.000        98.9925                 NaN            NaN  0.418203       0.319472                 NaN            NaN  0.269824                 NaN            NaN            NaN
  1347.26        500.000        99.0052                 NaN            NaN  0.314955       0.413749                 NaN            NaN  0.266104                 NaN            NaN            NaN
  1345.94        500.000        99.0125                 NaN            NaN  0.312833       0.410660                 NaN            NaN  0.264004                 NaN            NaN            NaN
  1344.61        500.000        99.0220                 NaN            NaN  0.407773       0.308974                 NaN            NaN  0.261219                 NaN            NaN            NaN
  1343.29        500.000        99.0305                 NaN            NaN  0.405252       0.305478                 NaN            NaN  0.258751                 NaN            NaN            NaN
  1341.96        500.000        99.0380                 NaN            NaN  0.302852       0.402604                 NaN            NaN  0.256579                 NaN            NaN            NaN
  1340.64        500.000        99.0477                 NaN            NaN  0.299075       0.399437                 NaN            NaN  0.253815                 NaN            NaN            NaN
  1339.31        500.000        99.0547                 NaN            NaN  0.296092       0.397428                 NaN            NaN  0.251753                 NaN            NaN            NaN
  1337.99        500.000        99.0629                 NaN            NaN  0.394618       0.293113                 NaN            NaN  0.249320                 NaN            NaN            NaN
  1336.66        500.000        99.0700                 NaN            NaN  0.290385       0.392462                 NaN            NaN  0.247163                 NaN            NaN            NaN
  1335.34        500.000        99.0772                 NaN            NaN  0.390122       0.287569                 NaN            NaN  0.245063                 NaN            NaN            NaN
  1334.01        500.000        99.0850                 NaN            NaN  0.284734       0.387445                 NaN            NaN  0.242805                 NaN            NaN            NaN
  1332.69        500.000        99.0912                 NaN            NaN  0.386032       0.281918                 NaN            NaN  0.240838                 NaN            NaN            NaN
  1331.36        500.000        99.1000                 NaN            NaN  0.278381       0.383144                 NaN            NaN  0.238505                 NaN            NaN            NaN
  1330.03        500.000        99.1062                 NaN            NaN  0.275834       0.381392                 NaN            NaN  0.236548                 NaN            NaN            NaN
  1328.71        500.000        99.1126                 NaN            NaN  0.273645       0.379031                 NaN            NaN  0.234721                 NaN            NaN            NaN
  1327.38        500.000        99.1193                 NaN            NaN  0.377103       0.270772                 NaN            NaN  0.232804                 NaN            NaN            NaN
  1326.06        500.000        99.1253                 NaN            NaN  0.376028       0.267655                 NaN            NaN  0.230970                 NaN            NaN            NaN
  1324.73        500.000        99.1325                 NaN            NaN  0.373694       0.264856                 NaN            NaN  0.228919                 NaN            NaN            NaN
  1323.41        500.000        99.1383                 NaN            NaN  0.261014       0.373271                 NaN            NaN  0.227415                 NaN            NaN            NaN
  1322.08        500.000        99.1454                 NaN            NaN  0.259145       0.370459                 NaN            NaN  0.225002                 NaN            NaN            NaN
  1320.76        500.000        99.1505                 NaN            NaN  0.256921       0.368851                 NaN            NaN  0.223758                 NaN            NaN            NaN
  1319.43        500.000        99.1560                 NaN            NaN  0.367703       0.254392                 NaN            NaN  0.221946                 NaN            NaN            NaN
  1318.11        500.000        99.1619                 NaN            NaN  0.366065       0.251623                 NaN            NaN  0.220406                 NaN            NaN            NaN
  1316.78        500.000        99.1676                 NaN            NaN  0.248835       0.364901                 NaN            NaN  0.218631                 NaN            NaN            NaN
  1315.45        500.000        99.1720                 NaN            NaN  0.246548       0.363977                 NaN            NaN  0.217434                 NaN            NaN            NaN
  1314.13        500.000        99.1791                 NaN            NaN  0.243136       0.362480                 NaN            NaN  0.215302                 NaN            NaN            NaN
  1312.80        500.000        99.1830                 NaN            NaN  0.362067       0.240804                 NaN            NaN  0.214174                 NaN            NaN            NaN
  1311.48        500.000        99.1885                 NaN            NaN  0.360951       0.237926                 NaN            NaN  0.212599                 NaN            NaN            NaN
  1310.15        500.000        99.1940                 NaN            NaN  0.234817       0.360074                 NaN            NaN  0.211117                 NaN            NaN            NaN
  1308.83        500.000        99.1959                 NaN            NaN  0.233018       0.360701                 NaN            NaN  0.210364                 NaN            NaN            NaN
  1307.50        500.000        99.2041                 NaN            NaN  0.228547       0.359031                 NaN            NaN  0.208282                 NaN            NaN            NaN
  1306.18        500.000        99.2074                 NaN            NaN  0.225144       0.360373                 NaN            NaN  0.207119                 NaN            NaN            NaN
  1304.85        500.000        99.2123                 NaN            NaN  0.359442       0.222390                 NaN            NaN  0.205852                 NaN            NaN            NaN
  1303.53        500.000        99.2174                 NaN            NaN  0.219714       0.358499                 NaN            NaN  0.204353                 NaN            NaN            NaN
  1302.20        500.000        99.2218                 NaN            NaN  0.216728       0.358230                 NaN            NaN  0.203224                 NaN            NaN            NaN
  1300.87        500.000        99.2221                 NaN            NaN  0.354980       0.217891                 NaN            NaN  0.202854       0.214362E-002            NaN            NaN
  1299.55        500.000        99.1893                 NaN            NaN  0.297318       0.272396                 NaN            NaN  0.209102       0.318568E-001            NaN            NaN
  1298.22        500.000        99.1739                 NaN            NaN  0.305856       0.259113                 NaN            NaN  0.211903       0.491900E-001            NaN            NaN
  1296.90        500.000        99.1806                 NaN            NaN  0.260079       0.300973                 NaN            NaN  0.210212       0.480931E-001            NaN            NaN
  1295.57        500.000        99.1869                 NaN            NaN  0.297268       0.260101                 NaN            NaN  0.208677       0.470765E-001            NaN            NaN
  1294.25        500.000        99.1940                 NaN            NaN  0.292578       0.260418                 NaN            NaN  0.206907       0.460651E-001            NaN            NaN
  1292.92        500.000        99.2015                 NaN            NaN  0.288287       0.259913                 NaN            NaN  0.205137       0.451445E-001            NaN            NaN
  1291.60        500.000        99.2083                 NaN            NaN  0.260308       0.283668                 NaN            NaN  0.203530       0.442215E-001            NaN            NaN
  1290.27        500.000        99.2153                 NaN            NaN  0.279526       0.259988                 NaN            NaN  0.201831       0.433202E-001            NaN            NaN
  1288.95        500.000        99.2219                 NaN            NaN  0.271922       0.263688                 NaN            NaN  0.200248       0.422431E-001            NaN            NaN
  1287.62        500.000        99.2285                 NaN            NaN  0.262079       0.269311                 NaN            NaN  0.198691       0.414406E-001            NaN            NaN
  1286.29        500.000        99.2352                 NaN            NaN  0.264889       0.262298                 NaN            NaN  0.197063       0.405376E-001            NaN            NaN
  1284.97        500.000        99.2408                 NaN            NaN  0.268554       0.255066                 NaN            NaN  0.195893       0.397262E-001            NaN            NaN
  1283.64        500.000        99.2495                 NaN  0.816547E-002  0.274131       0.235062                 NaN            NaN  0.194083       0.390484E-001            NaN            NaN
  1282.32        500.000        99.2685                 NaN  0.735527E-001  0.423041                 NaN            NaN            NaN  0.193954       0.409057E-001            NaN            NaN
  1280.99        500.000        99.2747                 NaN  0.811723E-001  0.410942                 NaN            NaN            NaN  0.193165       0.400475E-001            NaN            NaN
  1279.67        500.000        99.2834                 NaN  0.829117E-001  0.403323                 NaN            NaN            NaN  0.190861       0.395268E-001            NaN            NaN
  1278.34        500.000        94.8745                 NaN  0.169839        1.49890                 NaN            NaN            NaN  0.688647       0.180609        2.58746                 NaN
  1277.02        500.000        88.6910                 NaN  0.253394        3.08609                 NaN            NaN            NaN   1.38366       0.370923        6.21491                 NaN
  1275.69        500.000        89.8197                 NaN  0.182834        2.85749                 NaN            NaN            NaN   1.25248       0.327153        5.56037                 NaN
  1274.37        500.000        90.7566                 NaN  0.179571        2.59687                 NaN            NaN            NaN   1.14197       0.295480        5.02953                 NaN
  1273.04        500.000        91.5322                 NaN  0.115319        2.45659                 NaN            NaN            NaN   1.05140       0.264656        4.57981                 NaN
  1271.71        500.000        92.1962                 NaN  0.914142E-001   2.29590                 NaN            NaN            NaN  0.972978       0.240867        4.20259                 NaN
  1270.39        500.000        92.7752                 NaN  0.981207E-001   2.12060                 NaN            NaN            NaN  0.903839       0.222349        3.87987                 NaN
  1269.06        500.000        93.2682                 NaN  0.815462E-001   1.99928                 NaN            NaN            NaN  0.845089       0.204863        3.60099                 NaN
  1267.74        500.000        93.7054                 NaN  0.810662E-001   1.87256                 NaN            NaN            NaN  0.792510       0.190529        3.35791                 NaN
  1266.41        500.000        94.0874                 NaN  0.656408E-001   1.77979                 NaN            NaN            NaN  0.746663       0.176926        3.14359                 NaN
  1265.09        500.000        94.4297                 NaN  0.723459E-001   1.67176                 NaN            NaN            NaN  0.704994       0.166212        2.95501                 NaN
  1263.76        500.000        94.7340                 NaN  0.567082E-001   1.60075                 NaN            NaN            NaN  0.668127       0.155187        2.78518                 NaN
  1262.44        500.000        95.0100                 NaN  0.536144E-001   1.52262                 NaN            NaN            NaN  0.634464       0.145946        2.63338                 NaN
  1261.11        500.000        95.2559                 NaN  0.485636E-001   1.45624                 NaN            NaN            NaN  0.604106       0.137542        2.49769                 NaN
  1259.79        500.000        95.4832                 NaN  0.440819E-001   1.39329                 NaN            NaN            NaN  0.576120       0.129830        2.37351                 NaN
  1258.46        500.000        95.6841                 NaN  0.430820E-001   1.33542                 NaN            NaN            NaN  0.550946       0.123108        2.26333                 NaN
  1257.14        500.000        95.8732                 NaN  0.424254E-001   1.27940                 NaN            NaN            NaN  0.527213       0.116843        2.16087                 NaN
  1255.81        500.000        96.0486                 NaN  0.436121E-001   1.22526                 NaN            NaN            NaN  0.505078       0.111093        2.06633                 NaN
  1254.48        500.000        96.2075                 NaN  0.404165E-001   1.18121                 NaN            NaN            NaN  0.484977       0.105643        1.98026                 NaN
  1253.16        500.000        96.3579                 NaN  0.291604E-001   1.14874                 NaN            NaN            NaN  0.466066       0.999593E-001   1.89820                 NaN
  1251.83        500.000        96.4955                 NaN  0.324053E-001   1.10318                 NaN            NaN            NaN  0.448238       0.955414E-001   1.82509                 NaN
  1250.51        500.000        96.6243                 NaN  0.286332E-001   1.06873                 NaN            NaN            NaN  0.431704       0.909806E-001   1.75565                 NaN
  1249.18        500.000        96.7459                 NaN  0.251414E-001   1.03552                 NaN            NaN            NaN  0.415952       0.867107E-001   1.69074                 NaN
  1247.86        500.000        96.8572                 NaN  0.253364E-001   1.00159                 NaN            NaN            NaN  0.401399       0.829260E-001   1.63154                 NaN
  1246.53        500.000        96.9638                 NaN  0.225212E-001  0.972130                 NaN            NaN            NaN  0.387444       0.791675E-001   1.57489                 NaN
  1245.21        500.000        97.0632                 NaN  0.184356E-001  0.946435                 NaN            NaN            NaN  0.374316       0.755297E-001   1.52204                 NaN
  1243.88        500.000        97.1586                 NaN  0.143506E-001  0.921582                 NaN            NaN            NaN  0.361846       0.720486E-001   1.47153                 NaN
  1242.56        500.000        97.2455                 NaN  0.185741E-001  0.890762                 NaN            NaN            NaN  0.349928       0.692944E-001   1.42591                 NaN
  1241.23        500.000        97.3312                 NaN  0.902849E-002  0.874923                 NaN            NaN            NaN  0.338768       0.658344E-001   1.38023                 NaN
  1239.90        500.000        97.4106                 NaN  0.463934E-002  0.855473                 NaN            NaN            NaN  0.328024       0.628720E-001   1.33844                 NaN
