|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9723       0.235850E-001  0.412354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5768       0.370706       0.525254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.5136       0.482588       0.378586E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.5201       0.476809       0.307904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.5220       0.474352       0.368129E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.6178       0.380011       0.215179E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4347       0.562186       0.314031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.5310       0.466900       0.211244E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.5338       0.464579       0.158291E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.5376       0.460664       0.174529E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.5396       0.459646       0.764413E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.3569       0.642892       0.243099E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.7364       0.238193       0.254416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5496       0.450443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.5520       0.447871       0.158870E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5576       0.428468       0.138920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.5608       0.416165       0.230141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5612       0.438760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.5651       0.431095       0.378926E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.5664       0.433594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.5126       0.487443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.5345       0.369532E-001            NaN  0.428550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.4640       0.283153E-001            NaN  0.507645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4634       0.274323E-001            NaN  0.509174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.4123       0.244952E-001            NaN  0.563252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.5218       0.195811E-001            NaN  0.458647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.4601       0.703142E-001            NaN  0.469586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4861       0.226104                 NaN  0.287827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.4709                 NaN            NaN  0.529135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4704                 NaN            NaN  0.529621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.4712                 NaN            NaN  0.528784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        98.9785                 NaN            NaN   1.02152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.8800                 NaN            NaN  0.120017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.5629                 NaN            NaN  0.437064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.4706                 NaN            NaN  0.529440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.4689                 NaN            NaN  0.531081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.4702                 NaN            NaN  0.529820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.4663                 NaN            NaN  0.533651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.4687                 NaN            NaN  0.531282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.4664                 NaN            NaN  0.533567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.4632                 NaN            NaN  0.536763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
