|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.25/YM20/YM20_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1583.33        500.000        99.5753       0.424657       0.708698E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        500.000        99.2460       0.754016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        500.000        99.2544       0.735970       0.961869E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        500.000        99.2632       0.717258       0.194963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        500.000        99.2038       0.758663       0.374941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        500.000        99.3482       0.618995       0.327618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        500.000        99.2849       0.681959       0.331700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        500.000        99.2925       0.674368       0.331071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        500.000        99.2976       0.672180       0.302257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        500.000        99.3033       0.666437       0.303002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        500.000        99.3124       0.658298       0.293293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        500.000        99.3174       0.653470       0.291259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        500.000        99.2932       0.677605       0.291564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        500.000        99.3565       0.619049       0.244964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        500.000        99.3175       0.664513       0.179974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.3635       0.600898       0.355699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        500.000        99.3467       0.629417       0.238736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
