|6.6.6
Archiving\03_Data\eqfracLP/QFM/LAR/LAR_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1384.62        500.000       0.293772E-001   99.9237       0.469496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1383.66        500.000       0.455788E-003   99.6311       0.178347       0.190103                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.69        500.000       0.309269E-003   99.6104       0.163635       0.225677                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.73        500.000       0.299139E-003   99.6123       0.162798       0.224593                 NaN  0.491542E-005            NaN            NaN            NaN            NaN
  1380.76        500.000       0.152122E-003   99.3741       0.261653       0.238501                 NaN            NaN  0.125628                 NaN            NaN            NaN
  1379.80        500.000       0.124889E-002   99.1834       0.229118       0.342249                 NaN            NaN  0.243970                 NaN            NaN            NaN
  1378.84        500.000                 NaN   99.1675       0.236322       0.347665                 NaN            NaN  0.248491                 NaN            NaN            NaN
  1377.87        500.000                 NaN   99.1735       0.234665       0.345081                 NaN            NaN  0.246749                 NaN            NaN            NaN
  1376.91        500.000                 NaN   99.1845       0.275206       0.240890                 NaN  0.465702E-001  0.252811                 NaN            NaN            NaN
  1375.94        500.000                 NaN   99.1916       0.221820       0.246153                 NaN  0.824162E-001  0.257982                 NaN            NaN            NaN
  1374.98        500.000                 NaN   99.2009       0.217055       0.243928                 NaN  0.828466E-001  0.255232                 NaN            NaN            NaN
  1374.02        500.000                 NaN   99.2071       0.214082       0.242304                 NaN  0.830507E-001  0.253431                 NaN            NaN            NaN
  1373.05        500.000                 NaN   99.1532       0.225954       0.259767                 NaN  0.900165E-001  0.271092                 NaN            NaN            NaN
  1372.09        500.000                 NaN   99.2846       0.219053       0.190243                 NaN  0.771047E-001  0.229000                 NaN            NaN            NaN
  1371.12        500.000                 NaN   99.2268       0.204442       0.236906                 NaN  0.842324E-001  0.247632                 NaN            NaN            NaN
  1370.16        500.000                 NaN   99.2380       0.233839       0.199841                 NaN  0.841033E-001  0.244194                 NaN            NaN            NaN
  1369.20        500.000                 NaN   99.2425       0.232843       0.197048                 NaN  0.847119E-001  0.242895                 NaN            NaN            NaN
  1368.23        500.000                 NaN   99.2495       0.230918       0.193931                 NaN  0.849202E-001  0.240764                 NaN            NaN            NaN
  1367.27        500.000                 NaN   99.2559       0.190771       0.229085                 NaN  0.853467E-001  0.238933                 NaN            NaN            NaN
  1366.30        500.000                 NaN   99.2628       0.187437       0.227332                 NaN  0.855871E-001  0.236889                 NaN            NaN            NaN
  1365.34        500.000                 NaN   99.2127       0.243036       0.199051                 NaN  0.921892E-001  0.252982                 NaN            NaN            NaN
  1364.38        500.000                 NaN   99.3330       0.206168       0.167052                 NaN  0.792713E-001  0.214475                 NaN            NaN            NaN
  1363.41        500.000                 NaN   99.2821       0.178282       0.222224                 NaN  0.863232E-001  0.231072                 NaN            NaN            NaN
  1362.45        500.000                 NaN   98.4586       0.480605       0.381203                 NaN  0.184701       0.494873                 NaN            NaN            NaN
  1361.48        500.000                 NaN   99.9982       0.643023E-003            NaN            NaN  0.596878E-003  0.583549E-003            NaN            NaN            NaN
  1360.52        500.000       0.624254E-002   99.4131       0.156199       0.166459                 NaN  0.690313E-001  0.188961                 NaN            NaN            NaN
  1359.56        500.000                 NaN   99.3085       0.167616       0.215057                 NaN  0.861082E-001  0.222690                 NaN            NaN            NaN
  1358.59        500.000                 NaN   99.3121       0.163660       0.214507                 NaN  0.876452E-001  0.222066                 NaN            NaN            NaN
  1357.63        500.000                 NaN   99.3176       0.212821       0.162048                 NaN  0.873041E-001  0.220253                 NaN            NaN            NaN
  1356.67        500.000       0.679897E-003   99.8207       0.560568E-001  0.515471E-001            NaN  0.144603E-001  0.565788E-001            NaN            NaN            NaN
  1355.70        500.000                 NaN   98.8317       0.368567       0.260206                 NaN  0.160786       0.378699                 NaN            NaN            NaN
  1354.74        500.000                 NaN   99.3337       0.153680       0.208579                 NaN  0.883827E-001  0.215611                 NaN            NaN            NaN
  1353.77        500.000                 NaN   99.3420       0.150618       0.206224                 NaN  0.882113E-001  0.212929                 NaN            NaN            NaN
  1352.81        500.000                 NaN   99.7398       0.904128E-001  0.709347E-001            NaN  0.179676E-001  0.808431E-001            NaN            NaN            NaN
  1351.85        500.000                 NaN   98.9459       0.341479       0.208997                 NaN  0.159361       0.344240                 NaN            NaN            NaN
  1350.88        500.000                 NaN   99.3638       0.200534       0.140417                 NaN  0.891580E-001  0.206052                 NaN            NaN            NaN
  1349.92        500.000                 NaN   99.3613       0.201254       0.141104                 NaN  0.892345E-001  0.207094                 NaN            NaN            NaN
  1348.95        500.000                 NaN   99.7273       0.856702E-001  0.599435E-001            NaN  0.384217E-001  0.886211E-001            NaN            NaN            NaN
  1347.99        500.000                 NaN   99.0073       0.313121       0.217758                 NaN  0.139925       0.321864                 NaN            NaN            NaN
  1347.03        500.000                 NaN   99.3771       0.197736       0.132534                 NaN  0.903047E-001  0.202295                 NaN            NaN            NaN
  1346.06        500.000                 NaN   99.3817       0.195640       0.132218                 NaN  0.896147E-001  0.200809                 NaN            NaN            NaN
  1345.10        500.000                 NaN   99.3856       0.191047       0.150752                 NaN  0.758354E-001  0.196809                 NaN            NaN            NaN
  1344.13        500.000                 NaN   99.3918       0.196968       0.106393                 NaN  0.104242       0.200582                 NaN            NaN            NaN
  1343.17        500.000                 NaN   99.3950       0.190170       0.137571                 NaN  0.821386E-001  0.195109                 NaN            NaN            NaN
  1342.21        500.000                 NaN   99.4008       0.192993       0.111181                 NaN  0.984167E-001  0.196562                 NaN            NaN            NaN
  1341.24        500.000                 NaN   99.4049       0.121274       0.189755                 NaN  0.903948E-001  0.193725                 NaN            NaN            NaN
  1340.28        500.000                 NaN   99.4088       0.188631       0.119171                 NaN  0.908220E-001  0.192544                 NaN            NaN            NaN
  1339.31        500.000                 NaN   99.4142       0.187344       0.117601                 NaN  0.901946E-001  0.190681                 NaN            NaN            NaN
  1338.35        500.000                 NaN   99.4180       0.115655       0.186183                 NaN  0.905651E-001  0.189615                 NaN            NaN            NaN
  1337.39        500.000       0.110167E-002   99.6013       0.124368       0.812208E-001            NaN  0.619416E-001  0.130058                 NaN            NaN            NaN
  1336.42        500.000                 NaN   99.2471       0.241001       0.149404                 NaN  0.117500       0.245012                 NaN            NaN            NaN
  1335.46        500.000                 NaN   99.4314       0.109597       0.182868                 NaN  0.906717E-001  0.185464                 NaN            NaN            NaN
  1334.49        500.000                 NaN   99.4349       0.107934       0.181950                 NaN  0.908375E-001  0.184380                 NaN            NaN            NaN
  1333.53        500.000                 NaN   99.4400       0.106164       0.180497                 NaN  0.906053E-001  0.182693                 NaN            NaN            NaN
  1332.57        500.000                 NaN   99.4434       0.104940       0.179499                 NaN  0.904987E-001  0.181615                 NaN            NaN            NaN
  1331.60        500.000                 NaN   99.4467       0.103148       0.178682                 NaN  0.907697E-001  0.180692                 NaN            NaN            NaN
  1330.64        500.000                 NaN   99.4527       0.176993       0.101221                 NaN  0.904400E-001  0.178625                 NaN            NaN            NaN
  1329.67        500.000                 NaN   99.4536       0.176497       0.988249E-001            NaN  0.921837E-001  0.178928                 NaN            NaN            NaN
  1328.71        500.000                 NaN   99.4608       0.174929       0.995625E-001            NaN  0.890674E-001  0.175668                 NaN            NaN            NaN
  1327.75        500.000                 NaN   99.4624       0.967730E-001  0.174589                 NaN  0.905924E-001  0.175681                 NaN            NaN            NaN
  1326.78        500.000                 NaN   99.4670       0.173100       0.950418E-001            NaN  0.905885E-001  0.174263                 NaN            NaN            NaN
  1325.82        500.000                 NaN   99.4713       0.950144E-001  0.171918                 NaN  0.893135E-001  0.172484                 NaN            NaN            NaN
  1324.85        500.000                 NaN   99.4746       0.924221E-001  0.171211                 NaN  0.900890E-001  0.171649                 NaN            NaN            NaN
  1323.89        500.000                 NaN   99.4783       0.914718E-001  0.169993                 NaN  0.897747E-001  0.170466                 NaN            NaN            NaN
  1322.93        500.000                 NaN   99.4808       0.169344       0.900293E-001            NaN  0.900443E-001  0.169784                 NaN            NaN            NaN
  1321.96        500.000                 NaN   99.4849       0.885094E-001  0.168365                 NaN  0.898125E-001  0.168424                 NaN            NaN            NaN
  1321.00        500.000                 NaN   99.4896       0.878980E-001  0.167025                 NaN  0.888956E-001  0.166614                 NaN            NaN            NaN
  1320.03        500.000                 NaN   99.4922       0.166251       0.863192E-001            NaN  0.892593E-001  0.165963                 NaN            NaN            NaN
