|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        q             
  1426.28        500.000        94.0751        2.18736        3.73750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.3516       0.421773       0.226587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3567       0.418356       0.224927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3601       0.223822       0.416069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3629       0.223199       0.413912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3667       0.411055       0.222208                 NaN  0.150994E-005            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3700       0.409447       0.220510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.3727       0.219709       0.407630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.3380       0.430682       0.231293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.9188       0.526001E-001  0.285980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.60        500.000        99.9647       0.601106E-002  0.292425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.53        500.000        97.2414        1.05788        1.23700                 NaN            NaN  0.463697                 NaN            NaN            NaN            NaN
  1413.46        500.000        98.2535       0.727781       0.537256                 NaN            NaN  0.478868       0.255073E-002            NaN            NaN            NaN
  1412.39        500.000        99.7376       0.816889E-001  0.108577                 NaN            NaN  0.721617E-001            NaN            NaN            NaN            NaN
  1411.32        500.000        97.2137        1.15428       0.868403                 NaN            NaN  0.763594                 NaN            NaN            NaN            NaN
  1410.25        500.000        98.4405       0.486366       0.645794                 NaN            NaN  0.427316                 NaN            NaN            NaN            NaN
  1409.19        500.000        98.4586       0.480446       0.638760                 NaN            NaN  0.422234                 NaN            NaN            NaN            NaN
  1408.12        500.000        98.4789       0.630213       0.474378                 NaN            NaN  0.416492                 NaN            NaN            NaN            NaN
