|6.6.6
Archiving\03_Data\DeqLP/QFM_m5/T13/T13_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        92.4027        7.57324       0.240821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        92.3778        7.59807       0.240838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        92.3530        7.62290       0.240854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        92.3282        7.64774       0.240871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        92.3033        7.67257       0.240888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        92.2785        7.69742       0.240905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        92.2536        7.72226       0.240922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        92.2288        7.74711       0.240938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        92.2039        7.77196       0.240955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        92.1796        7.79626       0.240972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        92.1553        7.82056       0.240988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        92.1310        7.84486       0.241005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        92.1067        7.86916       0.241021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        92.0824        7.89347       0.241037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        92.0581        7.91778       0.241054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        92.0338        7.94209       0.241070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        92.0095        7.96641       0.241087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        91.9860        7.98985       0.241103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        91.9626        8.01329       0.241118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        91.9392        8.03674       0.241134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        91.9157        8.06018       0.241150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        91.8922        8.08363       0.241166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        91.8688        8.10709       0.241182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        91.8453        8.13055       0.241198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        91.8219        8.15401       0.241214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        91.7986        8.17725       0.241229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        91.7618        8.19996       0.241144E-001  0.141325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        91.1630        8.20587       0.236838E-001  0.607416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        90.5642        8.21179       0.232531E-001   1.20072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        89.9264        8.21334       0.227761E-001   1.83750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        89.2885        8.21488       0.222992E-001   2.47429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        88.6507        8.21643       0.218222E-001   3.11109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        88.0128        8.21797       0.213452E-001   3.74789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        87.4228        8.21431       0.208681E-001   4.34203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        86.8328        8.21065       0.203911E-001   4.93615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        86.2428        8.20699       0.199141E-001   5.53026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        85.6529        8.20333       0.194371E-001   6.12436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        85.0629        8.19967       0.189601E-001   6.71845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        84.4730        8.19601       0.184831E-001   7.31252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        83.8831        8.19235       0.180061E-001   7.90658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        83.2932        8.18869       0.175292E-001   8.50063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        82.7500        8.17787       0.170437E-001   9.05508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        82.2069        8.16706       0.165583E-001   9.60950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        81.6638        8.15624       0.160729E-001   10.1639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        81.1207        8.14542       0.155875E-001   10.7182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        80.5777        8.13461       0.151022E-001   11.2726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        80.0347        8.12380       0.146169E-001   11.8268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        79.4918        8.11298       0.141316E-001   12.3811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        78.9489        8.10217       0.136463E-001   12.9353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        78.4349        8.08367       0.131414E-001   13.4683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        77.9209        8.06517       0.126366E-001   14.0013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        77.4071        8.04667       0.121318E-001   14.5341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        76.8932        8.02817       0.116271E-001   15.0670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        76.3794        8.00968       0.111224E-001   15.5998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        75.8657        7.99119       0.106178E-001   16.1325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        75.3520        7.97270       0.101133E-001   16.6651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        74.8384        7.95421       0.960874E-002   17.1978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        74.3264        7.93035       0.909954E-002   17.7203       0.139097E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        73.8138        7.90528       0.858712E-002   18.2427       0.296480E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        73.2996        7.87705       0.804927E-002   18.7701       0.452358E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        72.7854        7.84882       0.751150E-002   19.2974       0.608211E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        72.2740        7.81729       0.696150E-002   19.8256       0.761425E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        71.7627        7.78575       0.641159E-002   20.3537       0.914612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        71.2514        7.75423       0.586178E-002   20.8817       0.106777                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        70.7402        7.72271       0.531207E-002   21.4097       0.122090                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        70.2295        7.68415       0.473396E-002   21.9447       0.136888                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        69.7189        7.64559       0.415599E-002   22.4797       0.151682                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        69.2083        7.60705       0.357814E-002   23.0146       0.166473                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        68.6979        7.56851       0.300041E-002   23.5493       0.181261                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        68.1876        7.52998       0.242281E-002   24.0839       0.196045                 NaN            NaN            NaN            NaN            NaN            NaN
