|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.5/T13/T13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00       0.331175E-002   99.3738       0.622925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00                 NaN   99.0454       0.933710       0.208690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00                 NaN   99.0495       0.829880       0.120583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00                 NaN   99.0599       0.821300       0.118784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00                 NaN   99.0661       0.817343       0.116516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00                 NaN   99.0808       0.803446       0.115743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   99.0892       0.797749       0.113061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   99.1001       0.788232       0.111706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00                 NaN   99.0912       0.796168       0.112629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00                 NaN   99.1335       0.758879       0.107621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00                 NaN   99.1335       0.759053       0.107450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00                 NaN   99.1323       0.762171       0.105572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00                 NaN   99.1530       0.743063       0.103972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.1565       0.739710       0.103799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00                 NaN   99.1648       0.734008       0.101226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00                 NaN   99.1740       0.726019       0.999383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00                 NaN   99.1118       0.783769       0.104393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.2621       0.648082       0.898052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00                 NaN   99.2007       0.702913       0.963375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00                 NaN   99.2092       0.695574       0.952233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00                 NaN   99.2177       0.688501       0.938001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
