|6.6.6
Archiving\03_Data\frac/QFM_m4.75/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  2000.00        2500.00        99.6904       0.217422       0.780141E-001  0.141234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        99.6817       0.217451       0.866953E-001  0.141248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        99.6717       0.217483       0.967390E-001  0.141264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        99.6677       0.217502       0.100674       0.141272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        99.6490       0.217553       0.119364       0.141301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        99.6386       0.217585       0.129652       0.141317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        99.6283       0.217618       0.139924       0.141334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        99.6180       0.217650       0.150166       0.141350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        99.6078       0.217683       0.160397       0.141367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        99.5975       0.217715       0.170610       0.141384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        99.5873       0.217747       0.180797       0.141400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        99.5751       0.217784       0.192947       0.141419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        99.5669       0.217812       0.201119       0.141433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.5568       0.217844       0.211239       0.141450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.5466       0.217876       0.221343       0.141466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.5365       0.217909       0.231431       0.141482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        99.5264       0.217941       0.241498       0.141499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        99.5163       0.217973       0.251543       0.141515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        99.5063       0.218005       0.261565       0.141532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        99.4962       0.218037       0.271572       0.141548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        99.4862       0.218069       0.281555       0.141564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.4762       0.218100       0.291517       0.141581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.4662       0.218132       0.301472       0.141597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.4563       0.218164       0.311383       0.141613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.4463       0.218196       0.321296       0.141629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.4331       0.218234       0.334455       0.141650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.4265       0.218259       0.341042       0.141662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.4167       0.218291       0.350888       0.141678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.3260       0.218492       0.441363       0.141804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.3970       0.218354       0.370504       0.141710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.3872       0.218385       0.380285       0.141726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.3773       0.218417       0.390061       0.141742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.3676       0.218448       0.399787       0.141758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.3119       0.218575       0.455315       0.141836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3481       0.218511       0.419208       0.141790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.3041       0.218613       0.463065       0.141852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3287       0.218573       0.438543       0.141822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.2955       0.218653       0.471675       0.141870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3094       0.218635       0.457799       0.141853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.2964       0.218673       0.470768       0.141874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.2901       0.218697       0.476971       0.141885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        97.6243       0.113477E-001  0.518803       0.137086E-001   1.29668       0.535150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.6281                 NaN  0.210392E-002            NaN  0.369816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4590                 NaN  0.989490E-003            NaN  0.540025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4618                 NaN            NaN            NaN  0.538155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4678                 NaN  0.493253E-002            NaN  0.527310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        98.9395                 NaN            NaN            NaN   1.06046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4732                 NaN            NaN            NaN  0.526846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4762                 NaN            NaN            NaN  0.523815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4751                 NaN            NaN            NaN  0.524912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4821                 NaN  0.548690E-003            NaN  0.517383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4014                 NaN            NaN            NaN  0.594461                 NaN  0.413777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.5584                 NaN            NaN            NaN  0.432548                 NaN  0.908592E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4765                 NaN            NaN            NaN  0.512719                 NaN  0.108139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4808                 NaN            NaN            NaN  0.508492                 NaN  0.106934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4816                 NaN            NaN            NaN  0.507720                 NaN  0.107059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4842                 NaN            NaN            NaN  0.505112                 NaN  0.106608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4867                 NaN            NaN            NaN  0.502671                 NaN  0.106069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4876                 NaN            NaN            NaN  0.501861                 NaN  0.105750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4904                 NaN            NaN            NaN  0.499081                 NaN  0.105314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4911                 NaN            NaN            NaN  0.498397                 NaN  0.105211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4925                 NaN            NaN            NaN  0.497005                 NaN  0.104954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4944                 NaN            NaN            NaN  0.495126                 NaN  0.104360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4953                 NaN            NaN            NaN  0.494276                 NaN  0.104247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4969                 NaN            NaN            NaN  0.492721                 NaN  0.103813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        98.6240                 NaN            NaN            NaN   1.34755                 NaN  0.284815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.8840                 NaN            NaN            NaN  0.113701                 NaN  0.233006E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5021                 NaN            NaN            NaN  0.487645                 NaN  0.102400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5015                 NaN            NaN            NaN  0.488246                 NaN  0.102303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4994                 NaN            NaN            NaN  0.490281                 NaN  0.102747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5062                 NaN            NaN            NaN  0.483706                 NaN  0.100667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5039                 NaN            NaN            NaN  0.485970                 NaN  0.101435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5025                 NaN            NaN            NaN  0.487403                 NaN  0.101401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5064                 NaN            NaN            NaN  0.483608                 NaN  0.100287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.5062                 NaN            NaN            NaN  0.483783                 NaN  0.100090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5067                 NaN            NaN            NaN  0.483293                 NaN  0.999009E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.8314                 NaN            NaN            NaN  0.165733                 NaN  0.289578E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.1812                 NaN            NaN            NaN  0.801820                 NaN  0.170284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5057                 NaN            NaN            NaN  0.484346                 NaN  0.992804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4989                 NaN            NaN            NaN  0.491037                 NaN  0.101038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5144                 NaN            NaN            NaN  0.475913                 NaN  0.965168E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5059                 NaN            NaN            NaN  0.484274                 NaN  0.983986E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5064                 NaN            NaN            NaN  0.483746                 NaN  0.981002E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.6171                 NaN            NaN            NaN  0.375295                 NaN  0.760777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3930                 NaN            NaN            NaN  0.595059                 NaN  0.119676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5016                 NaN            NaN            NaN  0.488599                 NaN  0.982934E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.5098                 NaN            NaN            NaN  0.480633                 NaN  0.956316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5029                 NaN            NaN            NaN  0.487388                 NaN  0.969881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.5038                 NaN            NaN            NaN  0.486549                 NaN  0.963006E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5028                 NaN            NaN            NaN  0.487557                 NaN  0.962039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5018                 NaN            NaN            NaN  0.488641                 NaN  0.959458E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5004                 NaN            NaN            NaN  0.490050                 NaN  0.956995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4999                 NaN            NaN            NaN  0.490538                 NaN  0.954821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5002                 NaN            NaN            NaN  0.490343                 NaN  0.949486E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4972                 NaN            NaN            NaN  0.493268                 NaN  0.953980E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4981                 NaN            NaN            NaN  0.492464                 NaN  0.946110E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4963                 NaN            NaN            NaN  0.494262                 NaN  0.944814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4951                 NaN            NaN            NaN  0.495435                 NaN  0.944292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4925                 NaN            NaN            NaN  0.498038                 NaN  0.942111E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4930                 NaN            NaN            NaN  0.497596                 NaN  0.937170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4924                 NaN            NaN            NaN  0.498301                 NaN  0.934877E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4903                 NaN            NaN            NaN  0.500354                 NaN  0.934425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.1533                 NaN            NaN            NaN  0.831532                 NaN  0.151276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.8261                 NaN            NaN            NaN  0.170476                 NaN  0.339869E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4856                 NaN            NaN            NaN  0.505095                 NaN  0.929126E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4853                 NaN            NaN            NaN  0.505495                 NaN  0.925363E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4836                 NaN            NaN            NaN  0.507148                 NaN  0.923157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5144                 NaN            NaN            NaN  0.476811                 NaN  0.878005E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4459                 NaN            NaN            NaN  0.544443                 NaN  0.965585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4833                 NaN            NaN            NaN  0.507581                 NaN  0.908196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4780                 NaN            NaN            NaN  0.512794                 NaN  0.918730E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4775                 NaN            NaN            NaN  0.513421                 NaN  0.911576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4756                 NaN            NaN            NaN  0.515255                 NaN  0.911122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4747                 NaN            NaN            NaN  0.516194                 NaN  0.908019E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4727                 NaN            NaN            NaN  0.518239                 NaN  0.907647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4716                 NaN            NaN            NaN  0.519362                 NaN  0.905303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4710                 NaN            NaN            NaN  0.519978                 NaN  0.903281E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4685                 NaN            NaN            NaN  0.522512                 NaN  0.903327E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4688                 NaN            NaN            NaN  0.522231                 NaN  0.897213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4674                 NaN            NaN            NaN  0.523646                 NaN  0.897173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4663                 NaN            NaN            NaN  0.524750                 NaN  0.894083E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4629                 NaN            NaN            NaN  0.528101                 NaN  0.896319E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.0257                 NaN            NaN            NaN  0.957863                 NaN  0.164666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.9119                 NaN            NaN            NaN  0.869129E-001            NaN  0.116603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4555                 NaN            NaN            NaN  0.535480                 NaN  0.899363E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
