|6.6.6
Archiving\03_Data\eq/QFM_m2.5/GRV/GRV_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.3199       0.680139                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3198       0.680212                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3197       0.680286                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.3196       0.680359                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.3196       0.680432                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.3195       0.680506                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.3194       0.680580                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.3193       0.680653                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.3193       0.680727                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3192       0.680801                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3191       0.680874                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3191       0.680948                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3190       0.681022                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3189       0.681096                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3188       0.681170                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3188       0.681244                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.3187       0.681318                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.3186       0.681392                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.3185       0.681466                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.3185       0.681541                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.3184       0.681615                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.3183       0.681689                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.3182       0.681764                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.3182       0.681838                 NaN            NaN            NaN            NaN            NaN
