|6.6.6
Archiving\03_Data\Deq/QFM_m0.5/YM20/YM20_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.5923       0.407721                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5742       0.425765                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5562       0.443808                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5381       0.461852                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5201       0.479895                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5021       0.497938                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.4840       0.515981                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.4660       0.534024                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4479       0.552067                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4083       0.591657                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3688       0.631246                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3292       0.670835                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2896       0.710424                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2500       0.750012                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2104       0.789600                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1708       0.829188                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1312       0.868776                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.0004       0.999632                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.8695        1.13049                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.7387        1.26134                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.6078        1.39220                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.4769        1.52305                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.3461        1.65391                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.2152        1.78476                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.0844        1.91561                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.8390        2.16099                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.5126        2.47187       0.154964E-001            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.1156        2.84861       0.358177E-001            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.7185        3.22536       0.561390E-001            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.1979        3.72667       0.754227E-001            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.6773        4.22799       0.947065E-001            NaN            NaN            NaN            NaN
  1900.64        2500.00        95.1567        4.72931       0.113991                 NaN            NaN            NaN            NaN
  1897.44        2500.00        94.6361        5.23064       0.133275                 NaN            NaN            NaN            NaN
  1894.23        2500.00        94.0200        5.82913       0.150897                 NaN            NaN            NaN            NaN
  1891.03        2500.00        93.4039        6.42763       0.168519                 NaN            NaN            NaN            NaN
  1887.82        2500.00        92.7877        7.02614       0.186141                 NaN            NaN            NaN            NaN
  1884.62        2500.00        92.1716        7.62466       0.203764                 NaN            NaN            NaN            NaN
  1881.41        2500.00        91.5554        8.22319       0.221387                 NaN            NaN            NaN            NaN
  1878.21        2500.00        90.9393        8.82173       0.239010                 NaN            NaN            NaN            NaN
  1875.00        2500.00        90.3231        9.42029       0.256634                 NaN            NaN            NaN            NaN
  1871.79        2500.00        89.7069        10.0189       0.274258                 NaN            NaN            NaN            NaN
  1868.59        2500.00        89.0850        10.6246       0.290412                 NaN            NaN            NaN            NaN
  1865.38        2500.00        88.4631        11.2303       0.306566                 NaN            NaN            NaN            NaN
  1862.18        2500.00        87.8412        11.8361       0.322720                 NaN            NaN            NaN            NaN
  1858.97        2500.00        87.2192        12.4419       0.338875                 NaN            NaN            NaN            NaN
  1855.77        2500.00        86.5973        13.0477       0.355031                 NaN            NaN            NaN            NaN
  1852.56        2500.00        85.9753        13.6535       0.371186                 NaN            NaN            NaN            NaN
  1849.36        2500.00        85.3534        14.2593       0.387342                 NaN            NaN            NaN            NaN
  1846.15        2500.00        84.7314        14.8651       0.403499                 NaN            NaN            NaN            NaN
  1842.95        2500.00        84.1298        15.4518       0.418419                 NaN            NaN            NaN            NaN
  1839.74        2500.00        83.5281        16.0385       0.433340                 NaN            NaN            NaN            NaN
  1836.54        2500.00        82.9265        16.6253       0.448261                 NaN            NaN            NaN            NaN
  1833.33        2500.00        82.3248        17.2120       0.463183                 NaN            NaN            NaN            NaN
  1830.13        2500.00        81.7231        17.7988       0.478105                 NaN            NaN            NaN            NaN
  1826.92        2500.00        81.1214        18.3855       0.493027                 NaN            NaN            NaN            NaN
  1823.72        2500.00        80.5197        18.9723       0.507950                 NaN            NaN            NaN            NaN
  1820.51        2500.00        79.9180        19.5591       0.522873                 NaN            NaN            NaN            NaN
  1817.31        2500.00        79.3383        20.1250       0.536700                 NaN            NaN            NaN            NaN
  1814.10        2500.00        78.7586        20.6909       0.550527                 NaN            NaN            NaN            NaN
  1810.90        2500.00        78.1788        21.2568       0.564355                 NaN            NaN            NaN            NaN
  1807.69        2500.00        77.5990        21.8228       0.578183                 NaN            NaN            NaN            NaN
  1804.49        2500.00        77.0193        22.3887       0.592012                 NaN            NaN            NaN            NaN
  1801.28        2500.00        76.4395        22.9547       0.605841                 NaN            NaN            NaN            NaN
  1798.08        2500.00        75.8597        23.5207       0.619670                 NaN            NaN            NaN            NaN
  1794.87        2500.00        75.2798        24.0867       0.633500                 NaN            NaN            NaN            NaN
  1791.67        2500.00        74.7158        24.6379       0.646375                 NaN            NaN            NaN            NaN
  1788.46        2500.00        74.1517        25.1891       0.659250                 NaN            NaN            NaN            NaN
  1785.26        2500.00        73.5875        25.7403       0.672125                 NaN            NaN            NaN            NaN
  1782.05        2500.00        73.0234        26.2916       0.685001                 NaN            NaN            NaN            NaN
  1778.85        2500.00        72.4593        26.8429       0.697877                 NaN            NaN            NaN            NaN
  1775.64        2500.00        71.8951        27.3941       0.710754                 NaN            NaN            NaN            NaN
  1772.44        2500.00        71.3309        27.9454       0.723631                 NaN            NaN            NaN            NaN
  1769.23        2500.00        70.7667        28.4968       0.736508                 NaN            NaN            NaN            NaN
  1766.03        2500.00        70.2167        29.0348       0.748430                 NaN            NaN            NaN            NaN
  1762.82        2500.00        69.6668        29.5729       0.760352                 NaN            NaN            NaN            NaN
  1759.62        2500.00        69.1167        30.1110       0.772274                 NaN            NaN            NaN            NaN
  1756.41        2500.00        68.5667        30.6491       0.784197                 NaN            NaN            NaN            NaN
  1753.21        2500.00        68.0167        31.1872       0.796120                 NaN            NaN            NaN            NaN
  1750.00        2500.00        67.4666        31.7254       0.808043                 NaN            NaN            NaN            NaN
  1746.79        2500.00        66.9165        32.2635       0.819966                 NaN            NaN            NaN            NaN
  1743.59        2500.00        66.3664        32.8017       0.831890                 NaN            NaN            NaN            NaN
  1740.38        2500.00        65.8328        33.3239       0.843246                 NaN            NaN            NaN            NaN
  1737.18        2500.00        65.2992        33.8462       0.854601                 NaN            NaN            NaN            NaN
  1733.97        2500.00        64.7655        34.3685       0.865957                 NaN            NaN            NaN            NaN
  1730.77        2500.00        64.2319        34.8908       0.877314                 NaN            NaN            NaN            NaN
  1727.56        2500.00        63.6982        35.4131       0.888670                 NaN            NaN            NaN            NaN
  1724.36        2500.00        63.1645        35.9354       0.900027                 NaN            NaN            NaN            NaN
  1721.15        2500.00        62.6308        36.4578       0.911385                 NaN            NaN            NaN            NaN
  1717.95        2500.00        62.0971        36.9802       0.922742                 NaN            NaN            NaN            NaN
  1714.74        2500.00        61.5817        37.4849       0.933368                 NaN            NaN            NaN            NaN
  1711.54        2500.00        61.0664        37.9897       0.943993                 NaN            NaN            NaN            NaN
  1708.33        2500.00        60.5510        38.4944       0.954619                 NaN            NaN            NaN            NaN
  1705.13        2500.00        60.0356        38.9992       0.965246                 NaN            NaN            NaN            NaN
  1701.92        2500.00        59.5201        39.5040       0.975872                 NaN            NaN            NaN            NaN
  1698.72        2500.00        59.0047        40.0088       0.986499                 NaN            NaN            NaN            NaN
  1695.51        2500.00        58.4892        40.5136       0.997126                 NaN            NaN            NaN            NaN
  1692.31        2500.00        57.9738        41.0185        1.00775                 NaN            NaN            NaN            NaN
  1689.10        2500.00        57.4823        41.5000        1.01774                 NaN            NaN            NaN            NaN
  1685.90        2500.00        56.9908        41.9815        1.02773                 NaN            NaN            NaN            NaN
  1682.69        2500.00        56.4993        42.4630        1.03772                 NaN            NaN            NaN            NaN
  1679.49        2500.00        56.0078        42.9445        1.04770                 NaN            NaN            NaN            NaN
  1676.28        2500.00        55.5163        43.4261        1.05769                 NaN            NaN            NaN            NaN
  1673.08        2500.00        55.0247        43.9076        1.06768                 NaN            NaN            NaN            NaN
  1669.87        2500.00        54.5331        44.3892        1.07767                 NaN            NaN            NaN            NaN
  1666.67        2500.00        54.0416        44.8708        1.08766                 NaN            NaN            NaN            NaN
  1663.46        2500.00        53.5716        45.3311        1.09733                 NaN            NaN            NaN            NaN
  1660.26        2500.00        53.1016        45.7914        1.10700                 NaN            NaN            NaN            NaN
  1657.05        2500.00        52.6316        46.2517        1.11668                 NaN            NaN            NaN            NaN
  1653.85        2500.00        52.1616        46.7120        1.12635                 NaN            NaN            NaN            NaN
  1650.64        2500.00        51.0456        46.9960        1.12479       0.833651                 NaN            NaN            NaN
  1647.44        2500.00        49.6115        47.1744        1.11700        2.09718                 NaN            NaN            NaN
  1644.23        2500.00        48.2682        47.3404        1.10924        3.28209                 NaN            NaN            NaN
  1641.03        2500.00        46.9249        47.5065        1.10149        4.46704                 NaN            NaN            NaN
  1637.82        2500.00        45.8299        47.6375        1.09315        5.43943                 NaN            NaN            NaN
  1634.62        2500.00        44.7348        47.7686        1.08480        6.41184                 NaN            NaN            NaN
  1631.41        2500.00        43.6397        47.8996        1.07646        7.38428                 NaN            NaN            NaN
  1628.21        2500.00        42.5445        48.0306        1.06811        8.35675                 NaN            NaN            NaN
  1625.00        2500.00        41.4494        48.1616        1.05977        9.32924                 NaN            NaN            NaN
  1621.79        2500.00        40.3541        48.2927        1.05142        10.3018                 NaN            NaN            NaN
  1618.59        2500.00        39.2589        48.4237        1.04307        11.2743                 NaN            NaN            NaN
  1615.38        2500.00        38.1636        48.5548        1.03473        12.2469                 NaN            NaN            NaN
  1612.18        2500.00        37.3418        48.6451        1.02564        12.9874                 NaN            NaN            NaN
  1608.97        2500.00        36.5200        48.7354        1.01656        13.7280                 NaN            NaN            NaN
  1605.77        2500.00        35.6982        48.8258        1.00748        14.4685                 NaN            NaN            NaN
  1602.56        2500.00        34.8764        48.9161       0.998397        15.2091                 NaN            NaN            NaN
  1599.36        2500.00        34.0545        49.0065       0.989314        15.9497                 NaN            NaN            NaN
  1596.15        2500.00        33.2327        49.0968       0.980230        16.6903                 NaN            NaN            NaN
  1592.95        2500.00        32.4108        49.1872       0.971147        17.4309                 NaN            NaN            NaN
  1589.74        2500.00        31.5889        49.2775       0.962064        18.1715                 NaN            NaN            NaN
  1586.54        2500.00        30.9326        49.3420       0.951993        18.7734                 NaN            NaN            NaN
  1583.33        2500.00        30.2763        49.4064       0.941922        19.3754                 NaN            NaN            NaN
  1580.13        2500.00        29.6200        49.4708       0.931851        19.9773                 NaN            NaN            NaN
  1576.92        2500.00        28.9636        49.5353       0.921779        20.5793                 NaN            NaN            NaN
  1573.72        2500.00        28.3073        49.5997       0.911708        21.1813                 NaN            NaN            NaN
  1570.51        2500.00        27.6510        49.6641       0.901636        21.7833                 NaN            NaN            NaN
  1567.31        2500.00        26.9946        49.7286       0.891565        22.3852                 NaN            NaN            NaN
  1564.10        2500.00        26.3382        49.7930       0.881493        22.9872                 NaN            NaN            NaN
  1560.90        2500.00        25.7801        49.8412       0.869742        23.5090                 NaN            NaN            NaN
  1557.69        2500.00        25.2219        49.8894       0.857992        24.0307                 NaN            NaN            NaN
  1554.49        2500.00        24.6637        49.9376       0.846242        24.5524                 NaN            NaN            NaN
  1551.28        2500.00        24.1055        49.9858       0.834491        25.0741                 NaN            NaN            NaN
  1548.08        2500.00        23.5473        50.0341       0.822740        25.5959                 NaN            NaN            NaN
  1544.87        2500.00        22.9891        50.0823       0.810989        26.1176                 NaN            NaN            NaN
  1541.67        2500.00        22.4309        50.1305       0.799238        26.6394                 NaN            NaN            NaN
  1538.46        2500.00        21.8727        50.1787       0.787487        27.1611                 NaN            NaN            NaN
  1535.26        2500.00        21.3654        50.2168       0.773219        27.6445                 NaN            NaN            NaN
  1532.05        2500.00        20.8582        50.2549       0.758950        28.1280                 NaN            NaN            NaN
  1528.85        2500.00        20.3509        50.2930       0.744682        28.6114                 NaN            NaN            NaN
  1525.64        2500.00        19.8436        50.3311       0.730413        29.0948                 NaN            NaN            NaN
  1522.44        2500.00        19.3364        50.3693       0.716144        29.5782                 NaN            NaN            NaN
  1519.23        2500.00        18.8291        50.4074       0.701875        30.0617                 NaN            NaN            NaN
  1516.03        2500.00        18.3218        50.4455       0.687606        30.5451                 NaN            NaN            NaN
  1512.82        2500.00        17.8145        50.4836       0.673337        31.0285                 NaN            NaN            NaN
  1509.62        2500.00        17.3256        50.5164       0.657628        31.5003                 NaN            NaN            NaN
  1506.41        2500.00        16.8368        50.5492       0.641918        31.9722                 NaN            NaN            NaN
  1503.21        2500.00        16.3490        50.5816       0.625454        32.4439                 NaN            NaN            NaN
  1500.00        2500.00        15.8453        50.6119       0.611059        32.8819       0.498720E-001            NaN            NaN
  1496.79        2500.00        15.1018        50.6398       0.615327        33.0340       0.609057                 NaN            NaN
  1493.59        2500.00        14.3583        50.6676       0.619595        33.1862        1.16825                 NaN            NaN
  1490.38        2500.00        13.6149        50.6955       0.623863        33.3384        1.72744                 NaN            NaN
  1487.18        2500.00        12.8714        50.7233       0.628132        33.4905        2.28664                 NaN            NaN
  1483.97        2500.00        12.3107        50.7184       0.640239        33.5969        2.73378                 NaN            NaN
  1480.77        2500.00        11.7500        50.7135       0.652345        33.7032        3.18091                 NaN            NaN
  1477.56        2500.00        11.1893        50.7086       0.664452        33.8096        3.62805                 NaN            NaN
  1474.36        2500.00        10.6286        50.7037       0.676559        33.9159        4.07519                 NaN            NaN
  1471.15        2500.00        10.0679        50.6988       0.688666        34.0223        4.52234                 NaN            NaN
  1467.95        2500.00        9.50716        50.6940       0.700773        34.1286        4.96948                 NaN            NaN
  1464.74        2500.00        8.94645        50.6891       0.712880        34.2350        5.41663                 NaN            NaN
  1461.54        2500.00        8.38574        50.6842       0.724987        34.3413        5.86378                 NaN            NaN
  1458.33        2500.00        7.93247        50.6581       0.744829        34.3322        6.22500       0.107450                 NaN
  1455.13        2500.00        7.47034        50.6182       0.772375        34.1600        6.56070       0.418354                 NaN
  1451.92        2500.00        7.47034        50.6182       0.772375        34.1600        6.56070       0.418354                 NaN
  1448.72        2500.00        6.63913        50.5395       0.825454        33.8738       0.950111        7.17208                 NaN
  1445.51        2500.00        6.63913        50.5395       0.825454        33.8738       0.950111        7.17208                 NaN
  1442.31        2500.00        6.63913        50.5395       0.825454        33.8738       0.950111        7.17208                 NaN
  1439.10        2500.00        6.63913        50.5395       0.825454        33.8738       0.950111        7.17208                 NaN
  1435.90        2500.00        5.28665        50.3804       0.925043        33.4727        8.19074        1.74451                 NaN
  1432.69        2500.00        5.28665        50.3804       0.925043        33.4727        8.19074        1.74451                 NaN
  1429.49        2500.00        5.28665        50.3804       0.925043        33.4727        8.19074        1.74451                 NaN
  1426.28        2500.00        5.28665        50.3804       0.925043        33.4727        8.19074        1.74451                 NaN
  1423.08        2500.00        4.24175        50.2197        1.01893        33.2119        8.99870        2.30904                 NaN
  1419.87        2500.00        3.99842        50.2128        1.03614        33.1178        2.45425        9.13444       0.460926E-001
  1416.67        2500.00        3.74759        50.2408        1.04766        32.9824        9.21612        2.62433       0.141097     
  1413.46        2500.00        3.74759        50.2408        1.04766        32.9824        9.21612        2.62433       0.141097     
  1410.26        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1407.05        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1403.85        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1400.64        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1397.44        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1394.23        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1391.03        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1387.82        2500.00        3.29682        50.2880        1.07010        32.7335        9.36133        2.93295       0.317249     
  1384.62        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1381.41        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1378.21        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1375.00        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1371.79        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1368.59        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1365.38        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1362.18        2500.00        1.93673        50.4067        1.15334        31.9224        3.89159        9.78750       0.901816     
  1358.97        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1355.77        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1352.56        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1349.36        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1346.15        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1342.95        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1339.74        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1336.54        2500.00       0.970466        50.4441        1.23060        31.3378        10.0784        4.57108        1.36756     
  1333.33        2500.00       0.194670        50.4174        1.30491        30.9284        5.08046        10.3190        1.75521     
  1330.13        2500.00       0.194670        50.4174        1.30491        30.9284        5.08046        10.3190        1.75521     
  1326.92        2500.00       0.186214E-001   50.4003        1.32332        30.8531        10.3761        5.18725        1.84132     
  1323.72        2500.00                 NaN   50.4070        1.32976        30.8357        10.3727        5.18918        1.86570     
  1320.51        2500.00                 NaN   50.4162        1.33588        30.8221        10.3627        5.18067        1.88246     
  1317.31        2500.00                 NaN   50.4162        1.33588        30.8221        10.3627        5.18067        1.88246     
  1314.10        2500.00                 NaN   50.4162        1.33588        30.8221        10.3627        5.18067        1.88246     
  1310.90        2500.00                 NaN   50.4162        1.33588        30.8221        10.3627        5.18067        1.88246     
  1307.69        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1304.49        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1301.28        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1298.08        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1294.87        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1291.67        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1288.46        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1285.26        2500.00                 NaN   50.4597        1.35881        30.7699        10.3152        5.13908        1.95739     
  1282.05        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1278.85        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1275.64        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1272.44        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1269.23        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1266.03        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1262.82        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1259.62        2500.00                 NaN   50.5356        1.40722        30.6704        5.06063        10.2313        2.09480     
  1256.41        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1253.21        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1250.00        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1246.79        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1243.59        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1240.38        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1237.18        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1233.97        2500.00                 NaN   50.5982        1.45739        30.5855        4.97565        10.1627        2.22058     
  1230.77        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1227.56        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1224.36        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1221.15        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1217.95        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1214.74        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1211.54        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1208.33        2500.00                 NaN   50.6502        1.51029        30.5105        10.1028        4.89182        2.33440     
  1205.13        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1201.92        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1198.72        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1195.51        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1192.31        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1189.10        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1185.90        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1182.69        2500.00                 NaN   50.6921        1.56486        30.4515        4.80182        10.0516        2.43803     
  1179.49        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1176.28        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1173.08        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1169.87        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1166.67        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1163.46        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1160.26        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1157.05        2500.00                 NaN   50.7207        1.62325        30.4014        4.71548        10.0109        2.52824     
  1153.85        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
  1150.64        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
  1147.44        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
  1144.23        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
  1141.03        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
  1137.82        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
  1134.62        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
  1131.41        2500.00                 NaN   50.7390        1.68412        30.3689        9.97573        4.62379        2.60849     
