|6.6.6
Archiving\03_Data\Deq/QFM_m0.5/YM20/YM20_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.6388       0.361165                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.6219       0.378054                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.6051       0.394946                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5882       0.411842                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5713       0.428742                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5544       0.445646                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5374       0.462553                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5205       0.479464                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5036       0.496379                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4666       0.533425                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.4295       0.570480                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3925       0.607544                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3554       0.644616                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3183       0.681698                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2812       0.718789                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2441       0.755888                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2070       0.792997                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.0846       0.915431                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.9621        1.03791                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.8396        1.16043                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.7170        1.28299                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.5944        1.40560                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.4718        1.52824                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.3491        1.65093                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.2263        1.77367                 NaN            NaN            NaN            NaN            NaN
