|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/KHA22/KHA22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1548.08        500.000        99.7993                 NaN  0.199493       0.117608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.71        500.000        99.7496                 NaN  0.246861       0.356956E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.33        500.000        99.1951                 NaN  0.773143       0.317688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        500.000        98.9859                 NaN  0.986657       0.274297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.59        500.000        99.9748                 NaN  0.236102E-001  0.157129E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        500.000        99.4872                 NaN  0.494983       0.177839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.84        500.000        99.4920                 NaN  0.490389       0.175635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        99.4958                 NaN  0.488284       0.159370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.09        500.000        99.4996                 NaN  0.484094       0.163248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.72        500.000        99.5031                 NaN  0.481987       0.149036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.34        500.000        99.5069                 NaN  0.480105       0.130318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.97        500.000        99.5124                 NaN  0.470413       0.171379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.60        500.000        99.5058                 NaN  0.481115       0.130381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        500.000        99.5270                 NaN  0.460443       0.125273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        99.5221                 NaN  0.462430       0.155058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.48        500.000        99.5276                 NaN  0.462815       0.960819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.10        500.000        99.5012                 NaN  0.487310       0.114645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        500.000        99.8835                 NaN  0.114908       0.158968E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.35        500.000        99.2128                 NaN  0.770608       0.166391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000        99.5400                 NaN  0.449094       0.109164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.61        500.000        99.5447                 NaN  0.446648       0.867701E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        99.5471                 NaN  0.444062       0.882017E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.86        500.000        99.5504                 NaN  0.441252       0.832009E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.49        500.000        99.0342                 NaN  0.951350       0.144854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.11        500.000        99.9961                 NaN            NaN  0.390254E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.8411                 NaN  0.158895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.37        500.000        99.3576                 NaN  0.637900       0.451404E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.5658                 NaN  0.427111       0.706689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        99.5694                 NaN  0.428309       0.230559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.5717                 NaN  0.424037       0.428649E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.87        500.000        99.5727                 NaN  0.425126       0.217100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.50        500.000        99.5788                 NaN  0.416718       0.452470E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.12        500.000        99.5793                 NaN  0.418904       0.182858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000        99.6790                 NaN  0.319444       0.158114E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.4896                 NaN  0.504960       0.547909E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        99.5882                 NaN  0.411848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.63        500.000        99.5907                 NaN  0.409283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.26        500.000        99.5936                 NaN  0.397043       0.934767E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.88        500.000        99.6120                 NaN  0.294554       0.934009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.51        500.000        99.5935                 NaN  0.406529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.13        500.000        99.6075                 NaN  0.392473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000        99.6033                 NaN  0.396718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        500.000        99.6065                 NaN  0.390733       0.276442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000        99.6088                 NaN  0.391232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.64        500.000        99.6044                 NaN  0.388787       0.683686E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
