|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/KHA22/KHA22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1548.08        500.000        99.7658                 NaN  0.232762       0.139947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.71        500.000        99.7077                 NaN  0.288021       0.424560E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.33        500.000        99.0606                 NaN  0.901614       0.377941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        500.000        98.8178                 NaN   1.14959       0.326020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.59        500.000        99.9705                 NaN  0.275891E-001  0.187301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        500.000        99.4008                 NaN  0.578034       0.211875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.84        500.000        99.4062                 NaN  0.572861       0.209382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        99.4105                 NaN  0.570542       0.190062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.09        500.000        99.4147                 NaN  0.565873       0.194774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.72        500.000        99.4187                 NaN  0.563556       0.177906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.34        500.000        99.4229                 NaN  0.561506       0.155608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.97        500.000        99.4291                 NaN  0.550425       0.204707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.60        500.000        99.4215                 NaN  0.562914       0.155783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        500.000        99.4461                 NaN  0.538967       0.149789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        99.4400                 NaN  0.541503       0.185462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.48        500.000        99.4464                 NaN  0.542071       0.114960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.10        500.000        99.4154                 NaN  0.570911       0.137230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        500.000        99.8634                 NaN  0.134673       0.190467E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.35        500.000        99.0773                 NaN  0.902813       0.199199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000        99.4602                 NaN  0.526709       0.130852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.61        500.000        99.4657                 NaN  0.523894       0.104020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        99.4684                 NaN  0.520980       0.105777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.86        500.000        99.4721                 NaN  0.517930       0.998336E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.49        500.000        98.8654                 NaN   1.11716       0.174026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.11        500.000        99.9953                 NaN            NaN  0.469180E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.8133                 NaN  0.186721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.37        500.000        99.2453                 NaN  0.749264       0.542308E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.4895                 NaN  0.501967       0.849525E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        99.4937                 NaN  0.503550       0.277313E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.4962                 NaN  0.498673       0.515768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.87        500.000        99.4973                 NaN  0.500101       0.261338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.50        500.000        99.5042                 NaN  0.490373       0.544953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
