|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1618.59        2500.00       0.100958E-001   99.5122                 NaN  0.423737       0.374329E-001  0.165753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00                 NaN   99.2212                 NaN  0.778751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00                 NaN   99.0595                 NaN  0.923339       0.698758E-002  0.102045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.0609                 NaN  0.841550       0.962516E-001  0.126456E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00                 NaN   99.0764                 NaN  0.824353       0.962480E-001  0.296056E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00                 NaN   99.0850                 NaN  0.811366       0.103666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00                 NaN   99.1003                 NaN  0.800809       0.988440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00                 NaN   98.8693                 NaN   1.02912       0.865588E-001  0.150591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00                 NaN   99.3344                 NaN  0.589622       0.759562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00                 NaN   99.1225                 NaN  0.781429       0.960919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00                 NaN   99.0955                 NaN  0.707098       0.197452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00                 NaN   99.1699                 NaN  0.829658       0.450516E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00                 NaN   99.1468                 NaN  0.774562       0.786839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00                 NaN   99.1530                 NaN  0.757294       0.896691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.89        2500.00                 NaN   99.1609                 NaN  0.751137       0.879424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00                 NaN   99.1686                 NaN  0.742595       0.887937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.78        2500.00                 NaN   99.1818                 NaN  0.731323       0.869175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00                 NaN   99.1854                 NaN  0.728430       0.861905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.68        2500.00                 NaN   99.1938                 NaN  0.721452       0.847078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00                 NaN   99.1712                 NaN  0.740177       0.886611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.58        2500.00                 NaN   99.2316                 NaN  0.688647       0.797247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.2192                 NaN  0.700828       0.799771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.48        2500.00                 NaN   99.2130                 NaN  0.680519       0.106478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.2353                 NaN  0.715981       0.487660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.38        2500.00                 NaN   99.2340                 NaN  0.689931       0.760770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00                 NaN   99.2408                 NaN  0.683431       0.757290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
