|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1618.59        2500.00       0.660155E-002   99.5777                 NaN  0.376807       0.325316E-001  0.637714E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00                 NaN   99.3074                 NaN  0.692633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00                 NaN   99.1688                 NaN  0.821218       0.607269E-002  0.392698E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.1676                 NaN  0.748315       0.836152E-001  0.486537E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00                 NaN   99.1825                 NaN  0.732806       0.835813E-001  0.113884E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00                 NaN   99.1890                 NaN  0.721046       0.899920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00                 NaN   99.2027                 NaN  0.711537       0.857733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00                 NaN   99.0047                 NaN  0.914388       0.750858E-001  0.579072E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00                 NaN   99.4106                 NaN  0.523562       0.658530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00                 NaN   99.2229                 NaN  0.693782       0.832872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00                 NaN   99.2011                 NaN  0.627849       0.171073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00                 NaN   99.2633                 NaN  0.736263       0.390224E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00                 NaN   99.2446                 NaN  0.687232       0.681229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00                 NaN   99.2506                 NaN  0.671791       0.775912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.89        2500.00                 NaN   99.2578                 NaN  0.666134       0.760784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00                 NaN   99.2648                 NaN  0.658443       0.767999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.78        2500.00                 NaN   99.2766                 NaN  0.648244       0.751463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00                 NaN   99.2801                 NaN  0.645464       0.744769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.68        2500.00                 NaN   99.2876                 NaN  0.639183       0.731740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00                 NaN   99.2679                 NaN  0.655579       0.765668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.58        2500.00                 NaN   99.3214                 NaN  0.609734       0.688180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.3106                 NaN  0.620444       0.690048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.48        2500.00                 NaN   99.3059                 NaN  0.602223       0.918520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.3244                 NaN  0.633596       0.420469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.38        2500.00                 NaN   99.3239                 NaN  0.610488       0.655784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00                 NaN   99.3303                 NaN  0.604469       0.652340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.28        2500.00                 NaN   99.3263                 NaN  0.611355       0.623636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.3542                 NaN  0.578734       0.671103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.18        2500.00                 NaN   99.3482                 NaN  0.589206       0.626354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.3541                 NaN  0.583949       0.619314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.08        2500.00                 NaN   99.3574                 NaN  0.582835       0.597793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN   99.3665                 NaN  0.574252       0.592523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.98        2500.00                 NaN   99.3707                 NaN  0.570336       0.589664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN   99.3749                 NaN  0.567811       0.573317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.88        2500.00                 NaN   99.3724                 NaN  0.569028       0.586020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.33        2500.00                 NaN   99.3949                 NaN  0.549312       0.557747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.78        2500.00                 NaN   99.3909                 NaN  0.554054       0.550525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00                 NaN   99.3949                 NaN  0.551397       0.537220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00                 NaN   99.4010                 NaN  0.544844       0.541770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00                 NaN   99.4060                 NaN  0.541717       0.522582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00                 NaN   99.3144                 NaN  0.627649       0.579520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00                 NaN   99.5092                 NaN  0.447729       0.431096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00                 NaN   99.4183                 NaN  0.532994       0.487441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00                 NaN   99.4236                 NaN  0.527815       0.485398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00                 NaN   99.3674                 NaN  0.579963       0.525879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00                 NaN   99.4911                 NaN  0.467186       0.416715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00                 NaN   99.4366                 NaN  0.517506       0.458625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00                 NaN   99.4388                 NaN  0.516666       0.445303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00                 NaN   99.4261                 NaN  0.528216       0.457044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00                 NaN   99.7380                 NaN  0.244165       0.172285E-001  0.642254E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00                 NaN   99.8703                 NaN  0.120561       0.910008E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00                 NaN   98.7651                 NaN   1.13957       0.953123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00                 NaN   99.4494                 NaN  0.508283       0.423601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00                 NaN   99.4737                 NaN  0.487518       0.387538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00                 NaN   99.4649                 NaN  0.496681       0.384469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00                 NaN   99.3839                 NaN  0.526327       0.897561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00                 NaN   99.5668                 NaN  0.425415       0.777657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00                 NaN   99.4748                 NaN  0.508220       0.169752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00                 NaN   99.4784                 NaN  0.487176       0.344212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00                 NaN   99.4847                 NaN  0.481123       0.342256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00                 NaN   99.0850                 NaN  0.478309E-001  0.147590E-002            NaN  0.865675                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00                 NaN   99.8458                 NaN  0.116787E-001  0.230944E-005            NaN  0.142502                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00                 NaN   99.0613                 NaN            NaN  0.948261E-002            NaN  0.929218                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00                 NaN   99.3175                 NaN            NaN            NaN            NaN  0.682482                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00                 NaN   99.3153                 NaN            NaN            NaN            NaN  0.684719                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00                 NaN   99.3135                 NaN            NaN            NaN            NaN  0.686458                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00                 NaN   99.3110                 NaN            NaN            NaN            NaN  0.689018                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00                 NaN   99.3072                 NaN            NaN            NaN            NaN  0.692763                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00                 NaN   99.3033                 NaN            NaN            NaN            NaN  0.696659                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00                 NaN   99.2965                 NaN            NaN            NaN            NaN  0.703513                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00                 NaN   99.2865                 NaN            NaN            NaN            NaN  0.713532                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00                 NaN   99.2797                 NaN            NaN            NaN            NaN  0.720271                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00                 NaN   99.0345                 NaN            NaN            NaN            NaN  0.412725       0.552782                 NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00                 NaN   98.8557                 NaN            NaN            NaN            NaN  0.730260       0.414003                 NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00                 NaN   98.8685                 NaN            NaN            NaN            NaN  0.722346       0.409131                 NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00                 NaN   98.8807                 NaN            NaN            NaN  0.633350E-005  0.404324       0.714986                 NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00                 NaN   98.8332                 NaN            NaN            NaN  0.147883E-001  0.787942       0.364039                 NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00                 NaN   98.8462                 NaN            NaN            NaN  0.146444E-001  0.359616       0.779503                 NaN            NaN            NaN            NaN            NaN
