|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1612.18        2500.00        99.8981       0.101895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.65        2500.00        99.0599       0.849413       0.906997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.11        2500.00        99.0646       0.827673       0.107717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.0729       0.820786       0.106286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.04        2500.00        99.0847       0.809669       0.105612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.0932       0.802901       0.103939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.97        2500.00        99.1013       0.795433       0.103298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        99.1093       0.789726       0.100945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.91        2500.00        99.0935       0.803644       0.102867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00        99.1530       0.751745       0.952438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.84        2500.00        99.1350       0.767284       0.977089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00        99.1413       0.763136       0.955692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.77        2500.00        99.1241       0.778132       0.977945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.1839       0.725378       0.907291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.1630       0.744419       0.925687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.17        2500.00        99.1786       0.729695       0.916914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.63        2500.00        99.1807       0.728960       0.902926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        2500.00        99.1864       0.725629       0.879756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.56        2500.00        99.1946       0.719159       0.862628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.03        2500.00        99.2041       0.710090       0.858210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.49        2500.00        99.2073       0.708296       0.843866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.3965       0.538825       0.647079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.43        2500.00        99.0427       0.855129       0.102127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00        99.2299       0.689050       0.810982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.36        2500.00        99.2178       0.701037       0.811506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.2584       0.664075       0.775461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.29        2500.00        99.2480       0.673264       0.787846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.2541       0.670182       0.757025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.22        2500.00        99.2619       0.662644       0.754252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00        99.2641       0.661942       0.739298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.15        2500.00        99.2380       0.701436       0.606028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.62        2500.00        99.3111       0.605713       0.831549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.08        2500.00        99.2843       0.644412       0.712726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00        99.2899       0.640430       0.696389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.01        2500.00        99.2946       0.636717       0.686841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.2984       0.634114       0.675294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
