|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1612.18        2500.00        99.9091       0.909153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.65        2500.00        99.1624       0.758448       0.792001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.11        2500.00        99.1671       0.738873       0.940289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.1745       0.732757       0.927717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.04        2500.00        99.1854       0.722437       0.921150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.1931       0.716308       0.906388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.97        2500.00        99.2006       0.709395       0.900375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        99.2078       0.704252       0.879598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.91        2500.00        99.1936       0.716751       0.896525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00        99.2470       0.670049       0.829300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.84        2500.00        99.2312       0.683710       0.850534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00        99.2369       0.679907       0.831577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.77        2500.00        99.2218       0.693150       0.850734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.2751       0.645980       0.788816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.2568       0.662707       0.804551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.17        2500.00        99.2709       0.649431       0.796643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.63        2500.00        99.2729       0.648696       0.784129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        2500.00        99.2780       0.645584       0.763699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.56        2500.00        99.2854       0.639719       0.748703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.03        2500.00        99.2940       0.631504       0.744617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.49        2500.00        99.2971       0.629761       0.731840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.4650       0.478929       0.560979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.43        2500.00        99.1514       0.760050       0.885152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00        99.3175       0.612200       0.702526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.36        2500.00        99.3068       0.622860       0.702926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.3432       0.589724       0.671255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.29        2500.00        99.3341       0.597699       0.681751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.3396       0.594948       0.654776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.22        2500.00        99.3467       0.588087       0.652357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00        99.3488       0.587305       0.639128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.15        2500.00        99.3253       0.622333       0.523684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.62        2500.00        99.3910       0.537174       0.718149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.08        2500.00        99.3671       0.571370       0.615368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00        99.3722       0.567730       0.600996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.01        2500.00        99.3764       0.564332       0.592640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.3799       0.561850       0.582346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.95        2500.00        99.3867       0.556271       0.570770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00        99.3905       0.553689       0.557891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.3931       0.552265       0.546680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00        99.3999       0.546461       0.536563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.81        2500.00        99.3972       0.546802       0.560007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.27        2500.00        99.4158       0.532921       0.512646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.74        2500.00        99.4133       0.535728       0.509233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.21        2500.00        99.4148       0.535894       0.492576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.67        2500.00        99.4213       0.529961       0.487783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00        99.7558       0.222970       0.212602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.60        2500.00        99.0904       0.838391       0.712103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00        99.4367       0.517239       0.460684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.53        2500.00        99.3961       0.553877       0.500684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.4821       0.476646       0.412300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.47        2500.00        99.4422       0.514267       0.435472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        2500.00        99.2348       0.706914       0.583165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.40        2500.00        99.6640       0.311195       0.247772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.86        2500.00        99.4536       0.505988       0.403965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.33        2500.00        99.4560       0.505238       0.387680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.4596       0.502781       0.376145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.26        2500.00        99.4633       0.499672       0.370113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        2500.00        99.6977       0.274911       0.273517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.19        2500.00        99.2366       0.719601       0.438246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.66        2500.00        99.4736       0.477962       0.484254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.12        2500.00        99.4747       0.505669       0.195855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        2500.00        99.4791       0.487793       0.330731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.05        2500.00        99.4796       0.477765       0.426607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        2500.00        99.4832       0.498981       0.178227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.99        2500.00        99.3961       0.567626       0.362380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.45        2500.00        99.5824       0.393576       0.240513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.92        2500.00        99.4393       0.544590       0.160857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.38        2500.00        98.8160        1.11715       0.656640E-001  0.121805E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.85        2500.00       100.0000                 NaN  0.158104E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.31        2500.00        99.7127       0.271912       0.153938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.78        2500.00        99.9635                 NaN  0.771123E-003  0.357374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.25        2500.00        98.5549       0.763110       0.845714E-001  0.597468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.71        2500.00        98.8728       0.101687       0.569638E-001  0.760489       0.208085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        2500.00        98.8613       0.513523E-001  0.416620E-001  0.313237       0.732400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.64        2500.00        98.8727       0.821468E-001  0.378083E-001  0.725360       0.282013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.11        2500.00        98.8841                 NaN  0.411005E-001  0.362345       0.712419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.57        2500.00        98.8933                 NaN  0.386668E-001  0.705075       0.363001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.04        2500.00        99.2517                 NaN  0.256262E-001  0.244558       0.478087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.51        2500.00        98.5568                 NaN  0.479401E-001  0.476048       0.919197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.97        2500.00        98.9279       0.425764E-002  0.335930E-001  0.352185       0.682094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.44        2500.00        98.9327                 NaN  0.331711E-001  0.354675       0.679429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.90        2500.00        98.9412                 NaN  0.318465E-001  0.673922       0.353035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.37        2500.00        98.9506                 NaN  0.305408E-001  0.668357       0.350548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.83        2500.00        98.9593                 NaN  0.293108E-001  0.662874       0.348467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.30        2500.00        98.9676                 NaN  0.281449E-001  0.657680       0.346606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.77        2500.00        98.9770                 NaN  0.328662E-001  0.653987       0.336196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.23        2500.00        98.9814                 NaN  0.196430E-001  0.352324       0.646583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.9931                 NaN  0.247177E-001  0.641151       0.341079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        2500.00        99.0007                 NaN  0.233209E-001  0.339461       0.636560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.0082                 NaN  0.224027E-001  0.632293       0.337083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.09        2500.00        99.0155                 NaN  0.209085E-001  0.627526       0.336075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.56        2500.00        99.0233                 NaN  0.213248E-001  0.623712       0.331666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.03        2500.00        99.0294                 NaN  0.177247E-001  0.333952       0.618886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.1659                 NaN  0.158960E-001  0.532651       0.285539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00        98.9127                 NaN  0.189485E-001  0.693761       0.374622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.0497                 NaN  0.161450E-001  0.607186       0.326957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.89        2500.00        99.0577                 NaN  0.146119E-001  0.325712       0.602014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.0621                 NaN  0.139601E-001  0.599401       0.324516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.82        2500.00        99.0690                 NaN  0.128230E-001  0.595966       0.322161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.29        2500.00        99.0652                 NaN  0.121430E-001  0.322597       0.600028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.75        2500.00        99.0873                 NaN  0.108409E-001  0.585263       0.316637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.22        2500.00        99.2759                 NaN  0.109760E-001  0.246478       0.466624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.68        2500.00        97.2293                 NaN  0.237681       0.926255       0.773367                 NaN            NaN  0.833379                 NaN            NaN            NaN            NaN
  1454.15        2500.00        97.2440                 NaN  0.267522       0.735959       0.816904                 NaN            NaN  0.935576                 NaN            NaN            NaN            NaN
  1452.61        2500.00        97.3042                 NaN  0.266049       0.711563       0.802024                 NaN            NaN  0.916130                 NaN            NaN            NaN            NaN
  1451.08        2500.00        97.3659                 NaN  0.263735       0.786135       0.688057                 NaN            NaN  0.896180                 NaN            NaN            NaN            NaN
  1449.55        2500.00        97.4256                 NaN  0.261997       0.769802       0.666004                 NaN            NaN  0.876642                 NaN            NaN            NaN            NaN
  1448.01        2500.00        97.4770                 NaN  0.261194       0.757375       0.644211                 NaN            NaN  0.860220                 NaN            NaN            NaN            NaN
