|6.6.6
Archiving\03_Data\DeqLP/QFM/WD94/WD94_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1141.03        500.000                 NaN   1.09545        56.6088        27.5439        4.22532        7.18815        3.06734       0.271020                 NaN
  1137.82        500.000                 NaN   1.09545        56.6088        27.5439        4.22532        7.18815        3.06734       0.271020                 NaN
  1134.62        500.000                 NaN   1.09545        56.6088        27.5439        4.22532        7.18815        3.06734       0.271020                 NaN
  1131.41        500.000                 NaN   1.09545        56.6088        27.5439        4.22532        7.18815        3.06734       0.271020                 NaN
  1128.21        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1125.00        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1121.79        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1118.59        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1115.38        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1112.18        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1108.97        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1105.77        500.000                 NaN   1.13405        56.6569        27.4821        7.17790        4.12422        3.14939       0.275405                 NaN
  1102.56        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1099.36        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1096.15        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1092.95        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1089.74        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1086.54        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1083.33        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1080.13        500.000                 NaN   1.17368        56.6970        27.4337        7.17016        4.02188        3.22662       0.276945                 NaN
  1076.92        500.000                 NaN   1.21510        56.7316        27.3981        3.91951        7.15891        3.29711       0.279614                 NaN
  1073.72        500.000                 NaN   1.21510        56.7316        27.3981        3.91951        7.15891        3.29711       0.279614                 NaN
  1070.51        500.000                 NaN   1.22561        56.7396        27.3921        7.15545        3.89293        3.31400       0.280292                 NaN
  1067.31        500.000                 NaN   1.23098        56.7426        27.3885        7.15516        3.88041        3.32243       0.279879                 NaN
  1064.10        500.000                 NaN   1.23636        56.7458        27.3856        3.86799        7.15398        3.33077       0.167553       0.111928     
  1060.90        500.000                 NaN   1.24176        56.7488        27.3828        7.15356        3.85509        3.33892                 NaN  0.279111     
  1057.69        500.000                 NaN   1.24725        56.7525        27.3799        7.15174        3.84188        3.34664                 NaN  0.280107     
  1054.49        500.000                 NaN   1.24725        56.7525        27.3799        7.15174        3.84188        3.34664                 NaN  0.280107     
  1051.28        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1048.08        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1044.87        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1041.67        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1038.46        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1035.26        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1032.05        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1028.85        500.000                 NaN   1.25823        56.7595        27.3750        7.14883        3.81463        3.36186                 NaN  0.281937     
  1025.64        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1022.44        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1019.23        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1016.03        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1012.82        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1009.62        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1006.41        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1003.21        500.000                 NaN   1.30336        56.7845        27.3630        7.13638        3.70410        3.41776                 NaN  0.290906     
  1000.00        500.000                 NaN   1.35103        56.8034        27.3608        7.12403        3.59257        3.46692                 NaN  0.301268     
