|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000        94.2404        3.83774        1.92182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.9463       0.190807E-001  0.346039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        98.7912       0.800176       0.408596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3725       0.414860       0.212683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3767       0.411897       0.211450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3797       0.409375       0.210943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3830       0.407569       0.209459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.3248       0.411965       0.236285                 NaN            NaN  0.317262E-003  0.266570E-001            NaN            NaN            NaN            NaN
  1417.73        500.000        98.2499       0.547567       0.716234                 NaN            NaN            NaN  0.486315                 NaN            NaN            NaN            NaN
  1416.66        500.000        98.3928       0.657085       0.503508                 NaN            NaN            NaN  0.446508       0.137097E-003            NaN            NaN            NaN
  1415.60        500.000        98.3527       0.673287       0.516527                 NaN            NaN            NaN  0.457450                 NaN            NaN            NaN            NaN
  1414.53        500.000        98.3769       0.663344       0.509217                 NaN            NaN            NaN  0.450548                 NaN            NaN            NaN            NaN
  1413.46        500.000        98.3484       0.517740       0.675536                 NaN            NaN            NaN  0.458281                 NaN            NaN            NaN            NaN
  1412.39        500.000        98.4678       0.612732       0.483875                 NaN            NaN            NaN  0.426409       0.917261E-002            NaN            NaN            NaN
  1411.32        500.000        98.4405       0.537653       0.444490                 NaN            NaN            NaN  0.451184       0.126207                 NaN            NaN            NaN
  1410.25        500.000        98.4595       0.535474       0.421309                 NaN            NaN            NaN  0.447612       0.136136                 NaN            NaN            NaN
  1409.19        500.000        98.4833       0.411637       0.529077                 NaN            NaN            NaN  0.440485       0.135544                 NaN            NaN            NaN
  1408.12        500.000        98.5009       0.399857       0.525947                 NaN            NaN            NaN  0.435727       0.137608                 NaN            NaN            NaN
  1407.05        500.000        98.5212       0.520388       0.389806                 NaN            NaN            NaN  0.430079       0.138533                 NaN            NaN            NaN
  1405.98        500.000        98.5384       0.516106       0.380621                 NaN            NaN            NaN  0.425375       0.139526                 NaN            NaN            NaN
  1404.91        500.000        98.5584       0.511104       0.369747                 NaN            NaN            NaN  0.419888       0.140847                 NaN            NaN            NaN
  1403.84        500.000        98.5733       0.508270       0.360286                 NaN            NaN            NaN  0.415974       0.142218                 NaN            NaN            NaN
  1402.78        500.000        98.5939       0.351922       0.502153                 NaN            NaN            NaN  0.410092       0.141926                 NaN            NaN            NaN
  1401.71        500.000        98.6087       0.341655       0.498749                 NaN            NaN            NaN  0.406169       0.144690                 NaN            NaN            NaN
  1400.64        500.000        98.6305       0.492883       0.332681                 NaN            NaN            NaN  0.399854       0.144047                 NaN            NaN            NaN
  1399.57        500.000        98.6439       0.323510       0.490695                 NaN            NaN            NaN  0.396152       0.145693                 NaN            NaN            NaN
  1398.50        500.000        98.6600       0.487056       0.314372                 NaN            NaN            NaN  0.391707       0.146859                 NaN            NaN            NaN
  1397.43        500.000        98.6747       0.308856       0.483016                 NaN            NaN            NaN  0.387426       0.146025                 NaN            NaN            NaN
  1396.37        500.000        98.6916       0.480567       0.293916                 NaN            NaN            NaN  0.383221       0.150739                 NaN            NaN            NaN
  1395.30        500.000        98.7064       0.476954       0.287132                 NaN            NaN            NaN  0.379034       0.150527                 NaN            NaN            NaN
  1394.23        500.000        98.7188       0.282167       0.473695                 NaN            NaN            NaN  0.375344       0.150044                 NaN            NaN            NaN
