|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000        95.0642        3.30426        1.63155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.9544       0.160767E-001  0.295380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        98.9723       0.683609       0.344075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.4672       0.353966       0.178841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.4710       0.351296       0.177715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.4738       0.348988       0.177189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.4768       0.347347       0.175871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.4230       0.350883       0.198262                 NaN            NaN  0.203978E-003  0.276990E-001            NaN            NaN            NaN            NaN
  1417.73        500.000        98.4269       0.466480       0.600965                 NaN            NaN            NaN  0.505616                 NaN            NaN            NaN            NaN
  1416.66        500.000        98.5564       0.550837       0.428592                 NaN            NaN            NaN  0.464062       0.107175E-003            NaN            NaN            NaN
  1415.60        500.000        98.5213       0.563959       0.439383                 NaN            NaN            NaN  0.475346                 NaN            NaN            NaN            NaN
  1414.53        500.000        98.5439       0.555181       0.432864                 NaN            NaN            NaN  0.468053                 NaN            NaN            NaN            NaN
  1413.46        500.000        98.5193       0.439819       0.564939                 NaN            NaN            NaN  0.475984                 NaN            NaN            NaN            NaN
  1412.39        500.000        98.6276       0.511898       0.410697                 NaN            NaN            NaN  0.442718       0.712941E-002            NaN            NaN            NaN
  1411.32        500.000        98.6068       0.455995       0.371012                 NaN            NaN            NaN  0.468292       0.979415E-001            NaN            NaN            NaN
  1410.25        500.000        98.6250       0.453779       0.351331                 NaN            NaN            NaN  0.464394       0.105504                 NaN            NaN            NaN
  1409.19        500.000        98.6474       0.342967       0.448023                 NaN            NaN            NaN  0.456807       0.104821                 NaN            NaN            NaN
  1408.12        500.000        98.6643       0.332764       0.444960                 NaN            NaN            NaN  0.451682       0.106260                 NaN            NaN            NaN
  1407.05        500.000        98.6836       0.439857       0.324103                 NaN            NaN            NaN  0.445633       0.106817                 NaN            NaN            NaN
  1405.98        500.000        98.7001       0.435827       0.316153                 NaN            NaN            NaN  0.440565       0.107347                 NaN            NaN            NaN
  1404.91        500.000        98.7190       0.431279       0.306837                 NaN            NaN            NaN  0.434685       0.108213                 NaN            NaN            NaN
  1403.84        500.000        98.7334       0.428463       0.298660                 NaN            NaN            NaN  0.430438       0.109061                 NaN            NaN            NaN
  1402.78        500.000        98.7527       0.291468       0.422969                 NaN            NaN            NaN  0.424153       0.108673                 NaN            NaN            NaN
  1401.71        500.000        98.7671       0.282637       0.419736                 NaN            NaN            NaN  0.419899       0.110607                 NaN            NaN            NaN
  1400.64        500.000        98.7875       0.414420       0.274976                 NaN            NaN            NaN  0.413171       0.109937                 NaN            NaN            NaN
  1399.57        500.000        98.8006       0.267105       0.412180                 NaN            NaN            NaN  0.409149       0.110992                 NaN            NaN            NaN
  1398.50        500.000        98.8159       0.408758       0.259301                 NaN            NaN            NaN  0.404359       0.111684                 NaN            NaN            NaN
  1397.43        500.000        98.8299       0.254483       0.405009                 NaN            NaN            NaN  0.399741       0.110856                 NaN            NaN            NaN
  1396.37        500.000        98.8460       0.402573       0.241936                 NaN            NaN            NaN  0.395202       0.114255                 NaN            NaN            NaN
  1395.30        500.000        98.8601       0.399178       0.236117                 NaN            NaN            NaN  0.390683       0.113903                 NaN            NaN            NaN
  1394.23        500.000        98.8722       0.231772       0.396045                 NaN            NaN            NaN  0.386680       0.113323                 NaN            NaN            NaN
  1393.16        500.000        98.8900       0.399975       0.196172                 NaN            NaN            NaN  0.384182       0.129685                 NaN            NaN            NaN
  1392.09        500.000        98.9002       0.243985       0.381627                 NaN            NaN            NaN  0.374630       0.995574E-001            NaN            NaN            NaN
  1391.02        500.000        98.9146       0.386583       0.210178                 NaN            NaN            NaN  0.373230       0.115380                 NaN            NaN            NaN
  1389.96        500.000        98.9285       0.203929       0.382987                 NaN            NaN            NaN  0.368871       0.115730                 NaN            NaN            NaN
  1388.89        500.000        98.9374       0.196883       0.382091                 NaN            NaN            NaN  0.366420       0.117166                 NaN            NaN            NaN
  1387.82        500.000        98.9565       0.376622       0.191455                 NaN            NaN            NaN  0.359703       0.115745                 NaN            NaN            NaN
  1386.75        500.000        98.9653       0.184892       0.375477                 NaN            NaN            NaN  0.357234       0.117110                 NaN            NaN            NaN
  1385.68        500.000        98.9779       0.178551       0.373159                 NaN            NaN            NaN  0.353064       0.117297                 NaN            NaN            NaN
  1384.61        500.000        98.9877       0.172713       0.371079                 NaN            NaN            NaN  0.350338       0.118211                 NaN            NaN            NaN
  1383.55        500.000        99.0044       0.366619       0.166270                 NaN            NaN            NaN  0.344631       0.118121                 NaN            NaN            NaN
  1382.48        500.000        99.0104       0.367167       0.160302                 NaN            NaN            NaN  0.342982       0.119168                 NaN            NaN            NaN
  1381.41        500.000        99.0268       0.156553       0.361556                 NaN            NaN            NaN  0.337210       0.117899                 NaN            NaN            NaN
  1380.34        500.000        99.0349       0.150202       0.361146                 NaN            NaN            NaN  0.334831       0.118963                 NaN            NaN            NaN
  1379.27        500.000        99.0470       0.357619       0.144968                 NaN            NaN            NaN  0.331025       0.119413                 NaN            NaN            NaN
  1378.20        500.000        99.0578       0.356065       0.138758                 NaN            NaN            NaN  0.327566       0.119826                 NaN            NaN            NaN
  1377.13        500.000        99.0678       0.133764       0.354352                 NaN            NaN            NaN  0.324317       0.119811                 NaN            NaN            NaN
  1376.07        500.000        99.0779       0.129182       0.352087                 NaN            NaN            NaN  0.320919       0.119919                 NaN            NaN            NaN
  1375.00        500.000        99.0109       0.383449       0.130777                 NaN            NaN            NaN  0.344582       0.130282                 NaN            NaN            NaN
  1373.93        500.000        99.1739       0.318319       0.109258                 NaN            NaN            NaN  0.287855       0.110624                 NaN            NaN            NaN
  1372.86        500.000        99.1077       0.115008       0.345875                 NaN            NaN            NaN  0.311173       0.120234                 NaN            NaN            NaN
  1371.79        500.000        99.1188       0.109975       0.343217                 NaN            NaN            NaN  0.307619       0.120397                 NaN            NaN            NaN
  1370.72        500.000        98.9097       0.132645       0.425307                 NaN            NaN            NaN  0.381273       0.151049                 NaN            NaN            NaN
  1369.66        500.000        99.3496       0.756618E-001  0.257092                 NaN            NaN            NaN  0.226868       0.907857E-001            NaN            NaN            NaN
  1368.59        500.000        99.1496       0.335778       0.981355E-001            NaN            NaN            NaN  0.297053       0.119445                 NaN            NaN            NaN
  1367.52        500.000        99.1551       0.336069       0.925397E-001            NaN            NaN            NaN  0.295650       0.120668                 NaN            NaN            NaN
  1366.45        500.000        99.1646       0.334311       0.878197E-001            NaN            NaN            NaN  0.292540       0.120708                 NaN            NaN            NaN
  1365.38        500.000        99.1729       0.333083       0.832766E-001            NaN            NaN            NaN  0.289843       0.120850                 NaN            NaN            NaN
  1364.31        500.000        99.1814       0.331529       0.797378E-001            NaN            NaN            NaN  0.286873       0.120452                 NaN            NaN            NaN
  1363.25        500.000        99.1901       0.328906       0.765528E-001            NaN            NaN            NaN  0.284092       0.120354                 NaN            NaN            NaN
  1362.18        500.000        99.1993       0.725677E-001  0.327324                 NaN            NaN            NaN  0.280794       0.120045                 NaN            NaN            NaN
  1361.11        500.000        99.2071       0.325534       0.689914E-001            NaN            NaN            NaN  0.278275       0.120112                 NaN            NaN            NaN
  1360.04        500.000        99.2112       0.326795       0.632646E-001            NaN            NaN            NaN  0.277548       0.121218                 NaN            NaN            NaN
  1358.97        500.000        99.2231       0.322526       0.633924E-001            NaN            NaN            NaN  0.272415       0.118597                 NaN            NaN            NaN
  1357.90        500.000        99.2336       0.602223E-001  0.318987                 NaN            NaN            NaN  0.268875       0.118326                 NaN            NaN            NaN
  1356.84        500.000        99.2386       0.550938E-001  0.319704                 NaN            NaN            NaN  0.267518       0.119058                 NaN            NaN            NaN
  1355.77        500.000        98.9505       0.400215       0.192492                 NaN            NaN            NaN  0.354777       0.102029                 NaN            NaN            NaN
  1354.70        500.000        99.5348       0.195956                 NaN            NaN            NaN            NaN  0.170105       0.991732E-001            NaN            NaN            NaN
  1353.63        500.000        99.2703       0.331880                 NaN            NaN            NaN            NaN  0.260628       0.137199                 NaN            NaN            NaN
  1352.56        500.000        99.2770       0.333153                 NaN            NaN            NaN            NaN  0.257246       0.132559                 NaN            NaN            NaN
  1351.49        500.000        99.2763       0.292343E-001  0.317229                 NaN            NaN            NaN  0.255453       0.121759                 NaN            NaN            NaN
  1350.43        500.000        99.2844       0.309695       0.382697E-001            NaN            NaN            NaN  0.251429       0.116197                 NaN            NaN            NaN
  1349.36        500.000        99.2893       0.309066       0.357439E-001            NaN            NaN            NaN  0.249850       0.116031                 NaN            NaN            NaN
  1348.29        500.000        99.2813       0.379792E-001  0.313974                 NaN            NaN            NaN  0.252750       0.113956                 NaN            NaN            NaN
  1347.22        500.000        99.3146       0.250297E-001  0.302192                 NaN            NaN            NaN  0.241313       0.116834                 NaN            NaN            NaN
  1346.15        500.000        99.3163       0.253706E-001  0.303083                 NaN            NaN            NaN  0.240386       0.114866                 NaN            NaN            NaN
  1345.08        500.000        99.3171       0.302776       0.267161E-001            NaN            NaN            NaN  0.239916       0.113466                 NaN            NaN            NaN
  1344.02        500.000        99.3216       0.300461       0.258955E-001            NaN            NaN            NaN  0.238641       0.113367                 NaN            NaN            NaN
  1342.95        500.000        99.3322       0.299768       0.211557E-001            NaN            NaN            NaN  0.234465       0.112459                 NaN            NaN            NaN
  1341.88        500.000        99.3358       0.299291       0.197331E-001            NaN            NaN            NaN  0.233305       0.111852                 NaN            NaN            NaN
  1340.81        500.000        99.3421       0.185775E-001  0.297424                 NaN            NaN            NaN  0.230937       0.110924                 NaN            NaN            NaN
  1339.74        500.000        99.3474       0.186951E-001  0.295529                 NaN            NaN            NaN  0.228888       0.109537                 NaN            NaN            NaN
  1338.67        500.000        99.3544       0.147189E-001  0.294824                 NaN            NaN            NaN  0.226507       0.109579                 NaN            NaN            NaN
  1337.61        500.000        99.3600       0.294064       0.130133E-001            NaN            NaN            NaN  0.224423       0.108498                 NaN            NaN            NaN
  1336.54        500.000        99.3659       0.122626E-001  0.292018                 NaN            NaN            NaN  0.222181       0.107598                 NaN            NaN            NaN
  1335.47        500.000        99.3714       0.290277       0.110462E-001            NaN            NaN            NaN  0.220277       0.106968                 NaN            NaN            NaN
  1334.40        500.000        99.3773       0.291881       0.491965E-002            NaN            NaN            NaN  0.218422       0.107522                 NaN            NaN            NaN
  1333.33        500.000        99.3837       0.120058E-001  0.285587                 NaN            NaN            NaN  0.215186       0.103491                 NaN            NaN            NaN
  1332.26        500.000        99.3325       0.312824       0.485399E-002            NaN            NaN            NaN  0.234165       0.115694                 NaN            NaN            NaN
  1331.19        500.000        99.4504       0.106627E-001  0.256249                 NaN            NaN            NaN  0.191290       0.914476E-001            NaN            NaN            NaN
  1330.13        500.000        99.3986       0.284126       0.560512E-002            NaN            NaN            NaN  0.209866       0.101762                 NaN            NaN            NaN
  1329.06        500.000        99.4047       0.283302       0.230622E-002            NaN            NaN            NaN  0.207909       0.101733                 NaN            NaN            NaN
  1327.99        500.000        99.4085       0.281419       0.490588E-002            NaN            NaN            NaN  0.205991       0.991752E-001            NaN            NaN            NaN
  1326.92        500.000        99.4153       0.338553E-002  0.279617                 NaN            NaN            NaN  0.203453       0.982919E-001            NaN            NaN            NaN
  1325.85        500.000        99.4194       0.278498       0.272092E-002            NaN            NaN            NaN  0.201976       0.973916E-001            NaN            NaN            NaN
  1324.78        500.000        99.4236       0.277046       0.309709E-002            NaN            NaN            NaN  0.200248       0.960082E-001            NaN            NaN            NaN
  1323.72        500.000        99.2689       0.634235E-001  0.312988                 NaN            NaN            NaN  0.251553       0.103175                 NaN            NaN            NaN
  1322.65        500.000        99.5885       0.201319                 NaN            NaN            NaN            NaN  0.141978       0.681699E-001            NaN            NaN            NaN
  1321.58        500.000        99.4380       0.274341                 NaN            NaN            NaN            NaN  0.194692       0.929689E-001            NaN            NaN            NaN
  1320.51        500.000        99.4394       0.222689E-001  0.260362                 NaN            NaN            NaN  0.192955       0.850247E-001            NaN            NaN            NaN
  1319.44        500.000        99.4492       0.270050                 NaN            NaN            NaN            NaN  0.190316       0.904535E-001            NaN            NaN            NaN
  1318.37        500.000        99.4521       0.269351                 NaN            NaN            NaN            NaN  0.189127       0.893883E-001            NaN            NaN            NaN
  1317.31        500.000        99.4532       0.255741       0.226941E-001            NaN            NaN            NaN  0.187403       0.809958E-001            NaN            NaN            NaN
  1316.24        500.000        99.4608       0.267542                 NaN            NaN            NaN            NaN  0.185586       0.861037E-001            NaN            NaN            NaN
  1315.17        500.000        99.4652       0.266376                 NaN            NaN            NaN            NaN  0.183836       0.846349E-001            NaN            NaN            NaN
  1314.10        500.000        99.4679       0.265464       0.426436E-003            NaN            NaN            NaN  0.182756       0.834668E-001            NaN            NaN            NaN
  1313.03        500.000        99.4741       0.263708                 NaN            NaN            NaN            NaN  0.180187       0.820133E-001            NaN            NaN            NaN
  1311.96        500.000        99.4735       0.249214       0.240695E-001            NaN            NaN            NaN  0.179150       0.740685E-001            NaN            NaN            NaN
  1310.90        500.000        99.4765       0.256669                 NaN            NaN            NaN            NaN  0.180406       0.864694E-001            NaN            NaN            NaN
  1309.83        500.000        99.4898       0.266495                 NaN            NaN            NaN            NaN  0.172687       0.709884E-001            NaN            NaN            NaN
  1308.76        500.000        99.4888       0.260483                 NaN            NaN            NaN            NaN  0.174248       0.764615E-001            NaN            NaN            NaN
  1307.69        500.000        99.4932       0.258003                 NaN            NaN            NaN            NaN  0.172617       0.761400E-001            NaN            NaN            NaN
  1306.62        500.000        99.4966       0.257785                 NaN            NaN            NaN            NaN  0.171185       0.744235E-001            NaN            NaN            NaN
  1305.55        500.000        99.5019       0.253788                 NaN            NaN            NaN            NaN  0.169439       0.748692E-001            NaN            NaN            NaN
  1304.49        500.000        99.5048       0.254810                 NaN            NaN            NaN            NaN  0.167989       0.724471E-001            NaN            NaN            NaN
  1303.42        500.000        99.5077       0.254983                 NaN            NaN            NaN            NaN  0.166683       0.706804E-001            NaN            NaN            NaN
  1302.35        500.000        99.5106       0.256055                 NaN            NaN            NaN            NaN  0.165345       0.680212E-001            NaN            NaN            NaN
  1301.28        500.000        99.5150       0.256305                 NaN            NaN            NaN            NaN  0.163300       0.654439E-001            NaN            NaN            NaN
  1300.21        500.000        99.5170       0.252930                 NaN            NaN            NaN            NaN  0.162923       0.671514E-001            NaN            NaN            NaN
  1299.14        500.000        99.5195       0.980733E-002  0.248368                 NaN            NaN            NaN  0.161198       0.611135E-001            NaN            NaN            NaN
  1298.08        500.000        99.5220       0.136373E-001  0.246126                 NaN            NaN            NaN  0.159800       0.583891E-001            NaN            NaN            NaN
  1297.01        500.000        99.5249       0.244530       0.152489E-001            NaN            NaN            NaN  0.158616       0.567012E-001            NaN            NaN            NaN
  1295.94        500.000        99.5274       0.156370E-001  0.244677                 NaN            NaN            NaN  0.157423       0.548347E-001            NaN            NaN            NaN
  1294.87        500.000        99.5308       0.242926       0.171771E-001            NaN            NaN            NaN  0.156044       0.530845E-001            NaN            NaN            NaN
  1293.80        500.000        99.5333       0.175214E-001  0.242963                 NaN            NaN            NaN  0.154922       0.513196E-001            NaN            NaN            NaN
  1292.73        500.000        99.5358       0.221787E-001  0.239230                 NaN            NaN            NaN  0.153769       0.490618E-001            NaN            NaN            NaN
  1291.67        500.000        99.5384       0.241840       0.197188E-001            NaN            NaN            NaN  0.152599       0.474010E-001            NaN            NaN            NaN
  1290.60        500.000        99.5400       0.148187E-001  0.246515                 NaN            NaN            NaN  0.152102       0.466124E-001            NaN            NaN            NaN
  1289.53        500.000        99.5439       0.151794E-001  0.247916                 NaN            NaN            NaN  0.149910       0.430700E-001            NaN            NaN            NaN
  1288.46        500.000        99.5458       0.252090       0.103242E-001            NaN            NaN            NaN  0.149375       0.423691E-001            NaN            NaN            NaN
  1287.39        500.000        99.5407       0.109573       0.172882                 NaN            NaN            NaN  0.149339       0.274959E-001            NaN            NaN            NaN
  1286.32        500.000        99.5367       0.136788       0.157367                 NaN            NaN            NaN  0.149796       0.193969E-001            NaN            NaN            NaN
  1285.26        500.000        99.5590       0.256299                 NaN            NaN            NaN            NaN  0.144274       0.404283E-001            NaN            NaN            NaN
  1284.19        500.000        99.5509       0.716423E-001  0.205222                 NaN            NaN            NaN  0.145876       0.263186E-001            NaN            NaN            NaN
  1283.12        500.000        99.5624       0.252465                 NaN            NaN            NaN            NaN  0.143519       0.416621E-001            NaN            NaN            NaN
