|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1564.10        500.000       0.105470E-001   99.9895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.676286E-004   99.3023       0.697674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000       0.477244E-003   99.2362       0.763274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.2392       0.760782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.2444       0.755568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.2485       0.751498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.2526       0.747428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000       0.167882E-004   99.2588       0.741154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.2624       0.737619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.2657       0.734268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.2662       0.733783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.2766       0.723443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.2391       0.760943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.3185       0.681528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.2855       0.714453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.2837       0.716297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.2938       0.706196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.2935       0.706515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.2973       0.702730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.1751       0.180492       0.644454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   98.9847                 NaN   1.01531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000                 NaN   99.1811       0.389229E-001  0.779954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.686389E-003   99.0472                 NaN  0.952109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.672662E-002   98.9975                 NaN  0.995779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.674341E-002   98.9363                 NaN  0.191704E-001   1.03779                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.676758E-002   98.4179                 NaN  0.529771        1.04560                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.664530E-002   98.4060                 NaN  0.483413        1.10392                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.650738E-002   98.4285                 NaN  0.475470        1.08947                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.633796E-002   98.4609                 NaN   1.06786       0.464914                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000       0.621045E-002   98.4823                 NaN   1.05368       0.457859                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.607056E-002   98.5046                 NaN  0.449130        1.04017                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.412024E-002   98.5267       0.127660       0.272258        1.06925                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.740536E-003   98.5331       0.356702        1.10942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.575659E-003   98.5560       0.352204        1.09121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.469792E-003   98.5796       0.345654        1.07429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.327124E-003   98.6048       0.340020        1.05488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.195536E-003   98.6267       0.335198        1.03791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.832590E-004   98.6477       0.329360        1.02288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.267858E-003   98.6699       0.320467        1.00936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.348837E-003   98.6933       0.314685       0.991645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   98.7114       0.309928       0.978649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.109157E-003   98.7319       0.305245       0.962704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.7513       0.296200       0.952537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.7702       0.289870       0.939912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000       0.328923E-003   98.6602       0.316709        1.02274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.9369       0.246604       0.816469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.8260       0.273447       0.900600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.8406       0.264693       0.894708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.8592       0.259772       0.881047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.8735       0.248978       0.877543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.8901       0.246744       0.863202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.9055       0.239422       0.855081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.9199       0.233398       0.846671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.9351       0.226484       0.744539E-003  0.837718                 NaN            NaN            NaN            NaN            NaN            NaN
