|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1564.10        500.000       0.169266E-001   99.9831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.108467E-003   99.2049       0.794984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000       0.765240E-003   99.1295       0.869718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.1328       0.867178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.1387       0.861331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1429       0.857080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1474       0.852590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000       0.269415E-004   99.1543       0.845691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1583       0.841689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1617       0.838253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1620       0.838027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.1738       0.826179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.1308       0.869239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.2211       0.778896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1833       0.816652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1812       0.818836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.1924       0.807563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.1918       0.808218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.1960       0.804014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.0596       0.206532       0.733869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   98.8439                 NaN   1.15609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000                 NaN   99.0667       0.445688E-001  0.888763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.110302E-002   98.9138                 NaN   1.08514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.108093E-001   98.8539                 NaN   1.13531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.108364E-001   98.7839                 NaN  0.217726E-001   1.18345                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.108649E-001   98.1980                 NaN  0.603980        1.18714                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.106675E-001   98.1841                 NaN  0.551424        1.25386                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.104451E-001   98.2089                 NaN  0.542671        1.23794                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.101702E-001   98.2451                 NaN   1.21387       0.530869                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000       0.996422E-002   98.2687                 NaN   1.19822       0.523086                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.973884E-002   98.2935                 NaN  0.513397        1.18338                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.660836E-002   98.3184       0.146753       0.311370        1.21691                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.118760E-002   98.3253       0.410307        1.26321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.923117E-003   98.3507       0.405382        1.24300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.753192E-003   98.3769       0.398072        1.22425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.524434E-003   98.4050       0.391822        1.20262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.313424E-003   98.4294       0.386502        1.18377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.133439E-003   98.4527       0.379987        1.16714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.429298E-003   98.4773       0.369993        1.15231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.558915E-003   98.5035       0.363513        1.13246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   98.5236       0.358237        1.11818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.174841E-003   98.5464       0.353023        1.10036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.5679       0.342800        1.08928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.5889       0.335679        1.07541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000       0.526481E-003   98.4622       0.366897        1.17041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.7788       0.285977       0.935237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.6510       0.317244        1.03179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6671       0.307267        1.02559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.6879       0.301742        1.01040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.7037       0.289377        1.00696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7221       0.286966       0.990912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7393       0.278633       0.982082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.7553       0.271810       0.972931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.7721       0.263909       0.862835E-003  0.963126                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   98.7675       0.145095       0.901429       0.185961                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   98.7897       0.136576       0.185638       0.888107                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   98.7978       0.122806       0.878378       0.201038                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.51        500.000                 NaN   98.8115       0.112786       0.210380       0.865355                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.10        500.000                 NaN   98.8238       0.102254       0.220906       0.853079                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   98.8349       0.962790E-001  0.843320       0.225464                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.27        500.000       0.213293E-002   98.8503       0.903407E-002  0.808322       0.330167                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.357401E-002   98.8559                 NaN  0.340430       0.800049                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.45        500.000       0.424719E-002   98.8668                 NaN  0.337998       0.791003                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000       0.420136E-002   98.8803                 NaN  0.335089       0.780367                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.62        500.000       0.409540E-002   98.8908                 NaN  0.773139       0.331921                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.20        500.000       0.397032E-002   98.9028                 NaN  0.764507       0.328697                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.79        500.000       0.385825E-002   98.9146                 NaN  0.755290       0.326232                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.38        500.000       0.373712E-002   98.9252                 NaN  0.321886       0.749215                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        500.000       0.363278E-002   98.9366                 NaN  0.740181       0.319623                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.55        500.000       0.352778E-002   98.9468                 NaN  0.732903       0.316783                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.14        500.000       0.343537E-002   98.9553                 NaN  0.726870       0.314430                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.72        500.000       0.331523E-002   98.9691                 NaN  0.716858       0.310735                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.31        500.000       0.323163E-002   98.9766                 NaN  0.712588       0.307542                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.89        500.000       0.311779E-002   98.9891                 NaN  0.305557       0.702235                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.48        500.000       0.302396E-002   98.9973                 NaN  0.696890       0.302791                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        500.000       0.293130E-002   99.0067                 NaN  0.689619       0.300728                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        500.000       0.283644E-002   99.0172                 NaN  0.682250       0.297710                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        500.000       0.273950E-002   99.0251                 NaN  0.678086       0.294066                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.82        500.000       0.264689E-002   99.0357                 NaN  0.668624       0.292998                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.41        500.000       0.256015E-002   99.0438                 NaN  0.290455       0.663192                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.00        500.000       0.344299E-002   98.6620                 NaN  0.931077       0.403438                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.58        500.000       0.140442E-002   99.4488                 NaN  0.168566       0.381261                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.17        500.000       0.230296E-002   99.0695                 NaN  0.283717       0.644529                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.76        500.000       0.223105E-002   99.0771                 NaN  0.281512       0.639200                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.34        500.000       0.214391E-002   99.0854                 NaN  0.633138       0.279305                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.93        500.000       0.206617E-002   99.0933                 NaN  0.276651       0.628028                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.51        500.000       0.198525E-002   99.1010                 NaN  0.621750       0.275235                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.190414E-002   99.1095                 NaN  0.616024       0.272552                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.69        500.000       0.183101E-002   99.1162                 NaN  0.610995       0.270941                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.27        500.000       0.176099E-002   99.1229                 NaN  0.268601       0.606718                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.86        500.000       0.168856E-002   99.1311                 NaN  0.266728       0.600510                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.45        500.000       0.161934E-002   99.1377                 NaN  0.264694       0.595964                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.03        500.000       0.154981E-002   99.1452                 NaN  0.262781       0.590494                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        500.000       0.147944E-002   99.1518                 NaN  0.261423       0.585261                 NaN            NaN            NaN            NaN            NaN            NaN
