|6.6.6
Archiving\03_Data\eqfrac/QFM/LAR/LAR_3.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.991165E-002   89.6011        3.67628        6.35214       0.360578                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.328975E-003   99.5419       0.154959       0.285684       0.171042E-001            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.270812E-003   99.5492       0.291445       0.119025       0.401002E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.612418E-003   99.1061       0.337568       0.548368       0.733630E-002            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.176521E-004   99.9737       0.160856E-001  0.950293E-002  0.694489E-003            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.289809E-003   99.5599       0.273321       0.151829       0.146787E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.291058E-003   99.5484       0.155841       0.280601       0.149058E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00                 NaN   99.9998                 NaN            NaN  0.214688E-003            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.583748E-003   99.0998       0.312703       0.558651       0.283018E-001            NaN            NaN            NaN            NaN
  1404.13        2500.00       0.276045E-003   99.5519       0.277691       0.156467       0.136197E-001            NaN            NaN            NaN            NaN
  1403.10        2500.00       0.253191E-003   99.5475       0.281259       0.156911       0.140314E-001            NaN            NaN            NaN            NaN
  1402.06        2500.00       0.269028E-003   99.5589       0.272752       0.155862       0.122269E-001            NaN            NaN            NaN            NaN
  1401.03        2500.00       0.258618E-003   99.5547       0.274887       0.158013       0.121504E-001            NaN            NaN            NaN            NaN
  1399.99        2500.00       0.255838E-003   99.5583       0.155154       0.273784       0.124708E-001            NaN            NaN            NaN            NaN
  1398.95        2500.00       0.253905E-003   99.5577       0.157001       0.273354       0.117049E-001            NaN            NaN            NaN            NaN
  1397.92        2500.00       0.252033E-003   99.5584       0.157453       0.272575       0.113165E-001            NaN            NaN            NaN            NaN
  1396.88        2500.00       0.251493E-003   99.5580       0.273193       0.157835       0.107499E-001            NaN            NaN            NaN            NaN
  1395.84        2500.00       0.248035E-003   99.5619       0.270072       0.157072       0.106978E-001            NaN            NaN            NaN            NaN
  1394.81        2500.00       0.214437E-003   99.5662       0.274751       0.131977       0.268163E-001            NaN            NaN            NaN            NaN
  1393.77        2500.00       0.265585E-003   99.5602       0.172855       0.266691       0.614718E-005            NaN            NaN            NaN            NaN
  1392.74        2500.00       0.268013E-003   99.5608       0.169541       0.267282       0.206321E-002            NaN            NaN            NaN            NaN
  1391.70        2500.00       0.956953E-004   99.8131       0.115212       0.673376E-001  0.425004E-002            NaN            NaN            NaN            NaN
  1390.66        2500.00       0.410599E-003   99.3148       0.249912       0.421187       0.136639E-001            NaN            NaN            NaN            NaN
  1389.63        2500.00       0.251959E-003   99.5665       0.158791       0.266444       0.803914E-002            NaN            NaN            NaN            NaN
  1388.59        2500.00                 NaN   99.2768       0.275614       0.156839       0.997976E-001  0.190930                 NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.1217       0.153243       0.279266       0.150811       0.294969                 NaN            NaN            NaN
  1386.52        2500.00       0.937491E-003   99.1311       0.152178       0.274365       0.149680       0.291734                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.1363       0.275444       0.147151       0.150823       0.290276                 NaN            NaN            NaN
  1384.45        2500.00                 NaN   99.1443       0.144409       0.273098       0.150538       0.287638                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.1516       0.141360       0.271488       0.150217       0.285291                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.1552       0.138687       0.270936       0.150661       0.284560                 NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.1648       0.268825       0.134270       0.150859       0.281281                 NaN            NaN            NaN
  1380.30        2500.00                 NaN   98.9853       0.328224       0.163112       0.183060       0.340311                 NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.3636       0.100774       0.204942       0.116443       0.214243                 NaN            NaN            NaN
  1378.23        2500.00       0.178767E-003   99.9871                 NaN            NaN  0.762006E-002  0.512750E-002            NaN            NaN            NaN
  1377.19        2500.00                 NaN   98.3923       0.253090       0.522635       0.291430       0.540548                 NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.1984       0.259569       0.122239       0.149783       0.270042                 NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.6568       0.515402E-001  0.110651       0.647659E-001  0.116205                 NaN            NaN            NaN
  1374.08        2500.00                 NaN   98.7550       0.186655       0.404587       0.234875       0.418913                 NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.2178       0.254700       0.112559       0.150871       0.264040                 NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.2245       0.114190       0.252475       0.147637       0.261153                 NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.7278       0.891158E-001  0.384794E-001  0.528172E-001  0.918322E-001            NaN            NaN            NaN
  1369.94        2500.00                 NaN   98.7365       0.179641       0.412931       0.245217       0.425729                 NaN            NaN            NaN
  1368.90        2500.00                 NaN   99.2399       0.106123       0.248756       0.148828       0.256368                 NaN            NaN            NaN
  1367.87        2500.00                 NaN   99.2483       0.247105       0.102855       0.148397       0.253350                 NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.2529       0.245509       0.101021       0.148481       0.252067                 NaN            NaN            NaN
  1365.79        2500.00                 NaN   99.2585       0.244348       0.986264E-001  0.148332       0.250233                 NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.2637       0.970009E-001  0.242842       0.148083       0.248368                 NaN            NaN            NaN
  1363.72        2500.00       0.607771E-002   99.0027       0.325720       0.149922       0.184266       0.331288                 NaN            NaN            NaN
  1362.68        2500.00       0.443444E-002   99.5143       0.159022       0.654358E-001  0.942437E-001  0.162529                 NaN            NaN            NaN
  1361.65        2500.00       0.103306E-001   99.2645       0.235673       0.115856       0.129740       0.243942                 NaN            NaN            NaN
  1360.61        2500.00       0.169287E-001   98.9328       0.409467                 NaN  0.267184       0.373614                 NaN            NaN            NaN
  1359.58        2500.00       0.726979E-002   99.6667       0.128523                 NaN  0.816682E-001  0.115802                 NaN            NaN            NaN
  1358.54        2500.00       0.295233E-001   99.1778       0.381405       0.174707       0.558200E-005  0.236537                 NaN            NaN            NaN
  1357.50        2500.00       0.333146E-001   99.2369       0.168737       0.241320       0.810477E-001  0.238729                 NaN            NaN            NaN
  1356.47        2500.00       0.438495E-001   99.2167       0.185393       0.248991       0.651099E-001  0.239999                 NaN            NaN            NaN
  1355.43        2500.00       0.585121E-001   99.1879       0.259000       0.218353       0.361188E-001  0.240107                 NaN            NaN            NaN
  1354.39        2500.00       0.755697E-001   99.1534       0.271662       0.256608       0.227898E-002  0.240465                 NaN            NaN            NaN
  1353.36        2500.00       0.862483E-001   99.1318       0.251751       0.285053       0.144387E-005  0.245111                 NaN            NaN            NaN
  1352.32        2500.00       0.936899E-001   99.1168       0.230113       0.298610       0.983893E-002  0.250960                 NaN            NaN            NaN
  1351.29        2500.00       0.101630        99.1039       0.236658       0.306180                 NaN  0.251590                 NaN            NaN            NaN
  1350.25        2500.00       0.106281        99.0985       0.312224       0.230186                 NaN  0.252760                 NaN            NaN            NaN
  1349.21        2500.00       0.108170        99.1002       0.225485       0.313705                 NaN  0.252441                 NaN            NaN            NaN
  1348.18        2500.00       0.110438        99.1042       0.315546       0.218920                 NaN  0.250864                 NaN            NaN            NaN
  1347.14        2500.00       0.110529        99.1097       0.215666       0.314435                 NaN  0.249695                 NaN            NaN            NaN
  1346.10        2500.00       0.110323        99.1182       0.211633       0.312338                 NaN  0.247548                 NaN            NaN            NaN
  1345.07        2500.00       0.109665        99.1277       0.309322       0.208139                 NaN  0.245129                 NaN            NaN            NaN
  1344.03        2500.00       0.108891        99.1370       0.306438       0.204774                 NaN  0.242926                 NaN            NaN            NaN
  1343.00        2500.00       0.108081        99.1467       0.201415       0.303435                 NaN  0.240415                 NaN            NaN            NaN
  1341.96        2500.00       0.106650        99.1580       0.298929       0.198758                 NaN  0.237628                 NaN            NaN            NaN
  1340.92        2500.00       0.105576        99.1682       0.295512       0.195578                 NaN  0.235141                 NaN            NaN            NaN
  1339.89        2500.00       0.104240        99.1788       0.193057       0.291439                 NaN  0.232499                 NaN            NaN            NaN
  1338.85        2500.00       0.102909        99.1896       0.287457       0.190318                 NaN  0.229746                 NaN            NaN            NaN
  1337.81        2500.00       0.101698        99.1996       0.187634       0.283868                 NaN  0.227249                 NaN            NaN            NaN
  1336.78        2500.00       0.100207        99.2104       0.279395       0.185381                 NaN  0.224610                 NaN            NaN            NaN
  1335.74        2500.00       0.989031E-001   99.2204       0.275650       0.182939                 NaN  0.222100                 NaN            NaN            NaN
  1334.71        2500.00       0.975655E-001   99.2306       0.271706       0.180596                 NaN  0.219579                 NaN            NaN            NaN
  1333.67        2500.00       0.961735E-001   99.2406       0.178511       0.267647                 NaN  0.217029                 NaN            NaN            NaN
  1332.63        2500.00       0.948644E-001   99.2501       0.264097       0.176228                 NaN  0.214750                 NaN            NaN            NaN
  1331.60        2500.00       0.934920E-001   99.2601       0.260041       0.174207                 NaN  0.212188                 NaN            NaN            NaN
  1330.56        2500.00       0.922006E-001   99.2697       0.256351       0.171999                 NaN  0.209774                 NaN            NaN            NaN
  1329.52        2500.00       0.908920E-001   99.2788       0.252709       0.170092                 NaN  0.207503                 NaN            NaN            NaN
  1328.49        2500.00       0.895747E-001   99.2881       0.248957       0.168198                 NaN  0.205163                 NaN            NaN            NaN
  1327.45        2500.00       0.883034E-001   99.2971       0.166151       0.245545                 NaN  0.202864                 NaN            NaN            NaN
  1326.42        2500.00       0.870455E-001   99.3057       0.164435       0.242115                 NaN  0.200706                 NaN            NaN            NaN
