|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/LAR/LAR_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       an             Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         San(TH)        ilm            q             
  1400.64        500.000        99.9998       0.235460E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.64        500.000        99.2398       0.302595       0.163920       0.160563                 NaN  0.133122                 NaN            NaN            NaN            NaN
  1398.63        500.000        98.9770       0.344177       0.285488       0.316233                 NaN  0.771201E-001            NaN            NaN            NaN            NaN
  1397.63        500.000        98.9924       0.339097       0.311852       0.279671                 NaN  0.769451E-001            NaN            NaN            NaN            NaN
  1396.62        500.000        98.9855       0.341744       0.279390       0.314615                 NaN  0.787410E-001            NaN            NaN            NaN            NaN
  1395.62        500.000        99.9641       0.120138E-001  0.915241E-002  0.123770E-001            NaN  0.176017E-002  0.586883E-003            NaN            NaN            NaN
  1394.62        500.000        98.0993       0.641095       0.516807       0.591438                 NaN  0.151400                 NaN            NaN            NaN            NaN
  1393.61        500.000        99.0383       0.324824       0.300045       0.258311                 NaN  0.785165E-001            NaN            NaN            NaN            NaN
  1392.61        500.000        99.0511       0.320712       0.296921       0.252703                 NaN  0.785843E-001            NaN            NaN            NaN            NaN
  1391.60        500.000        99.0562       0.319278       0.251116       0.294656                 NaN  0.787613E-001            NaN            NaN            NaN            NaN
  1390.60        500.000        99.0750       0.313187       0.241031       0.291109                 NaN  0.796689E-001            NaN            NaN            NaN            NaN
  1389.59        500.000        99.0827       0.310980       0.288726       0.237937                 NaN  0.796328E-001            NaN            NaN            NaN            NaN
  1388.59        500.000        99.0450       0.323612       0.301423       0.246057                 NaN  0.838884E-001            NaN            NaN            NaN            NaN
  1387.59        500.000        99.7448       0.867051E-001  0.813020E-001  0.638997E-001            NaN  0.232803E-001            NaN            NaN            NaN            NaN
  1386.58        500.000        98.5221       0.501441       0.467865       0.376559                 NaN  0.132063                 NaN            NaN            NaN            NaN
  1385.58        500.000        99.1240       0.297718       0.219244       0.278557                 NaN  0.804869E-001            NaN            NaN            NaN            NaN
  1384.57        500.000        99.1343       0.294431       0.275974       0.214538                 NaN  0.807366E-001            NaN            NaN            NaN            NaN
  1383.57        500.000        99.6170       0.130609       0.933044E-001  0.122420                 NaN  0.366388E-001            NaN            NaN            NaN            NaN
  1382.57        500.000        98.6786       0.449665       0.323908       0.422504                 NaN  0.125325                 NaN            NaN            NaN            NaN
  1381.56        500.000        99.1628       0.285337       0.268875       0.201547                 NaN  0.814401E-001            NaN            NaN            NaN            NaN
  1380.56        500.000        99.0507       0.323648       0.303244       0.230270                 NaN  0.921033E-001            NaN            NaN            NaN            NaN
  1379.55        500.000        99.4609       0.184009       0.126369       0.174573                 NaN  0.541271E-001            NaN            NaN            NaN            NaN
  1378.55        500.000        99.0239       0.333157       0.228672       0.315750                 NaN  0.985255E-001            NaN            NaN            NaN            NaN
  1377.55        500.000        99.1993       0.273621       0.259520       0.185571                 NaN  0.819951E-001            NaN            NaN            NaN            NaN
  1376.54        500.000        99.2072       0.271105       0.257660       0.181838                 NaN  0.821917E-001            NaN            NaN            NaN            NaN
  1375.54        500.000        99.2158       0.268381       0.255681       0.177571                 NaN  0.825604E-001            NaN            NaN            NaN            NaN
  1374.53        500.000        99.2214       0.266844       0.173276       0.255031                 NaN  0.834762E-001            NaN            NaN            NaN            NaN
  1373.53        500.000        99.2340       0.262399       0.249988       0.171521                 NaN  0.821352E-001            NaN            NaN            NaN            NaN
  1372.52        500.000        99.2406       0.260235       0.249688       0.166696                 NaN  0.828125E-001            NaN            NaN            NaN            NaN
  1371.52        500.000        99.2469       0.258403       0.248366       0.163192                 NaN  0.831732E-001            NaN            NaN            NaN            NaN
  1370.52        500.000        99.9632       0.137908E-001  0.151633E-001            NaN            NaN  0.780445E-002            NaN            NaN            NaN            NaN
  1369.51        500.000        98.5575       0.494244       0.473465       0.316918                 NaN  0.157847                 NaN            NaN            NaN            NaN
  1368.51        500.000        99.2733       0.249719       0.152716       0.240974                 NaN  0.832787E-001            NaN            NaN            NaN            NaN
  1367.50        500.000        99.2785       0.248185       0.149452       0.240197                 NaN  0.836815E-001            NaN            NaN            NaN            NaN
  1366.50        500.000        99.2850       0.245808       0.238446       0.147919                 NaN  0.828236E-001            NaN            NaN            NaN            NaN
  1365.50        500.000        99.2938       0.243079       0.142916       0.236433                 NaN  0.837545E-001            NaN            NaN            NaN            NaN
  1364.49        500.000        99.3010       0.240763       0.234744       0.139742                 NaN  0.837639E-001            NaN            NaN            NaN            NaN
  1363.49        500.000        99.3070       0.238739       0.233040       0.137915                 NaN  0.832792E-001            NaN            NaN            NaN            NaN
  1362.48        500.000        99.3157       0.235933       0.133526       0.231018                 NaN  0.837747E-001            NaN            NaN            NaN            NaN
  1361.48        500.000        99.3213       0.234070       0.131772       0.229506                 NaN  0.833985E-001            NaN            NaN            NaN            NaN
  1360.48        500.000        99.2192       0.269670       0.265325       0.147653                 NaN  0.981551E-001            NaN            NaN            NaN            NaN
  1359.47        500.000        99.4450       0.191489       0.187931       0.106249                 NaN  0.693368E-001            NaN            NaN            NaN            NaN
  1358.47        500.000        99.3018       0.222675       0.230564       0.228214                 NaN  0.167618E-001            NaN            NaN            NaN            NaN
  1357.46        500.000        99.3902       0.229456       0.217463       0.117849E-001            NaN  0.151125                 NaN            NaN            NaN            NaN
  1356.46        500.000        99.3542       0.223211       0.117732       0.221438                 NaN  0.834118E-001            NaN            NaN            NaN            NaN
  1355.46        500.000        99.3689       0.218504       0.112918       0.216884                 NaN  0.828230E-001            NaN            NaN            NaN            NaN
  1354.45        500.000        99.3593       0.221359       0.115016       0.220605                 NaN  0.837156E-001            NaN            NaN            NaN            NaN
  1353.45        500.000        99.3729       0.216944       0.216591       0.110582                 NaN  0.830154E-001            NaN            NaN            NaN            NaN
  1352.44        500.000        99.3784       0.215234       0.107708       0.215469                 NaN  0.831955E-001            NaN            NaN            NaN            NaN
  1351.44        500.000        99.3851       0.212777       0.213438       0.106056                 NaN  0.826001E-001            NaN            NaN            NaN            NaN
  1350.43        500.000        99.3891       0.211533       0.212401       0.104116                 NaN  0.828078E-001            NaN            NaN            NaN            NaN
  1349.43        500.000        99.3968       0.208837       0.210420       0.101741                 NaN  0.822060E-001            NaN            NaN            NaN            NaN
  1348.43        500.000        99.4013       0.207259       0.208976       0.100723                 NaN  0.817537E-001            NaN            NaN            NaN            NaN
  1347.42        500.000        99.6296       0.128594       0.130168       0.603394E-001            NaN  0.513208E-001            NaN            NaN            NaN            NaN
  1346.42        500.000        99.1899       0.280163       0.284210       0.134110                 NaN  0.111621                 NaN            NaN            NaN            NaN
  1345.41        500.000        99.4185       0.201513       0.204778       0.937127E-001            NaN  0.815242E-001            NaN            NaN            NaN            NaN
  1344.41        500.000        99.4246       0.200329       0.205910       0.831285E-001            NaN  0.860784E-001            NaN            NaN            NaN            NaN
  1343.41        500.000        99.4280       0.197385       0.990151E-001  0.199364                 NaN  0.762734E-001            NaN            NaN            NaN            NaN
  1342.40        500.000        99.4370       0.197548       0.207483       0.644931E-001            NaN  0.935209E-001            NaN            NaN            NaN            NaN
  1341.40        500.000        99.4371       0.192701       0.191642       0.111235                 NaN  0.673250E-001            NaN            NaN            NaN            NaN
  1340.39        500.000        99.4447       0.192423       0.197778       0.849736E-001            NaN  0.800938E-001            NaN            NaN            NaN            NaN
  1339.39        500.000        99.4497       0.190750       0.196511       0.832694E-001            NaN  0.797562E-001            NaN            NaN            NaN            NaN
  1338.39        500.000        99.4553       0.189082       0.195065       0.805478E-001            NaN  0.799981E-001            NaN            NaN            NaN            NaN
  1337.38        500.000        99.4595       0.187217       0.193678       0.809749E-001            NaN  0.786520E-001            NaN            NaN            NaN            NaN
  1336.38        500.000        99.4641       0.185813       0.778643E-001  0.193151                 NaN  0.790767E-001            NaN            NaN            NaN            NaN
  1335.37        500.000        99.4692       0.183847       0.190497       0.783660E-001            NaN  0.780406E-001            NaN            NaN            NaN            NaN
  1334.37        500.000        99.4742       0.182214       0.765641E-001  0.189130                 NaN  0.778928E-001            NaN            NaN            NaN            NaN
  1333.36        500.000        99.4785       0.180633       0.752323E-001  0.188374                 NaN  0.772914E-001            NaN            NaN            NaN            NaN
  1332.36        500.000        99.4831       0.179018       0.186846       0.740617E-001            NaN  0.769318E-001            NaN            NaN            NaN            NaN
  1331.36        500.000        99.4874       0.177625       0.721891E-001  0.185965                 NaN  0.768053E-001            NaN            NaN            NaN            NaN
  1330.35        500.000        99.4922       0.175853       0.184731       0.708042E-001            NaN  0.764070E-001            NaN            NaN            NaN            NaN
  1329.35        500.000        99.4964       0.174165       0.715575E-001  0.182843                 NaN  0.750630E-001            NaN            NaN            NaN            NaN
  1328.34        500.000        99.5006       0.172871       0.181806       0.693482E-001            NaN  0.753891E-001            NaN            NaN            NaN            NaN
  1327.34        500.000        99.5050       0.171095       0.694797E-001  0.180241                 NaN  0.741493E-001            NaN            NaN            NaN            NaN
  1326.34        500.000        99.5087       0.169870       0.179533       0.678638E-001            NaN  0.740294E-001            NaN            NaN            NaN            NaN
  1325.33        500.000        99.5132       0.168152       0.676959E-001  0.177859                 NaN  0.730951E-001            NaN            NaN            NaN            NaN
  1324.33        500.000        99.5169       0.166825       0.176528       0.671591E-001            NaN  0.725600E-001            NaN            NaN            NaN            NaN
