|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.5/T13/T13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.1901       0.809874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.1350       0.777390       0.876111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.1379       0.862149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.1417       0.858318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.1662       0.821752       0.120706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.1697       0.786754       0.435661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.1799       0.777844       0.422180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.1851       0.775035       0.398849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.1951       0.766430       0.384440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.2042       0.758377       0.374029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        98.4773        1.45169       0.709956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.9051       0.948887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.2774       0.689508       0.330592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.2350       0.731808       0.331794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.2434       0.723668       0.329666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.2507       0.716898       0.323621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.5921       0.390019       0.178766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        98.9296        1.02566       0.447485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.2767       0.693767       0.295725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.2807       0.689841       0.294157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.2862       0.685556       0.282542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.2944       0.679408       0.261471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.3002       0.673966       0.258651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.3080       0.666023       0.260045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3121       0.664459       0.234325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.3182       0.658690       0.230621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3218       0.659298       0.188628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.3352       0.642414       0.223977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.3381       0.641006       0.208562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.3408       0.641539       0.176318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.3515       0.628306       0.202015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.2272       0.749697       0.230839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.8287       0.165352       0.595506E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.0326       0.939662       0.277541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.3709       0.613101       0.160006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.3779       0.607277       0.147939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.3828       0.603749       0.134928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.3875       0.598986       0.135009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.3930       0.594342       0.126281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.3972       0.591866       0.109101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.4019       0.587363       0.106885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.4065       0.584131       0.937345E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.4117       0.579232       0.903047E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.4151       0.576752       0.812828E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.4225       0.569623       0.790847E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.4254       0.567972       0.658503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.4294       0.565139       0.546153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.4321       0.567761       0.123386E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.4392       0.552715       0.811537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.4415       0.558370       0.100076E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        98.8628                 NaN   1.13715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.7267       0.273170       0.101836E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.4638       0.536204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.4672       0.532760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.3108       0.689225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.8701       0.129876       0.869692E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
