|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00        99.4391       0.328661                 NaN  0.232262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.8455       0.112369                 NaN  0.421038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        98.3997        1.15815                 NaN  0.442127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.1259       0.635734                 NaN  0.238407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.1281       0.636205                 NaN  0.235731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.1504       0.621227                 NaN  0.228354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        99.1478       0.625421                 NaN  0.226739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        99.1424       0.631587                 NaN  0.181093       0.449332E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.1093       0.659473                 NaN  0.134618       0.965745E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.9054       0.690706E-001            NaN  0.140425E-001  0.115338E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        98.4214        1.17298                 NaN  0.236939       0.168699                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.1498       0.627448       0.236801E-001  0.111732       0.873210E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.0931       0.586608       0.277082                 NaN  0.431899E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.0946       0.304443       0.569819                 NaN  0.311414E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        99.0973       0.307609       0.565399                 NaN  0.297394E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.1009       0.564256       0.305544                 NaN  0.293122E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1464.56        2500.00        99.1051       0.305447       0.561116                 NaN  0.283614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.1065       0.560460       0.305604                 NaN  0.274293E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        99.1143       0.554361       0.305194                 NaN  0.261470E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.1175       0.552270       0.304572                 NaN  0.257002E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.1207       0.304097       0.550306                 NaN  0.248477E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        99.1240       0.548203       0.303596                 NaN  0.242505E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.1296       0.302073       0.544540                 NaN  0.237789E-001            NaN            NaN            NaN            NaN            NaN            NaN
