|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00        99.5021       0.293479                 NaN  0.204427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.8627       0.100270                 NaN  0.370172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        98.5755        1.03507                 NaN  0.389449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.2227       0.567536                 NaN  0.209743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.2247       0.567925                 NaN  0.207375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.2448       0.554424                 NaN  0.200818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        99.2425       0.558094                 NaN  0.199375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        99.2395       0.563450                 NaN  0.159182       0.378394E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.2123       0.588149                 NaN  0.118277       0.812652E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.9165       0.615395E-001            NaN  0.123218E-001  0.967596E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        98.6035        1.04639                 NaN  0.208208       0.141914                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.2486       0.559066       0.209090E-001  0.980609E-001  0.733487E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.1966       0.522579       0.244586                 NaN  0.362573E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.1977       0.268661       0.507527                 NaN  0.261259E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        99.2003       0.271331       0.503430                 NaN  0.249384E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.2038       0.502257       0.269395                 NaN  0.245631E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1464.56        2500.00        99.2077       0.269219       0.499339                 NaN  0.237495E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.2090       0.498713       0.269311                 NaN  0.229645E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        99.2163       0.493029       0.268763                 NaN  0.218717E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.2193       0.491053       0.268119                 NaN  0.214781E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.2225       0.267600       0.489168                 NaN  0.207546E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        99.2256       0.487087       0.267057                 NaN  0.202428E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.2308       0.265591       0.483737                 NaN  0.198330E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00        99.2332       0.481635       0.267200                 NaN  0.179540E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1454.86        2500.00        99.2350       0.480833       0.266079                 NaN  0.180653E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.2427       0.475338       0.265035                 NaN  0.169061E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        99.2433       0.475093       0.265118                 NaN  0.165047E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.2471       0.264537       0.472615                 NaN  0.157025E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1450.01        2500.00        99.2356       0.479884       0.269124                 NaN  0.153901E-001            NaN            NaN            NaN            NaN            NaN            NaN
