|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/ALH/ALH_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1528.85        500.000        99.8936       0.102671       0.373152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5182       0.403756       0.780081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.4342       0.559613       0.623091E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4374       0.557075       0.556920E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4337       0.562059       0.425975E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.4520       0.543095       0.491169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4478       0.543714       0.851604E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.4551       0.520621       0.242448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.4560       0.519104       0.249217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        97.9311        1.98072       0.878189E-001            NaN  0.374176E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.9829       0.166622E-001  0.471956E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.4829       0.517143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.4758       0.524197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.4782       0.521812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.4509       0.549144       0.401296E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5172       0.465367       0.174721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4872       0.512828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.4887       0.511282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.4948       0.505205       0.600061E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.4966       0.503375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.5000       0.500045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4301       0.223694       0.155214E-002            NaN            NaN  0.344695                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3748       0.209767E-001            NaN            NaN            NaN  0.604241                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.3833       0.191562E-001            NaN            NaN            NaN  0.597529                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3805       0.533375E-001            NaN            NaN            NaN  0.566206                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.3809                 NaN            NaN            NaN            NaN  0.619094                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.3544                 NaN            NaN            NaN            NaN  0.645613                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4118       0.118296E-002            NaN            NaN            NaN  0.587027                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.3876       0.139783                 NaN            NaN            NaN  0.472643                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.3852                 NaN            NaN            NaN            NaN  0.614803                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.3353                 NaN            NaN            NaN            NaN  0.664666                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.5249       0.146637                 NaN            NaN            NaN  0.328484                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.2868       0.862776E-002            NaN            NaN            NaN  0.704607                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.3885                 NaN            NaN            NaN            NaN  0.611487                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.3880                 NaN            NaN            NaN            NaN  0.612021                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.3815                 NaN            NaN            NaN            NaN  0.618545                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.3786                 NaN            NaN            NaN            NaN  0.621357                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.3814       0.103955                 NaN            NaN            NaN  0.514610                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.3314                 NaN            NaN            NaN            NaN  0.668556                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.6617                 NaN            NaN            NaN            NaN  0.338271                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.1103                 NaN            NaN            NaN            NaN  0.889679                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.3625                 NaN            NaN            NaN            NaN  0.637523                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.53        500.000        99.3571                 NaN            NaN            NaN            NaN  0.642918                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.21        500.000        99.0818                 NaN            NaN            NaN            NaN  0.464266       0.453890                 NaN            NaN            NaN            NaN            NaN
  1467.88        500.000        98.9906                 NaN            NaN            NaN            NaN  0.624311       0.385099                 NaN            NaN            NaN            NaN            NaN
  1466.55        500.000        98.9995                 NaN            NaN            NaN            NaN  0.381196       0.619271                 NaN            NaN            NaN            NaN            NaN
  1465.23        500.000        99.0071                 NaN            NaN            NaN            NaN  0.377717       0.615214                 NaN            NaN            NaN            NaN            NaN
  1463.90        500.000        99.0125                 NaN            NaN            NaN  0.585734E-002  0.381761       0.599864                 NaN            NaN            NaN            NaN            NaN
  1462.58        500.000        99.0258                 NaN            NaN            NaN            NaN  0.603254       0.370937                 NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.0338                 NaN            NaN            NaN            NaN  0.368116       0.598060                 NaN            NaN            NaN            NaN            NaN
  1459.93        500.000        99.0413                 NaN            NaN            NaN  0.182741E-002  0.589915       0.367006                 NaN            NaN            NaN            NaN            NaN
  1458.60        500.000        99.0516                 NaN            NaN            NaN            NaN  0.587068       0.361308                 NaN            NaN            NaN            NaN            NaN
  1457.28        500.000        99.9933                 NaN            NaN            NaN  0.138267E-004  0.666964E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1455.95        500.000        98.1356                 NaN            NaN            NaN  0.405887E-002   1.15068       0.709664                 NaN            NaN            NaN            NaN            NaN
  1454.63        500.000        99.0735                 NaN            NaN            NaN  0.266383E-002  0.355259       0.568568                 NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.0833                 NaN            NaN            NaN  0.259270E-002  0.562656       0.351500                 NaN            NaN            NaN            NaN            NaN
  1451.97        500.000        99.0898                 NaN            NaN            NaN  0.250785E-002  0.348562       0.559155                 NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.0986                 NaN            NaN            NaN  0.243385E-002  0.553625       0.345344                 NaN            NaN            NaN            NaN            NaN
  1449.32        500.000        99.0053                 NaN            NaN            NaN  0.260678E-002  0.611096       0.380963                 NaN            NaN            NaN            NaN            NaN
  1448.00        500.000        99.5438                 NaN            NaN            NaN  0.117993E-002  0.280364       0.174651                 NaN            NaN            NaN            NaN            NaN
  1446.67        500.000        98.7895                 NaN            NaN            NaN  0.306476E-002  0.743683       0.463761                 NaN            NaN            NaN            NaN            NaN
  1445.35        500.000        99.1257                 NaN            NaN            NaN  0.215185E-002  0.538199       0.333974                 NaN            NaN            NaN            NaN            NaN
  1444.02        500.000        99.1363                 NaN            NaN            NaN  0.206155E-002  0.330592       0.531001                 NaN            NaN            NaN            NaN            NaN
  1442.70        500.000        99.1418                 NaN            NaN            NaN  0.199105E-002  0.527956       0.328284                 NaN            NaN            NaN            NaN            NaN
  1441.37        500.000        99.1488                 NaN            NaN            NaN  0.190476E-002  0.325443       0.523850                 NaN            NaN            NaN            NaN            NaN
  1440.05        500.000        99.1563                 NaN            NaN            NaN  0.185112E-002  0.519352       0.322484                 NaN            NaN            NaN            NaN            NaN
  1438.72        500.000        99.1631                 NaN            NaN            NaN  0.176873E-002  0.515326       0.319767                 NaN            NaN            NaN            NaN            NaN
  1437.39        500.000        99.1700                 NaN            NaN            NaN  0.171194E-002  0.317168       0.511146                 NaN            NaN            NaN            NaN            NaN
  1436.07        500.000        99.1748                 NaN            NaN            NaN  0.164164E-002  0.508606       0.314939                 NaN            NaN            NaN            NaN            NaN
  1434.74        500.000        99.1837                 NaN            NaN            NaN  0.157028E-002  0.311875       0.502872                 NaN            NaN            NaN            NaN            NaN
