|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/ALH/ALH_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1528.85        500.000        99.9082       0.887375E-001  0.310896E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5860       0.349050       0.649913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.5111       0.483698       0.519025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.5140       0.481390       0.463691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.5109       0.485529       0.354413E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.5269       0.469048       0.408563E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.5234       0.469479       0.708132E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.5304       0.449439       0.201540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.5314       0.447911       0.207039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        98.2145        1.71220       0.730292E-001            NaN  0.236372E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.9853       0.143549E-001  0.391177E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5542       0.445753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.5483       0.451697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5506       0.449433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.5272       0.472827       0.331845E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5849       0.400675       0.144508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.5586       0.441400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.5600       0.439970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.5653       0.434684       0.495823E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.5670       0.432985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
