|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.5/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         Sp(TH)         ne             lc             ilm           
  1628.21        2500.00        99.3401       0.587666       0.721952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00        98.9352       0.958389       0.106455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00        98.9432       0.951197       0.105609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00        98.9588       0.937446       0.103782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00        98.9516       0.942566       0.105848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00        98.9991       0.902612       0.982489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00        98.9851       0.916321       0.985400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00        98.9388       0.955845       0.105327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00        99.0394       0.869053       0.915783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.0629       0.845721       0.913912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        99.0321       0.873910       0.939831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00        99.0428       0.864807       0.924147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        99.0183       0.886775       0.949389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.0940       0.819692       0.862629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
