|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1599.36        2500.00       0.134723E-001   99.5117       0.471554       0.330712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00                 NaN   99.2390       0.670590       0.903786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00                 NaN   99.2433       0.665890       0.908039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00                 NaN   99.2537       0.654254       0.920390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00                 NaN   99.2560       0.654121       0.898548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.2744       0.637807       0.877853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00       0.359734E-002   99.2130       0.675668       0.107764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00                 NaN   99.3603       0.561128       0.785272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00                 NaN   99.2871       0.627806       0.851222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN   99.2947       0.621328       0.839830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00                 NaN   99.2993       0.617455       0.832620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00                 NaN   99.1001       0.795763       0.104129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00                 NaN   99.5160       0.428178       0.558654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00                 NaN   99.4024       0.526149       0.714437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00                 NaN   99.2422       0.668864       0.889849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00                 NaN   99.3297       0.593741       0.766047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00                 NaN   99.3333       0.589437       0.772310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00                 NaN   99.3464       0.577194       0.763703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00                 NaN   99.3471       0.578212       0.747362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00                 NaN   99.3518       0.575535       0.726624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00                 NaN   99.3530       0.573817       0.731971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.3692       0.559040       0.717692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00                 NaN   99.3682       0.561076       0.707279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.3751       0.555214       0.697036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00                 NaN   99.3204       0.604386       0.752343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00                 NaN   99.4434       0.494977       0.616208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00                 NaN   99.3885       0.545041       0.664998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.3937       0.540278       0.660221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.3986       0.535422       0.659908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN   99.4015       0.534466       0.640683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        2500.00                 NaN   99.4116       0.524332       0.641028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4128       0.524432       0.627520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        2500.00                 NaN   99.3952       0.541347       0.634745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00                 NaN   99.4431       0.497908       0.590030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
