|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1490.38        2500.00        97.3302                 NaN  0.580846        1.86817                 NaN  0.220790       0.609597E-005            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00        99.0308                 NaN  0.316024       0.653154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00        99.0365                 NaN  0.649896       0.313636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00        99.0436                 NaN  0.638718       0.315660                 NaN            NaN            NaN  0.201441E-002            NaN            NaN            NaN            NaN
  1485.46        2500.00        99.0494                 NaN  0.313696       0.634777                 NaN            NaN            NaN  0.211511E-002            NaN            NaN            NaN            NaN
  1484.23        2500.00        99.0556                 NaN  0.631166       0.311153                 NaN            NaN            NaN  0.204283E-002            NaN            NaN            NaN            NaN
  1483.01        2500.00        99.0627                 NaN  0.309647       0.625668                 NaN            NaN            NaN  0.197341E-002            NaN            NaN            NaN            NaN
  1481.78        2500.00        99.0681                 NaN  0.622728       0.307283                 NaN            NaN            NaN  0.190194E-002            NaN            NaN            NaN            NaN
  1480.55        2500.00        99.0334                 NaN  0.318818       0.645823                 NaN            NaN            NaN  0.193661E-002            NaN            NaN            NaN            NaN
  1479.32        2500.00        99.8776                 NaN  0.815074E-001  0.406360E-001            NaN            NaN            NaN  0.237082E-003            NaN            NaN            NaN            NaN
  1478.09        2500.00        98.3300                 NaN  0.551159        1.11558                 NaN            NaN            NaN  0.321859E-002            NaN            NaN            NaN            NaN
  1476.86        2500.00        99.0939                 NaN  0.605081       0.299324                 NaN            NaN            NaN  0.164701E-002            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.0661                 NaN  0.623873       0.308356                 NaN            NaN            NaN  0.165819E-002            NaN            NaN            NaN            NaN
  1474.40        2500.00        99.1385                 NaN  0.582052       0.266067                 NaN            NaN  0.120018E-001  0.142869E-002            NaN            NaN            NaN            NaN
  1473.17        2500.00        99.1121                 NaN  0.601623       0.269152                 NaN            NaN  0.156779E-001  0.141861E-002            NaN            NaN            NaN            NaN
  1471.94        2500.00        99.1139                 NaN  0.592370       0.292310                 NaN            NaN            NaN  0.140350E-002            NaN            NaN            NaN            NaN
  1470.72        2500.00        99.1236                 NaN  0.596206       0.258966                 NaN            NaN  0.199532E-001  0.129938E-002            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.1291                 NaN  0.256518       0.593015                 NaN            NaN  0.201129E-001  0.124387E-002            NaN            NaN            NaN            NaN
  1468.26        2500.00        99.1335                 NaN  0.590043       0.255853                 NaN            NaN  0.194455E-001  0.119513E-002            NaN            NaN            NaN            NaN
  1467.03        2500.00        99.1373                 NaN  0.255914       0.587114                 NaN            NaN  0.185031E-001  0.114963E-002            NaN            NaN            NaN            NaN
  1465.80        2500.00        99.0888                 NaN  0.270807       0.619861                 NaN            NaN  0.193476E-001  0.117277E-002            NaN            NaN            NaN            NaN
  1464.57        2500.00        99.2008                 NaN  0.238238       0.543692                 NaN            NaN  0.163245E-001  0.991335E-003            NaN            NaN            NaN            NaN
  1463.34        2500.00        99.0487                 NaN  0.318564       0.528873                 NaN            NaN  0.870816E-001  0.168119E-001            NaN            NaN            NaN            NaN
  1462.11        2500.00        99.2727                 NaN  0.125925       0.601366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.88        2500.00        99.1584                 NaN  0.567465       0.274148                 NaN            NaN  0.334004E-005            NaN            NaN            NaN            NaN            NaN
  1459.65        2500.00        99.1625                 NaN  0.271781       0.565686                 NaN            NaN  0.199061E-005            NaN            NaN            NaN            NaN            NaN
  1458.43        2500.00        99.1666                 NaN  0.271347       0.562049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.1706                 NaN  0.560307       0.269100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.97        2500.00        99.1768                 NaN  0.561590       0.250504                 NaN            NaN  0.111210E-001            NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00        99.7481                 NaN  0.618280E-001  0.177367                 NaN            NaN  0.126850E-001            NaN            NaN            NaN            NaN            NaN
  1453.51        2500.00        98.6145                 NaN  0.940551       0.436359                 NaN            NaN  0.857165E-002            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.1876                 NaN  0.555832       0.245045                 NaN            NaN  0.115185E-001            NaN            NaN            NaN            NaN            NaN
  1451.05        2500.00        99.1912                 NaN  0.244313       0.553612                 NaN            NaN  0.109210E-001            NaN            NaN            NaN            NaN            NaN
  1449.82        2500.00        97.7096                 NaN  0.804726       0.522022                 NaN            NaN  0.283907                 NaN  0.679795                 NaN            NaN            NaN
  1448.59        2500.00        97.6768                 NaN  0.518472       0.806554                 NaN            NaN  0.296637                 NaN  0.701490                 NaN            NaN            NaN
  1447.36        2500.00        97.7140                 NaN  0.501985       0.798153                 NaN            NaN  0.295474                 NaN  0.690402                 NaN            NaN            NaN
  1446.14        2500.00        97.7477                 NaN  0.790573       0.485646                 NaN            NaN  0.295355                 NaN  0.680707                 NaN            NaN            NaN
  1444.91        2500.00        97.7874                 NaN  0.469285       0.780285                 NaN            NaN  0.294129                 NaN  0.668891                 NaN            NaN            NaN
  1443.68        2500.00        97.0874                 NaN   1.05732       0.565393                 NaN            NaN  0.404612                 NaN  0.885241                 NaN            NaN            NaN
  1442.45        2500.00        98.5424                 NaN  0.513286       0.322520                 NaN            NaN  0.184650                 NaN  0.437161                 NaN            NaN            NaN
  1441.22        2500.00        97.8880                 NaN  0.756106       0.421265                 NaN            NaN  0.295044                 NaN  0.639566                 NaN            NaN            NaN
  1439.99        2500.00        97.9206                 NaN  0.409014       0.748619                 NaN            NaN  0.292146                 NaN  0.629630                 NaN            NaN            NaN
  1438.76        2500.00        97.9515                 NaN  0.397398       0.740278                 NaN            NaN  0.290565                 NaN  0.620209                 NaN            NaN            NaN
  1437.53        2500.00        97.9820                 NaN  0.734844       0.381554                 NaN            NaN  0.290362                 NaN  0.611242                 NaN            NaN            NaN
  1436.30        2500.00        98.0117                 NaN  0.726552       0.369304                 NaN            NaN  0.290062                 NaN  0.602343                 NaN            NaN            NaN
  1435.07        2500.00        98.0390                 NaN  0.721366       0.355703                 NaN            NaN  0.289757                 NaN  0.594169                 NaN            NaN            NaN
  1433.84        2500.00        98.0665                 NaN  0.342537       0.715651                 NaN            NaN  0.289189                 NaN  0.586112                 NaN            NaN            NaN
  1432.62        2500.00        98.0928                 NaN  0.329803       0.709385                 NaN            NaN  0.289430                 NaN  0.578600                 NaN            NaN            NaN
