|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1490.38        2500.00        97.6419                 NaN  0.510107        1.65506                 NaN  0.192922       0.508101E-005            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00        99.1458                 NaN  0.276868       0.577302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00        99.1511                 NaN  0.574267       0.274668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00        99.1581                 NaN  0.564259       0.276343                 NaN            NaN            NaN  0.133246E-002            NaN            NaN            NaN            NaN
  1485.46        2500.00        99.1635                 NaN  0.274499       0.560597                 NaN            NaN            NaN  0.139971E-002            NaN            NaN            NaN            NaN
  1484.23        2500.00        99.1693                 NaN  0.557234       0.272154                 NaN            NaN            NaN  0.135265E-002            NaN            NaN            NaN            NaN
  1483.01        2500.00        99.1757                 NaN  0.270744       0.552255                 NaN            NaN            NaN  0.130772E-002            NaN            NaN            NaN            NaN
  1481.78        2500.00        99.1807                 NaN  0.549460       0.268547                 NaN            NaN            NaN  0.126100E-002            NaN            NaN            NaN            NaN
  1480.55        2500.00        99.1506                 NaN  0.278489       0.569649                 NaN            NaN            NaN  0.128487E-002            NaN            NaN            NaN            NaN
  1479.32        2500.00        99.8926                 NaN  0.718221E-001  0.354490E-001            NaN            NaN            NaN  0.157299E-003            NaN            NaN            NaN            NaN
  1478.09        2500.00        98.5320                 NaN  0.481512       0.984359                 NaN            NaN            NaN  0.213984E-002            NaN            NaN            NaN            NaN
  1476.86        2500.00        99.2045                 NaN  0.533255       0.261150                 NaN            NaN            NaN  0.109480E-002            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.1803                 NaN  0.549672       0.268923                 NaN            NaN            NaN  0.110290E-002            NaN            NaN            NaN            NaN
  1474.40        2500.00        99.2446                 NaN  0.512626       0.231926                 NaN            NaN  0.990548E-002  0.950884E-003            NaN            NaN            NaN            NaN
  1473.17        2500.00        99.2219                 NaN  0.529716       0.234521                 NaN            NaN  0.129309E-001  0.944789E-003            NaN            NaN            NaN            NaN
