|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1605.77        2500.00        99.7015       0.818326E-001  0.216642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.7680       0.204107       0.278657E-001  0.273656E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00        98.8222        1.03884       0.138963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.3062       0.611547       0.822612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00        99.3033       0.614893       0.817793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.3286       0.593501       0.778581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00        99.3254       0.595552       0.790931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00        99.3323       0.590460       0.772596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00        99.3404       0.583260       0.763824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.3450       0.566243       0.887275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00        99.3528       0.585087       0.620800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00        99.3582       0.567902       0.738761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00        99.3647       0.562511       0.727936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.3706       0.557618       0.717585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00        99.3760       0.544651       0.793698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00        99.3824       0.556388       0.612149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00        99.3527       0.574321       0.729419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.4290       0.506349       0.646194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00        99.3946       0.538454       0.669740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        99.4087       0.524753       0.665910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00        99.4108       0.524449       0.647919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00        99.4141       0.521018       0.648775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00        99.4201       0.517056       0.628019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00        99.4260       0.511366       0.626185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00        99.4241       0.514057       0.618161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.4403       0.499411       0.602750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00        99.4414       0.498526       0.600388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00        99.4450       0.496485       0.584859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00        99.4499       0.492396       0.577192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
