|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/WD94/WD94_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1605.77        2500.00        99.6524       0.931993E-001  0.254383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.7346       0.232564       0.327616E-001  0.425605E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00        98.6542        1.18265       0.163133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.2063       0.696967       0.966916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00        99.2029       0.700903       0.961553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.2316       0.676829       0.915940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00        99.2275       0.679438       0.931051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00        99.2351       0.673912       0.909957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00        99.2441       0.665895       0.900058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00        99.2487       0.646707       0.104619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00        99.2582       0.668518       0.732352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00        99.2638       0.649057       0.871835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00        99.2710       0.643095       0.859444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.2775       0.637766       0.847806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00        99.2831       0.623102       0.938017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00        99.2907       0.636864       0.724008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00        99.2562       0.657540       0.862999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.3435       0.579973       0.765059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00        99.3038       0.616854       0.793030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        99.3197       0.601399       0.789007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00        99.3219       0.601258       0.768020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00        99.3254       0.597669       0.769741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00        99.3321       0.593336       0.745566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00        99.3387       0.586979       0.743664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00        99.3364       0.590210       0.734256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.3548       0.573546       0.716449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00        99.3558       0.572787       0.713991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00        99.3598       0.570631       0.695970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00        99.3652       0.566131       0.687126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.3696       0.562297       0.680970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00        99.3705       0.564869       0.645944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00        99.3825       0.551809       0.657403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00        99.2771       0.638825       0.840266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.7906       0.188410       0.209538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00        99.1044       0.802114       0.934706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.4004       0.537945       0.616568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00        99.3644       0.571688       0.638774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00        99.4462       0.496301       0.574915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        99.4127       0.528112       0.592293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00        99.4160       0.528065       0.559333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00        99.4206       0.523546       0.558726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00        99.4261       0.517079       0.567763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00        99.4295       0.514326       0.561350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00        99.4339       0.511685       0.544055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00        99.4393       0.505795       0.549183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00        99.4417       0.505353       0.529442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00        99.4471       0.500109       0.527778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00        99.4493       0.500187       0.504825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00        99.4539       0.496717       0.493625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.4569       0.493658       0.494736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00        99.4623       0.488914       0.487377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00        99.4632       0.490783       0.460175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
