|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00       0.255013E-002   99.0136                 NaN  0.983807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00       0.598070E-003   99.0570                 NaN  0.942451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.0682                 NaN  0.931843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00                 NaN   99.0721                 NaN  0.927931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00       0.958352E-003   99.0694                 NaN  0.929688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.0948                 NaN  0.793620       0.111622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.0916                 NaN  0.879789       0.286041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   99.0921                 NaN  0.898050       0.985030E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.1016                 NaN  0.870103       0.282657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.1063                 NaN  0.864860       0.288515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00                 NaN   99.1111                 NaN  0.862423       0.264302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   99.1103                 NaN  0.889671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.1159                 NaN  0.874930       0.913412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00       0.534931E-002   99.1188                 NaN  0.863562       0.122636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00                 NaN   99.1458                 NaN  0.844864       0.931721E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.1349                 NaN  0.842488       0.226502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00                 NaN   99.1020                 NaN  0.875678       0.223519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00       0.464970E-002   99.8858                 NaN  0.989510E-001  0.106108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00                 NaN   99.8226                 NaN  0.346711E-001  0.123451E-002  0.141458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN   97.3478                 NaN  0.455743                 NaN   2.19644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00       0.409710E-002   98.9182                 NaN            NaN  0.410243E-002   1.07360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
