|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00       0.162235E-002   99.1185                 NaN  0.879830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00       0.380515E-003   99.1569                 NaN  0.842742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.1668                 NaN  0.833237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00                 NaN   99.1704                 NaN  0.829570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00       0.609694E-003   99.1683                 NaN  0.831061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.1945                 NaN  0.709310       0.961544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.1892                 NaN  0.786152       0.246299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   99.1892                 NaN  0.802311       0.847780E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.1986                 NaN  0.777098       0.243193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.2028                 NaN  0.772388       0.248199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00                 NaN   99.2072                 NaN  0.770121       0.227277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   99.2057                 NaN  0.794306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.2111                 NaN  0.781054       0.784870E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00       0.340330E-002   99.2152                 NaN  0.770876       0.105427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00                 NaN   99.2380                 NaN  0.754026       0.800038E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.2288                 NaN  0.751766       0.194423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00                 NaN   99.1995                 NaN  0.781282       0.191813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00       0.295355E-002   99.8998                 NaN  0.881719E-001  0.908496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00                 NaN   99.8412                 NaN  0.309095E-001  0.105841E-002  0.126796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN   97.6200                 NaN  0.407194                 NaN   1.97281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00       0.260713E-002   99.0314                 NaN            NaN  0.351601E-002  0.962439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00       0.733556E-002   99.0046                 NaN            NaN  0.111597E-001  0.976916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00       0.733229E-002   98.9858                 NaN            NaN            NaN   1.00682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00       0.730793E-002   98.9687                 NaN            NaN            NaN   1.02400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00       0.730010E-002   98.9420                 NaN            NaN            NaN   1.05066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00       0.358866E-002   99.4593                 NaN            NaN            NaN  0.537116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00       0.109821E-001   98.2945                 NaN            NaN            NaN   1.69452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00       0.729521E-002   98.8013                 NaN            NaN            NaN   1.19143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00       0.684267E-002   98.4223                 NaN            NaN            NaN  0.539925        1.03091                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00       0.662541E-002   98.3520                 NaN            NaN  0.764027E-004   1.28127       0.360003                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00       0.590766E-002   98.3611                 NaN            NaN  0.142508        1.45201       0.385063E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00       0.567330E-002   98.3794                 NaN            NaN  0.168069        1.44689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00       0.575257E-002   98.3930                 NaN            NaN  0.144676       0.944063E-001   1.36215                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00       0.547626E-002   98.4239                 NaN            NaN  0.160192       0.364747E-002   1.40674                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00       0.527529E-002   98.4558                 NaN            NaN  0.162166        1.37677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00       0.510256E-002   98.4773                 NaN            NaN  0.166649        1.35099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00       0.499154E-002   98.5058                 NaN            NaN  0.159595        1.32957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00       0.491798E-002   98.5182                 NaN            NaN  0.151027        1.32004       0.579433E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00       0.483038E-002   98.5393                 NaN            NaN  0.147708        1.29974       0.845260E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00       0.467804E-002   98.5629                 NaN            NaN  0.146735       0.350267E-002   1.28214                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00       0.460834E-002   98.5764                 NaN            NaN  0.140339        1.25631       0.222916E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00       0.441799E-002   98.6047                 NaN            NaN  0.145655        1.24519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00       0.430272E-002   98.6227                 NaN            NaN  0.144649        1.22838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00       0.421549E-002   98.6393                 NaN            NaN  0.138487        1.20813       0.983103E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00       0.412337E-002   98.6545                 NaN            NaN  0.133954        1.18543       0.220283E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00       0.399306E-002   98.6776                 NaN            NaN  0.135317       0.110855E-001   1.17202                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00       0.394680E-002   98.6890                 NaN            NaN  0.126707        1.13899       0.413483E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00       0.383768E-002   98.7076                 NaN            NaN  0.123902       0.460715E-001   1.11860                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00       0.384264E-002   98.6966                 NaN            NaN  0.123392        1.11770       0.584705E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00       0.355775E-002   98.7636                 NaN            NaN  0.117397       0.479590E-001   1.06752                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00       0.354445E-002   98.7547                 NaN            NaN  0.116726        1.06685       0.582229E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00       0.345181E-002   98.7675                 NaN            NaN  0.114783       0.582598E-001   1.05604                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00       0.335660E-002   98.7842                 NaN            NaN  0.112101       0.656828E-001   1.03461                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00       0.326776E-002   98.7979                 NaN            NaN  0.110054        1.02066       0.681261E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00       0.317696E-002   98.8121                 NaN            NaN  0.107775        1.00480       0.721433E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00       0.309541E-002   98.8244                 NaN            NaN  0.105449       0.991324       0.757757E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00       0.323861E-002   98.7514                 NaN            NaN  0.111551       0.875381E-001   1.04627                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00       0.269352E-002   98.9413                 NaN            NaN  0.934893E-001  0.764813E-001  0.886080                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00       0.282918E-002   98.8644                 NaN            NaN  0.993601E-001  0.947169       0.861945E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00       0.274771E-002   98.8783                 NaN            NaN  0.973525E-001  0.887126E-001  0.932901                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00       0.267351E-002   98.8909                 NaN            NaN  0.951573E-001  0.944523E-001  0.916863                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00       0.259087E-002   98.9022                 NaN            NaN  0.934719E-001  0.907004       0.947602E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00       0.251152E-002   98.9128                 NaN            NaN  0.916592E-001  0.897374       0.956943E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00       0.244945E-002   98.9240                 NaN            NaN  0.897105E-001  0.880682       0.103192                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00       0.236982E-002   98.9363                 NaN            NaN  0.879640E-001  0.869686       0.103722                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00       0.229280E-002   98.9458                 NaN            NaN  0.861650E-001  0.860479       0.105296                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00       0.222159E-002   98.9584                 NaN            NaN  0.843574E-001  0.108224       0.846751                 NaN            NaN            NaN            NaN            NaN            NaN
