|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q              hed           
  1423.08        500.000        99.9771       0.229128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.6022       0.108675       0.289074                 NaN  0.157312E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4849       0.327346       0.187783                 NaN  0.200072E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4881       0.325399       0.186481                 NaN  0.167565E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4834       0.330934       0.185698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.5003       0.183346       0.316324                 NaN  0.273590E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.4966       0.183256       0.320145                 NaN  0.117078E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.4986       0.319103       0.182329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.4789       0.318716       0.197906                 NaN            NaN  0.446675E-002            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.9321       0.252274E-001  0.424052E-001            NaN            NaN  0.251766E-003            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.2615       0.648264       0.670996                 NaN            NaN            NaN  0.419256                 NaN            NaN            NaN            NaN
  1411.42        500.000        98.6637       0.525533       0.386736                 NaN            NaN            NaN  0.423983                 NaN            NaN            NaN            NaN
  1410.36        500.000        98.5715       0.414671       0.559493                 NaN            NaN            NaN  0.454291                 NaN            NaN            NaN            NaN
  1409.30        500.000        99.7600       0.941186E-001  0.696434E-001            NaN            NaN            NaN  0.762623E-001            NaN            NaN            NaN            NaN
  1408.24        500.000        97.7531       0.650317       0.883300                 NaN            NaN            NaN  0.713285                 NaN            NaN            NaN            NaN
  1407.17        500.000        98.7226       0.369631       0.502093                 NaN            NaN            NaN  0.405643                 NaN            NaN            NaN            NaN
  1406.11        500.000        98.7473       0.492258       0.362817                 NaN            NaN            NaN  0.397611                 NaN            NaN            NaN            NaN
  1405.05        500.000        98.7597       0.358837       0.487543                 NaN  0.501338E-005            NaN  0.393879                 NaN            NaN            NaN            NaN
  1403.99        500.000        98.7750       0.481691       0.354306                 NaN            NaN            NaN  0.389046                 NaN            NaN            NaN            NaN
  1402.93        500.000        98.7908       0.349793       0.475442                 NaN            NaN            NaN  0.383923                 NaN            NaN            NaN            NaN
  1401.87        500.000        98.8057       0.469819       0.345253                 NaN  0.896355E-006            NaN  0.379235                 NaN            NaN            NaN            NaN
  1400.81        500.000        98.8200       0.340943       0.464364                 NaN  0.979246E-005            NaN  0.374677                 NaN            NaN            NaN            NaN
  1399.75        500.000        98.8373       0.364610       0.357635                 NaN  0.590894E-001            NaN  0.381374                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.8553       0.296896       0.366656                 NaN  0.979613E-001            NaN  0.383216                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.8685       0.289939       0.363560                 NaN  0.986638E-001            NaN  0.379334                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.8842       0.359395       0.282831                 NaN  0.991825E-001            NaN  0.374385                 NaN            NaN            NaN            NaN
  1395.51        500.000        98.8976       0.356092       0.276363                 NaN  0.996464E-001            NaN  0.370303                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.9108       0.353039       0.269783                 NaN  0.100134                 NaN  0.366241                 NaN            NaN            NaN            NaN
  1393.39        500.000        98.9244       0.263552       0.349398                 NaN  0.100608                 NaN  0.362001                 NaN            NaN            NaN            NaN
  1392.33        500.000        98.9372       0.256912       0.346726                 NaN  0.101143                 NaN  0.358051                 NaN            NaN            NaN            NaN
  1391.27        500.000        98.9493       0.340986       0.262185                 NaN  0.946840E-001            NaN  0.352855                 NaN            NaN            NaN            NaN
  1390.21        500.000        98.9633       0.342557       0.233609                 NaN  0.109159                 NaN  0.351402                 NaN            NaN            NaN            NaN
  1389.15        500.000        98.9142       0.357793       0.252208                 NaN  0.108921                 NaN  0.366895                 NaN            NaN            NaN            NaN
  1388.09        500.000        99.0498       0.219539       0.312969                 NaN  0.964400E-001            NaN  0.321205                 NaN            NaN            NaN            NaN
  1387.03        500.000        98.9971       0.227760       0.331911                 NaN  0.103736                 NaN  0.339531                 NaN            NaN            NaN            NaN
  1385.97        500.000        99.0014       0.330861       0.224681                 NaN  0.104670                 NaN  0.338347                 NaN            NaN            NaN            NaN
  1384.91        500.000        99.0307       0.322354       0.216350                 NaN  0.102609                 NaN  0.328029                 NaN            NaN            NaN            NaN
  1383.85        500.000        99.0307       0.212304       0.322900                 NaN  0.104946                 NaN  0.329126                 NaN            NaN            NaN            NaN
  1382.79        500.000        99.0479       0.205886       0.318503                 NaN  0.104469                 NaN  0.323263                 NaN            NaN            NaN            NaN
  1381.73        500.000        99.0556       0.317201       0.200934                 NaN  0.105236                 NaN  0.321018                 NaN            NaN            NaN            NaN
  1380.67        500.000        99.0651       0.196274       0.314891                 NaN  0.105699                 NaN  0.318022                 NaN            NaN            NaN            NaN
  1379.61        500.000        99.0764       0.190887       0.312332                 NaN  0.105913                 NaN  0.314442                 NaN            NaN            NaN            NaN
  1378.55        500.000        99.0855       0.186589       0.309821                 NaN  0.106434                 NaN  0.311633                 NaN            NaN            NaN            NaN
  1377.48        500.000        99.0980       0.306794       0.181133                 NaN  0.106509                 NaN  0.307553                 NaN            NaN            NaN            NaN
  1376.42        500.000        99.1066       0.305010       0.176842                 NaN  0.106691                 NaN  0.304875                 NaN            NaN            NaN            NaN
  1375.36        500.000        99.1166       0.302453       0.171947                 NaN  0.107192                 NaN  0.301762                 NaN            NaN            NaN            NaN
  1374.30        500.000        99.1262       0.300304       0.167352                 NaN  0.107430                 NaN  0.298751                 NaN            NaN            NaN            NaN
  1373.24        500.000        99.1347       0.162617       0.298738                 NaN  0.107878                 NaN  0.296071                 NaN            NaN            NaN            NaN
  1372.18        500.000        99.1455       0.295522       0.158858                 NaN  0.107608                 NaN  0.292523                 NaN            NaN            NaN            NaN
  1371.12        500.000        99.1535       0.154574       0.293652                 NaN  0.108230                 NaN  0.290074                 NaN            NaN            NaN            NaN
  1370.06        500.000        99.1631       0.150703       0.291310                 NaN  0.108086                 NaN  0.286817                 NaN            NaN            NaN            NaN
  1369.00        500.000        99.1712       0.146205       0.289886                 NaN  0.108356                 NaN  0.284323                 NaN            NaN            NaN            NaN
  1367.94        500.000        99.1800       0.287377       0.142431                 NaN  0.108610                 NaN  0.281557                 NaN            NaN            NaN            NaN
  1366.88        500.000        99.1890       0.285119       0.138958                 NaN  0.108476                 NaN  0.278459                 NaN            NaN            NaN            NaN
  1365.82        500.000        99.1977       0.134359       0.283264                 NaN  0.108909                 NaN  0.275797                 NaN            NaN            NaN            NaN
  1364.76        500.000        99.2036       0.282182       0.130091                 NaN  0.109899                 NaN  0.274226                 NaN            NaN            NaN            NaN
  1363.70        500.000        99.2160       0.278469       0.127179                 NaN  0.108687                 NaN  0.269695                 NaN            NaN            NaN            NaN
  1362.64        500.000        99.2105       0.129362       0.279368                 NaN  0.108896                 NaN  0.271923                 NaN            NaN            NaN            NaN
  1361.58        500.000        99.2404       0.273882       0.115644                 NaN  0.108706                 NaN  0.261325                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.2373       0.273853       0.116465                 NaN  0.109345                 NaN  0.263001                 NaN            NaN            NaN            NaN
  1359.46        500.000        99.2461       0.112774       0.271549                 NaN  0.109406                 NaN  0.260218                 NaN            NaN            NaN            NaN
  1358.40        500.000        99.2533       0.269466       0.110708                 NaN  0.108937                 NaN  0.257546                 NaN            NaN            NaN            NaN
  1357.34        500.000        99.2601       0.107058       0.268406                 NaN  0.109028                 NaN  0.255367                 NaN            NaN            NaN            NaN
  1356.28        500.000        99.2680       0.103882       0.266277                 NaN  0.109005                 NaN  0.252837                 NaN            NaN            NaN            NaN
  1355.22        500.000        99.2741       0.264731       0.101330                 NaN  0.109007                 NaN  0.250836                 NaN            NaN            NaN            NaN
  1354.16        500.000        99.2819       0.262676       0.986471E-001            NaN  0.108643                 NaN  0.248086                 NaN            NaN            NaN            NaN
  1353.10        500.000        99.2881       0.261752       0.955260E-001            NaN  0.108542                 NaN  0.246092                 NaN            NaN            NaN            NaN
  1352.04        500.000        99.2970       0.922532E-001  0.258986                 NaN  0.108588                 NaN  0.243218                 NaN            NaN            NaN            NaN
  1350.98        500.000        99.3026       0.898001E-001  0.258001                 NaN  0.108330                 NaN  0.241295                 NaN            NaN            NaN            NaN
  1349.92        500.000        99.3079       0.257078       0.871642E-001            NaN  0.108350                 NaN  0.239492                 NaN            NaN            NaN            NaN
  1348.86        500.000        99.3172       0.254077       0.848454E-001            NaN  0.107635                 NaN  0.236272                 NaN            NaN            NaN            NaN
  1347.80        500.000        99.3222       0.253060       0.824219E-001            NaN  0.107644                 NaN  0.234669                 NaN            NaN            NaN            NaN
  1346.73        500.000        99.3270       0.805797E-001  0.251391                 NaN  0.107706                 NaN  0.233335                 NaN            NaN            NaN            NaN
  1345.67        500.000        99.3384       0.766450E-001  0.249152                 NaN  0.106795                 NaN  0.228991                 NaN            NaN            NaN            NaN
  1344.61        500.000        99.3383       0.233772       0.838722E-001            NaN  0.113019                 NaN  0.231026                 NaN            NaN            NaN            NaN
  1343.55        500.000        99.3553       0.261664       0.593728E-001            NaN  0.101447                 NaN  0.222259                 NaN            NaN            NaN            NaN
  1342.49        500.000        99.3540       0.709479E-001  0.245206                 NaN  0.106019                 NaN  0.223794                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.3604       0.687682E-001  0.243367                 NaN  0.105824                 NaN  0.221660                 NaN            NaN            NaN            NaN
  1340.37        500.000        99.3656       0.675437E-001  0.241812                 NaN  0.105211                 NaN  0.219785                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.3711       0.656137E-001  0.240694                 NaN  0.104739                 NaN  0.217830                 NaN            NaN            NaN            NaN
  1338.25        500.000        99.3768       0.238893       0.642116E-001            NaN  0.104187                 NaN  0.215876                 NaN            NaN            NaN            NaN
