|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q              hed           
  1423.08        500.000        99.9727       0.272761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5283       0.127616       0.344051                 NaN  0.199411E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.3920       0.384464       0.223550                 NaN  0.253723E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.3955       0.382397       0.222149                 NaN  0.212712E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.3895       0.389080       0.221372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4093       0.218628       0.372038                 NaN  0.347858E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.4047       0.218652       0.376676                 NaN  0.148973E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.4068       0.375549       0.217630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.3812       0.375365       0.236408                 NaN            NaN  0.698974E-002            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.9195       0.301647E-001  0.499822E-001            NaN            NaN  0.393933E-003            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.0299       0.763174       0.801411                 NaN            NaN            NaN  0.405469                 NaN            NaN            NaN            NaN
  1411.42        500.000        98.5050       0.628653       0.455893                 NaN            NaN            NaN  0.410459                 NaN            NaN            NaN            NaN
  1410.36        500.000        98.4017       0.488890       0.669522                 NaN            NaN            NaN  0.439883                 NaN            NaN            NaN            NaN
  1409.30        500.000        99.7309       0.112905       0.822752E-001            NaN            NaN            NaN  0.739508E-001            NaN            NaN            NaN            NaN
  1408.24        500.000        97.4844       0.767262        1.05800                 NaN            NaN            NaN  0.690331                 NaN            NaN            NaN            NaN
  1407.17        500.000        98.5673       0.436916       0.602605                 NaN            NaN            NaN  0.393167                 NaN            NaN            NaN            NaN
  1406.11        500.000        98.5940       0.591301       0.429166                 NaN            NaN            NaN  0.385504                 NaN            NaN            NaN            NaN
  1405.05        500.000        98.6072       0.424733       0.586099                 NaN  0.645985E-005            NaN  0.382004                 NaN            NaN            NaN            NaN
  1403.99        500.000        98.6233       0.579566       0.419678                 NaN            NaN            NaN  0.377435                 NaN            NaN            NaN            NaN
  1402.93        500.000        98.6403       0.414609       0.572514                 NaN            NaN            NaN  0.372583                 NaN            NaN            NaN            NaN
  1401.87        500.000        98.6561       0.566235       0.409508                 NaN  0.116015E-005            NaN  0.368152                 NaN            NaN            NaN            NaN
  1400.81        500.000        98.6713       0.404691       0.560151                 NaN  0.126878E-004            NaN  0.363846                 NaN            NaN            NaN            NaN
  1399.75        500.000        98.6878       0.440161       0.424830                 NaN  0.766670E-001            NaN  0.370493                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.7054       0.358825       0.435944                 NaN  0.127334                 NaN  0.372450                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.7194       0.350741       0.432616                 NaN  0.128438                 NaN  0.368848                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.7360       0.427989       0.342454                 NaN  0.129312                 NaN  0.364208                 NaN            NaN            NaN            NaN
  1395.51        500.000        98.7501       0.424406       0.334942                 NaN  0.130131                 NaN  0.360408                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.7640       0.421145       0.327285                 NaN  0.130981                 NaN  0.356627                 NaN            NaN            NaN            NaN
  1393.39        500.000        98.7783       0.320048       0.417149                 NaN  0.131798                 NaN  0.352671                 NaN            NaN            NaN            NaN
  1392.33        500.000        98.7917       0.312287       0.414290                 NaN  0.132714                 NaN  0.348995                 NaN            NaN            NaN            NaN
  1391.27        500.000        98.8046       0.407840       0.319005                 NaN  0.124457                 NaN  0.344099                 NaN            NaN            NaN            NaN
  1390.21        500.000        98.8189       0.410027       0.284534                 NaN  0.143696                 NaN  0.342857                 NaN            NaN            NaN            NaN
  1389.15        500.000        98.7623       0.428568       0.307416                 NaN  0.143594                 NaN  0.358138                 NaN            NaN            NaN            NaN
  1388.09        500.000        98.9157       0.267933       0.375303                 NaN  0.127369                 NaN  0.313745                 NaN            NaN            NaN            NaN
  1387.03        500.000        98.8543       0.278235       0.398345                 NaN  0.137283                 NaN  0.331787                 NaN            NaN            NaN            NaN
  1385.97        500.000        98.8581       0.397574       0.274858                 NaN  0.138650                 NaN  0.330802                 NaN            NaN            NaN            NaN
  1384.91        500.000        98.8905       0.387579       0.264823                 NaN  0.136174                 NaN  0.320891                 NaN            NaN            NaN            NaN
  1383.85        500.000        98.8897       0.260138       0.388572                 NaN  0.139493                 NaN  0.322133                 NaN            NaN            NaN            NaN
  1382.79        500.000        98.9082       0.252506       0.383637                 NaN  0.139065                 NaN  0.316568                 NaN            NaN            NaN            NaN
  1381.73        500.000        98.9161       0.382391       0.246699                 NaN  0.140319                 NaN  0.314539                 NaN            NaN            NaN            NaN
  1380.67        500.000        98.9258       0.241224       0.379976                 NaN  0.141197                 NaN  0.311776                 NaN            NaN            NaN            NaN
  1379.61        500.000        98.9378       0.234837       0.377195                 NaN  0.141704                 NaN  0.308437                 NaN            NaN            NaN            NaN
  1378.55        500.000        98.9472       0.229796       0.374502                 NaN  0.142621                 NaN  0.305853                 NaN            NaN            NaN            NaN
  1377.48        500.000        98.9605       0.371216       0.223299                 NaN  0.142955                 NaN  0.302020                 NaN            NaN            NaN            NaN
  1376.42        500.000        98.9694       0.369408       0.218240                 NaN  0.143433                 NaN  0.299560                 NaN            NaN            NaN            NaN
  1375.36        500.000        98.9800       0.366604       0.212418                 NaN  0.144325                 NaN  0.296671                 NaN            NaN            NaN            NaN
  1374.30        500.000        98.9899       0.364364       0.206947                 NaN  0.144881                 NaN  0.293881                 NaN            NaN            NaN            NaN
  1373.24        500.000        98.9987       0.201313       0.362807                 NaN  0.145724                 NaN  0.291415                 NaN            NaN            NaN            NaN
  1372.18        500.000        99.0102       0.359232       0.196852                 NaN  0.145591                 NaN  0.288092                 NaN            NaN            NaN            NaN
  1371.12        500.000        99.0184       0.191758       0.357300                 NaN  0.146680                 NaN  0.285849                 NaN            NaN            NaN            NaN
  1370.06        500.000        99.0286       0.187141       0.354787                 NaN  0.146711                 NaN  0.282807                 NaN            NaN            NaN            NaN
  1369.00        500.000        99.0370       0.181743       0.353422                 NaN  0.147295                 NaN  0.280517                 NaN            NaN            NaN            NaN
  1367.94        500.000        99.0462       0.350674       0.177237                 NaN  0.147917                 NaN  0.277955                 NaN            NaN            NaN            NaN
  1366.88        500.000        99.0556       0.348246       0.173100                 NaN  0.147970                 NaN  0.275064                 NaN            NaN            NaN            NaN
  1365.82        500.000        99.0648       0.167543       0.346303                 NaN  0.148784                 NaN  0.272601                 NaN            NaN            NaN            NaN
  1364.76        500.000        99.0707       0.345310       0.162386                 NaN  0.150377                 NaN  0.271214                 NaN            NaN            NaN            NaN
  1363.70        500.000        99.0842       0.341077       0.158909                 NaN  0.148956                 NaN  0.266899                 NaN            NaN            NaN            NaN
  1362.64        500.000        99.0768       0.161875       0.342573                 NaN  0.149494                 NaN  0.269268                 NaN            NaN            NaN            NaN
  1361.58        500.000        99.1107       0.336130       0.144810                 NaN  0.149452                 NaN  0.258943                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.1063       0.336398       0.145980                 NaN  0.150593                 NaN  0.260763                 NaN            NaN            NaN            NaN
  1359.46        500.000        99.1156       0.141504       0.333901                 NaN  0.150854                 NaN  0.258168                 NaN            NaN            NaN            NaN
  1358.40        500.000        99.1231       0.331676       0.139067                 NaN  0.150514                 NaN  0.255679                 NaN            NaN            NaN            NaN
